 	o	y	ú	r	u	w	ó	á	b	h	í	s	i	m	ú	a	s	á	p	f	ú	l	ú	</S>
cette	0.00283532	0.00330805	0.00334481	0.00372859	0.00348068	0.00305767	0.00365931	0.0136772	0.0147928	0.0436464	0.0443457	0.0223925	0.0332178	0.0313015	0.116151	0.118453	0.0735424	0.0606922	0.0696992	0.0832412	0.0605884	0.0560544	0.0834744	0.0513159
femme	0.178211	0.237664	0.145752	0.0866289	0.053634	0.00981716	0.0415824	0.026838	0.0195994	0.016416	0.0180465	0.0206829	0.0211376	0.0340753	0.019037	0.0138817	0.017077	0.0165278	0.0152594	0.00412576	0.00160585	0.00122265	0.000864187	0.000313294
a	0.0154517	0.017701	0.0124516	0.0217771	0.0796862	0.0905009	0.184232	0.137265	0.102457	0.0960447	0.0306239	0.0563698	0.0248692	0.0208186	0.0217199	0.0279272	0.015374	0.0178511	0.00813953	0.00543149	0.00372448	0.00294746	0.00341669	0.00322023
caché	0.0474839	0.0528411	0.0688921	0.0436621	0.0411854	0.0304758	0.0237593	0.0275328	0.0253378	0.0304704	0.0215962	0.0160671	0.0190899	0.0314993	0.0224291	0.0328279	0.0537037	0.082621	0.0577858	0.0713345	0.0657032	0.0370088	0.0451184	0.0515744
sa	0.111879	0.0452484	0.0387493	0.0281093	0.0444936	0.0275688	0.0330504	0.0288316	0.0236451	0.0191685	0.0109564	0.00665124	0.0111951	0.0116883	0.00853117	0.0167566	0.0177503	0.0348524	0.0389693	0.0673365	0.0800583	0.0821109	0.08639	0.126009
hotte	0.101878	0.0488086	0.0233765	0.0174314	0.0176503	0.00889904	0.00378786	0.00404313	0.00451095	0.0207363	0.0483082	0.0346205	0.054329	0.0641666	0.0569765	0.0385622	0.0500656	0.0591415	0.0648102	0.0579022	0.0495191	0.0487993	0.0500151	0.0716616
dans	0.109718	0.0517656	0.046257	0.0299947	0.0277712	0.0176281	0.0152713	0.0140741	0.0118446	0.014153	0.0134181	0.0158561	0.0245072	0.0242095	0.0210988	0.0224788	0.0452621	0.0547982	0.0641362	0.0715176	0.0775105	0.0481779	0.0784751	0.100076
les	0.0926101	0.0812434	0.0638208	0.0421184	0.0351644	0.0511645	0.0337599	0.0234399	0.0117196	0.0126991	0.00691698	0.00662804	0.0107267	0.0207103	0.0245122	0.021224	0.0423368	0.0463377	0.0491281	0.0606413	0.0635417	0.0447716	0.0596104	0.095174
herbes	0.123257	0.0711861	0.0595827	0.0330636	0.012355	0.0230521	0.00830994	0.00666341	0.00309682	0.00505896	0.00513375	0.00902219	0.0124291	0.0176753	0.0161477	0.0137387	0.0282066	0.0424263	0.057806	0.0593402	0.0728297	0.0560139	0.119714	0.143891
</S>	0.146194	0.077972	0.0675087	0.0361603	0.0418119	0.0243483	0.0180979	0.0142203	0.0085799	0.00883862	0.00701629	0.00849934	0.011878	0.0158458	0.00819104	0.00922738	0.0235416	0.0332025	0.0379114	0.0520199	0.0793847	0.0463542	0.0857594	0.137437
