 	w	a	á	b	h	i	á	m	í	s	i	k	a	á	m	ó	p	ó	r	á	y	á	á	k	ώ	s	ώ	w	a	</S>
il	0.181871	0.244481	0.222254	0.145351	0.0960708	0.0202268	0.00236976	0.00197981	0.00203768	0.00153304	0.00237243	0.00567227	0.00756361	0.00693469	0.00781443	0.00508529	0.00512318	0.00330819	0.0025806	0.00397255	0.0043607	0.00402184	0.00189239	0.00244676	0.00370765	0.00373312	0.00311656	0.0023856	0.00399498	0.00173915
tomba	0.00990258	0.00563253	0.00459879	0.00534108	0.0167357	0.0519249	0.128601	0.101396	0.0919022	0.074573	0.0282861	0.0400401	0.0406846	0.0319197	0.0235216	0.0171297	0.0122097	0.0141784	0.0152349	0.0244065	0.0322755	0.0315902	0.0299305	0.0319002	0.0201091	0.011433	0.0171858	0.0312761	0.0411584	0.0149216
aveugle	0.00757311	0.00976831	0.0102449	0.0105525	0.00736317	0.00873632	0.012687	0.0171482	0.0196661	0.0176226	0.0356027	0.0490472	0.042982	0.069526	0.0517179	0.0796853	0.0672153	0.0915858	0.0719171	0.0600195	0.0557983	0.0597039	0.0315705	0.0268546	0.0168232	0.0224683	0.0121236	0.00907324	0.0172231	0.00770033
à	0.00705071	0.00741687	0.00754709	0.00738609	0.0103266	0.0103306	0.0266874	0.025086	0.0286321	0.0423661	0.0417853	0.0210231	0.0246472	0.0249455	0.0354982	0.0343841	0.0440758	0.0693422	0.0629113	0.0779552	0.0798298	0.0676894	0.0388163	0.0262297	0.0277515	0.0221571	0.0290451	0.0197969	0.0318707	0.0474158
la	0.007436	0.00605425	0.0059396	0.00628733	0.00537341	0.00656988	0.0125793	0.0155689	0.0145369	0.0167581	0.0174819	0.0174802	0.0195483	0.0196878	0.0307816	0.032905	0.0635447	0.067555	0.0699051	0.0477126	0.0511662	0.0543361	0.0634818	0.0590954	0.043843	0.0433422	0.0511407	0.0347515	0.0485741	0.0665632
suite	0.0101896	0.0104409	0.0091761	0.00795358	0.00965511	0.00791414	0.00825166	0.0153125	0.0191003	0.0177019	0.0136285	0.0191974	0.0184402	0.0229227	0.0513138	0.0489918	0.0643175	0.0491378	0.0516486	0.051785	0.0486137	0.0416824	0.0374214	0.0431828	0.0405243	0.031626	0.0478694	0.0359963	0.0437264	0.122278
de	0.0145376	0.0142423	0.0111936	0.0142587	0.0159485	0.020161	0.0174267	0.0284158	0.0237937	0.0231394	0.0198323	0.0199524	0.0226384	0.0255372	0.0305454	0.0299624	0.0295589	0.0365308	0.0401175	0.0346878	0.0356065	0.0358681	0.0397916	0.0547175	0.0519831	0.0559469	0.0382866	0.0447325	0.0520895	0.118497
sa	0.0126271	0.0171517	0.0178953	0.0150879	0.0195313	0.017428	0.018911	0.0214856	0.0175109	0.0150587	0.00857371	0.0104732	0.0127009	0.0156285	0.0141248	0.0138341	0.0167939	0.0233664	0.0264815	0.0308184	0.0415964	0.0440992	0.060098	0.0684489	0.0646655	0.0714287	0.0714956	0.0758613	0.0760526	0.0807708
blessure	0.0143354	0.0126308	0.0199269	0.0164479	0.019961	0.0134928	0.0124081	0.015494	0.0153062	0.0144872	0.0163572	0.0181551	0.0177862	0.0184876	0.0321406	0.0309316	0.0524201	0.0408449	0.0378717	0.0356858	0.0404598	0.0342019	0.0397137	0.0497037	0.0631262	0.0357213	0.0470619	0.034392	0.0537791	0.14667
</S>	0.0148969	0.0115603	0.0220885	0.0215564	0.0310009	0.0280415	0.0335326	0.0393659	0.0337147	0.0272118	0.0169422	0.018282	0.0221772	0.0223576	0.0146203	0.0218591	0.0219559	0.0206202	0.0191237	0.0171476	0.0365896	0.016488	0.023283	0.0200465	0.0558512	0.0412417	0.0566538	0.0585727	0.055185	0.178033
