 	n	y	ω	s	í	y	e	é	d	z	e	s	a	a	m	í	b	v	ú	a	d	í	á	m	i	s	á	á	o	f	u	m	b	a	</S>
l'	0.0139005	0.0155719	0.0177798	0.0135459	0.0300314	0.0245355	0.0403265	0.042603	0.0459021	0.0428121	0.0450331	0.0430021	0.0382289	0.0368085	0.0421257	0.020201	0.0214771	0.0128024	0.0096466	0.022681	0.0176112	0.0187373	0.0205688	0.0238383	0.0308742	0.0398312	0.0342049	0.0324749	0.0357021	0.027082	0.0348678	0.0314553	0.0307218	0.0262593	0.0167558
oiseau	0.0605347	0.0586547	0.0660636	0.0397744	0.0482658	0.0426168	0.0335039	0.0372659	0.0192918	0.00993742	0.0131098	0.00857487	0.0141348	0.0181534	0.0174274	0.0170638	0.016062	0.017431	0.018185	0.0244457	0.0274608	0.0167207	0.0234303	0.0374304	0.0416119	0.0540411	0.038798	0.0421696	0.0475201	0.0419908	0.0230813	0.00914258	0.0100188	0.0032164	0.00287065
qui	0.0190187	0.0179259	0.0219598	0.0148941	0.0176809	0.0151891	0.0264217	0.0256671	0.0252743	0.0306477	0.0271098	0.0280793	0.0252405	0.0248967	0.0171649	0.0242679	0.0275626	0.0136248	0.0222069	0.0188799	0.0483886	0.0296174	0.0469692	0.0566203	0.0661134	0.0581393	0.0547748	0.0450229	0.0402602	0.0308149	0.0305598	0.0256611	0.0114645	0.00802017	0.00386108
était	0.00720693	0.0188375	0.038727	0.0469309	0.0741989	0.0566292	0.0495727	0.0421246	0.0286983	0.0321603	0.0247742	0.0292802	0.0139681	0.0109929	0.0124821	0.0239448	0.0300468	0.026455	0.0346416	0.0283723	0.0294165	0.0215548	0.0361871	0.0292258	0.0256073	0.0207234	0.0222221	0.0242289	0.0205103	0.02182	0.0310375	0.0285848	0.0155056	0.019552	0.0237797
dans	0.0505476	0.0308363	0.0350998	0.0330147	0.0381	0.0415955	0.0296968	0.0258321	0.0151885	0.013897	0.014844	0.0165619	0.0150994	0.0186407	0.0210259	0.0335804	0.036916	0.0524247	0.0437068	0.0295319	0.0178845	0.0162845	0.0174032	0.0170361	0.0211229	0.0175144	0.0185158	0.0262373	0.0438538	0.0377211	0.0407567	0.0403483	0.0239389	0.0272112	0.0380316
cet	0.0180105	0.0176081	0.0205081	0.0268739	0.028725	0.028036	0.0265819	0.0217455	0.0207435	0.0262227	0.0286543	0.0344546	0.0349834	0.0346975	0.0425639	0.0580256	0.0423981	0.0454738	0.0474941	0.023898	0.0182977	0.0136999	0.0181002	0.0134655	0.0162534	0.0164741	0.0167268	0.0217855	0.0241042	0.0339983	0.0372133	0.0382568	0.0346852	0.0315074	0.0377331
arbre	0.021901	0.0142142	0.0133885	0.0211324	0.0306034	0.0446079	0.0578378	0.0483213	0.0418033	0.047353	0.0390916	0.0285934	0.0265085	0.0249173	0.0151428	0.016483	0.0204086	0.0276887	0.0258264	0.028716	0.0200959	0.00991564	0.0203401	0.0211561	0.0270759	0.0224511	0.0216781	0.0317525	0.0322046	0.0323038	0.0276328	0.0252114	0.0311843	0.0283267	0.0541318
s'	0.0574016	0.049454	0.0410378	0.032015	0.0272994	0.0201406	0.0139274	0.0100912	0.00861672	0.00900527	0.00931979	0.0139704	0.0154746	0.0166241	0.0111275	0.00807134	0.014447	0.0190744	0.0303978	0.0324431	0.023884	0.0275442	0.022846	0.0282599	0.0340592	0.029192	0.0370877	0.0434117	0.043054	0.0373069	0.0299585	0.0211834	0.0395074	0.0413011	0.101465
est	0.118323	0.0593432	0.0482231	0.0396774	0.0334595	0.0247397	0.0162909	0.00866364	0.00579784	0.0091776	0.00806978	0.0113514	0.00670846	0.00601057	0.00773089	0.0120469	0.0245014	0.0301083	0.0447151	0.0286957	0.0291578	0.0331299	0.024457	0.0351471	0.0331349	0.0274188	0.0377223	0.0271571	0.0186614	0.025472	0.020734	0.0158852	0.0265612	0.0255369	0.0761904
envolé	0.118836	0.0618918	0.0398161	0.0281503	0.0159123	0.0064857	0.00497613	0.00438199	0.00448357	0.00535837	0.00582066	0.00904247	0.00974762	0.00898188	0.00608652	0.00604486	0.0140724	0.0210437	0.0565437	0.04264	0.0469647	0.0691115	0.03823	0.0284266	0.0216349	0.0128836	0.0158807	0.0196348	0.0191542	0.0227039	0.021781	0.0210887	0.033669	0.0360083	0.122512
</S>	0.200182	0.174372	0.11622	0.0608939	0.0433455	0.0192301	0.0098833	0.00903679	0.00866912	0.00785387	0.00955801	0.0121711	0.00897925	0.00771482	0.00837583	0.00668962	0.0106978	0.017031	0.0232098	0.0153634	0.0181923	0.0255604	0.0135106	0.0197233	0.0119429	0.0093828	0.0136715	0.0108119	0.00996017	0.0115127	0.00801778	0.00701236	0.0114068	0.0125392	0.0472782
