 	w	a	á	m	i	d	i	á	a	y	έ	l	i	m	á	i	p	έ	ε	l	á	i	s	á	l	a	l	á	w	a	l	a	o	d	i	m	í	</S>
il	0.125961	0.129766	0.206677	0.183532	0.0897811	0.0829981	0.0524875	0.03765	0.0204158	0.0214635	0.00767394	0.00356514	0.00287742	0.00260784	0.0023988	0.00231484	0.00201809	0.00126699	0.00217982	0.00123513	0.00130135	0.00171407	0.00167384	0.0011722	0.000955004	0.0010689	0.000933701	0.00113587	0.000929401	0.000900444	0.0011754	0.00134277	0.00156273	0.0011029	0.00110943	0.00148127	0.000717978	0.00085249
a	0.0510617	0.0352852	0.0152575	0.0610133	0.0834039	0.077397	0.04823	0.0342868	0.0513844	0.0321566	0.0383293	0.0733907	0.0920774	0.0520095	0.0585428	0.0222226	0.0141661	0.017675	0.0129837	0.0111833	0.00919626	0.00907557	0.00573948	0.00399046	0.0039174	0.00478807	0.00250377	0.0034553	0.00237385	0.00873191	0.0082751	0.00651951	0.00646274	0.00781897	0.0116547	0.00713227	0.00916018	0.00714767
trouvé	0.0176747	0.0188729	0.014211	0.0172782	0.0152067	0.0183919	0.013991	0.0107309	0.0103736	0.00900522	0.0101915	0.014066	0.0170811	0.0225102	0.0200323	0.0318133	0.0335213	0.0370112	0.022975	0.0269067	0.0864652	0.0937692	0.05423	0.0458505	0.0302272	0.0379155	0.0270197	0.0304522	0.0128351	0.0272945	0.0253424	0.0222105	0.0248589	0.0201125	0.0216662	0.0212331	0.0204431	0.0162296
une	0.0139682	0.0182682	0.0124317	0.0229399	0.0209993	0.0232485	0.0232419	0.0157329	0.0195582	0.014331	0.0175977	0.0199337	0.0151974	0.0228121	0.016211	0.017255	0.0286731	0.0429642	0.0266093	0.0204759	0.0272399	0.0264997	0.0202459	0.0527509	0.0404315	0.0789169	0.0582504	0.0299833	0.032279	0.0228554	0.0199371	0.0180302	0.0163807	0.0218784	0.0210696	0.0224651	0.0191673	0.0591693
astuce	0.0143224	0.02175	0.0158001	0.0172156	0.0144249	0.0139921	0.0201918	0.0171681	0.0131558	0.0162138	0.0185302	0.0479234	0.0432633	0.0335582	0.0397431	0.044346	0.0386534	0.0361582	0.0577402	0.0432809	0.0590622	0.0667315	0.0536403	0.0359155	0.0351482	0.0274486	0.0239207	0.0171309	0.013242	0.0133614	0.0125405	0.0101602	0.010844	0.00904754	0.00978221	0.0104154	0.00834049	0.0158369
pour	0.00487352	0.00599229	0.00522461	0.00574052	0.00560317	0.0057694	0.00706481	0.00704104	0.00599375	0.00822076	0.013822	0.0208101	0.0175629	0.0190982	0.0228866	0.0615597	0.0630715	0.0651894	0.0401247	0.0454027	0.0590264	0.0732045	0.0436087	0.0534147	0.0280851	0.02876	0.0234025	0.0267924	0.0260645	0.023186	0.0283412	0.0157045	0.0160877	0.0168309	0.0153821	0.019177	0.0193249	0.0525552
faire	0.00243066	0.00295862	0.00221178	0.00280895	0.00351747	0.00411033	0.00403772	0.00501489	0.00784543	0.00864338	0.00854508	0.0117687	0.0122771	0.0129325	0.0110897	0.0148459	0.0239634	0.0205432	0.0243831	0.0208025	0.0557179	0.0716182	0.0571798	0.0848962	0.0760536	0.0548986	0.0446057	0.0396828	0.0358748	0.0288991	0.0269817	0.0184884	0.0202923	0.0260247	0.0277745	0.0266748	0.0305476	0.0690589
faire	0.0119501	0.0117944	0.010001	0.00882912	0.00960039	0.0110854	0.0129829	0.0150843	0.0145631	0.0124719	0.012091	0.00902219	0.00909507	0.00968004	0.00920085	0.00942199	0.0103244	0.00951022	0.0123605	0.0115932	0.0212829	0.0252879	0.0301123	0.0318018	0.0419059	0.0377963	0.0363612	0.0365697	0.0619753	0.0422863	0.0498505	0.046185	0.0487925	0.0530532	0.0504028	0.053828	0.0528505	0.0589959
son	0.0192608	0.0113307	0.0126188	0.0148878	0.0135392	0.0133041	0.0109138	0.00994921	0.0097569	0.0078657	0.0112849	0.0104143	0.00992002	0.010091	0.0110139	0.011562	0.011814	0.0109129	0.011683	0.011986	0.0239716	0.0334545	0.0356448	0.0484413	0.041475	0.0485628	0.0477475	0.0485457	0.0575542	0.0324868	0.0434168	0.0322059	0.0334585	0.043597	0.0383155	0.0459907	0.0395056	0.071517
travail	0.0208839	0.0168647	0.0197059	0.0196811	0.0127472	0.0141979	0.0187015	0.0138867	0.0258749	0.0206302	0.0213543	0.0265285	0.0250815	0.0176106	0.0240107	0.0182478	0.0151222	0.0118855	0.0113776	0.012136	0.0258887	0.0278645	0.0272782	0.0229549	0.0318664	0.0165863	0.016582	0.0251049	0.037151	0.0226789	0.0320972	0.0317636	0.034929	0.0406588	0.0488991	0.0511648	0.061136	0.0788671
par	0.00467197	0.00590615	0.0052365	0.0039178	0.00458026	0.00472192	0.0071692	0.00516358	0.00602141	0.00846195	0.0168248	0.0119501	0.0104535	0.0136634	0.0136843	0.0178197	0.0192404	0.0199861	0.0192988	0.0183967	0.0221492	0.0328951	0.0474669	0.0560564	0.0593208	0.0296684	0.0207264	0.0268187	0.0618169	0.0268363	0.0659936	0.0442682	0.0555684	0.0576889	0.0403276	0.0466276	0.0440954	0.0445069
son	0.0312896	0.0303208	0.0346482	0.0404485	0.0314751	0.0342793	0.0424751	0.0274037	0.0429914	0.0199325	0.0159931	0.0268341	0.028216	0.00934959	0.0156134	0.0174065	0.0117077	0.0107035	0.00676372	0.0099747	0.0128686	0.0126813	0.015197	0.00828309	0.0237321	0.00983001	0.00933781	0.00910859	0.0234384	0.0136556	0.0318124	0.0308464	0.0374301	0.0453044	0.0462971	0.0536977	0.0601666	0.0684863
frère	0.0135922	0.0130904	0.0173133	0.0208467	0.0155972	0.0164482	0.0227132	0.0146152	0.024229	0.0129078	0.0119657	0.0133334	0.0152543	0.0123267	0.0145311	0.0115559	0.0101131	0.00857603	0.00788762	0.00729499	0.0132727	0.016041	0.0196884	0.0119757	0.0300523	0.0133118	0.0107834	0.0228389	0.0411531	0.033717	0.0461482	0.0444699	0.0541157	0.0552588	0.0675057	0.067753	0.0836641	0.0840582
</S>	0.0137079	0.0136647	0.0136542	0.0152566	0.0155931	0.0156107	0.0144725	0.0133063	0.0133635	0.0125146	0.0118272	0.00991017	0.0104393	0.0108144	0.0100432	0.0120966	0.0136775	0.0127732	0.010688	0.010424	0.0124869	0.0150888	0.0170445	0.0153314	0.0322917	0.0145863	0.0153101	0.0266824	0.0517727	0.0387256	0.0442763	0.0442571	0.0548916	0.0634642	0.0575146	0.07076	0.0611396	0.110538
