 	n	g	o	n	d	a	y	á	w	a	y	í	k	o	ó	á	b	h	i	á	k	í	l	í	k	i	l	i	</S>
son	0.047759	0.0620518	0.0566852	0.0538871	0.0433249	0.0364606	0.0284709	0.0189952	0.0214938	0.035883	0.0435496	0.0494913	0.0421668	0.107586	0.0497331	0.041295	0.038629	0.0306462	0.0186314	0.0156223	0.0143347	0.0135279	0.0145872	0.0143447	0.0204922	0.0237121	0.0199187	0.0182915	0.0184286
champ	0.203796	0.167342	0.203672	0.0788426	0.107062	0.075563	0.0464226	0.0185517	0.00984311	0.00427401	0.00391661	0.00551508	0.00153394	0.00172363	0.00296468	0.00301362	0.000543022	0.00392453	0.00462566	0.00148827	0.00794184	0.00777192	0.00404155	0.0176499	0.00827804	0.00373454	0.00388145	0.00164629	0.000437466
de	0.0685031	0.0605632	0.0749441	0.0395279	0.0401481	0.036819	0.041603	0.0348831	0.0428197	0.0331195	0.0223457	0.0360905	0.0124783	0.0121543	0.0417882	0.0357236	0.0246649	0.0212276	0.0194012	0.026378	0.0304559	0.0445302	0.0358032	0.0216394	0.0310567	0.0355748	0.0318275	0.0243519	0.0195776
canne	0.0303329	0.0241567	0.0369821	0.032898	0.0291199	0.0319052	0.0313504	0.0243027	0.0369144	0.0228347	0.0401267	0.0368615	0.0464691	0.0495873	0.021129	0.0418275	0.0690105	0.029168	0.048873	0.0411094	0.0287197	0.0338246	0.0357727	0.025383	0.0167484	0.0209737	0.031375	0.033457	0.0487869
à	0.0139281	0.00881011	0.0148759	0.0140044	0.0164164	0.0145215	0.0154401	0.0190398	0.0178729	0.0175061	0.0210306	0.017128	0.0226639	0.0184194	0.0100156	0.0219608	0.0248741	0.0301115	0.0524131	0.0923845	0.0483989	0.0919827	0.0742246	0.0282175	0.0398774	0.0493351	0.051242	0.058268	0.0950371
sucre	0.0253411	0.0163008	0.0227049	0.0240507	0.0283567	0.0294778	0.0354831	0.0339209	0.0187912	0.0191426	0.0199199	0.0169011	0.0176133	0.0265668	0.0329647	0.0430285	0.0841834	0.0332999	0.0659131	0.0609231	0.0296969	0.0418605	0.0316246	0.0150644	0.026915	0.0396794	0.0306173	0.0444552	0.085203
est	0.0415854	0.0304906	0.0259022	0.0321669	0.0459385	0.0399143	0.0384757	0.0260792	0.0108209	0.0131827	0.0114221	0.00827274	0.0170943	0.0142062	0.0126708	0.0142589	0.0366135	0.0181667	0.0381143	0.0782571	0.06672	0.076368	0.0885503	0.0416194	0.035215	0.025127	0.016018	0.0277873	0.0689617
devenu	0.0339744	0.0241038	0.0199806	0.0266623	0.037976	0.0339373	0.0355018	0.0326182	0.01238	0.0251149	0.0303781	0.0126621	0.0281655	0.0148999	0.0133459	0.0167726	0.0770556	0.0119296	0.0890812	0.0530894	0.0418788	0.0336835	0.0273049	0.0465471	0.0341957	0.0235894	0.0194196	0.0370815	0.10667
incontrôlé	0.0225108	0.0203224	0.020027	0.0206915	0.0230967	0.0219425	0.0218306	0.019429	0.0118424	0.0157144	0.0184614	0.0151316	0.0245763	0.0217676	0.0173808	0.0244072	0.0608074	0.0129027	0.0987273	0.0888416	0.0348864	0.0294798	0.0219568	0.0506529	0.0357125	0.0307792	0.0610856	0.0699002	0.0851354
</S>	0.0260088	0.0251404	0.0287778	0.0288805	0.0312815	0.0304434	0.0298272	0.0255	0.0155678	0.0152414	0.017335	0.0221135	0.0165941	0.0212507	0.0273152	0.0288762	0.0321376	0.0196357	0.0303364	0.0292288	0.0177111	0.029499	0.0277477	0.0384354	0.0557928	0.0648223	0.0811662	0.0863543	0.0969793
