 	e	m	b	e	n	g	á	y	é	e	d	z	á	á	m	í	b	v	u	m	á	b	í	s	έ	n	g	ε	</S>
le	0.00688892	0.00701519	0.00956402	0.00970832	0.0136713	0.0158279	0.0356818	0.0276785	0.0287327	0.0299744	0.0675459	0.0710617	0.110323	0.13691	0.0949564	0.0550809	0.040869	0.0307612	0.0200184	0.0186982	0.0214548	0.0229068	0.0164897	0.020461	0.0153239	0.0196363	0.0203205	0.0159635	0.0164759
pigeon	0.0258896	0.0324603	0.0527768	0.0271212	0.0499861	0.0159631	0.0523653	0.0684	0.155077	0.158318	0.0500862	0.0423017	0.0345737	0.0267862	0.0412475	0.0139255	0.011239	0.00872244	0.0203025	0.0136357	0.0253987	0.014678	0.0168585	0.0180253	0.01023	0.00595633	0.00334108	0.00246561	0.0018695
vert	0.0557511	0.0539667	0.0238855	0.0307607	0.0231192	0.0327096	0.0257601	0.0360203	0.0251442	0.0192437	0.0139442	0.0202973	0.024046	0.0402386	0.0768062	0.117479	0.0839773	0.057136	0.0171111	0.0269039	0.0372797	0.027079	0.0420212	0.0196973	0.0285595	0.0139008	0.00962093	0.0111225	0.00641796
se	0.0798189	0.0741448	0.0602309	0.0446543	0.0367415	0.0542308	0.0351935	0.0303254	0.0304101	0.0291693	0.0367813	0.0531719	0.041545	0.0249454	0.0368267	0.058206	0.0453855	0.0202313	0.0157972	0.0142849	0.0114882	0.00975089	0.00824549	0.00624289	0.0155289	0.0175155	0.0199873	0.020837	0.0683094
nourrit	0.0772953	0.0440489	0.0484132	0.0389884	0.0404291	0.0232247	0.0340694	0.0399824	0.0323046	0.0370961	0.0190753	0.0232759	0.0141739	0.00844534	0.016938	0.00685128	0.00487582	0.00320448	0.00680565	0.0142443	0.0421568	0.041427	0.0417538	0.0366959	0.0572138	0.0518652	0.0258462	0.0507366	0.118563
de	0.0755339	0.067399	0.0726707	0.0657565	0.0478089	0.0701116	0.0499672	0.0434637	0.0629738	0.058681	0.0465751	0.0322572	0.0179936	0.0132453	0.0131687	0.0158989	0.012434	0.00919452	0.0137103	0.0123979	0.0119148	0.0101948	0.00991779	0.007137	0.0167834	0.0220664	0.0211104	0.0234212	0.0762125
fruits	0.0403379	0.0407727	0.0270392	0.0263147	0.0212586	0.0179363	0.0160462	0.0166721	0.0178009	0.0242549	0.0224738	0.0355144	0.032589	0.0166532	0.0286085	0.0443118	0.0410371	0.0309661	0.0248866	0.0385586	0.0485233	0.0544312	0.0564331	0.0323161	0.0361481	0.039041	0.0299355	0.0331098	0.106029
de	0.0480117	0.0454657	0.0336666	0.0282837	0.0219871	0.0189923	0.0124796	0.0117523	0.0130422	0.0160233	0.0203048	0.0325114	0.0328712	0.0241446	0.0305905	0.0239116	0.0168258	0.0155949	0.0111067	0.0219861	0.0307464	0.0316955	0.0296183	0.0313411	0.0343512	0.0537001	0.0487289	0.069705	0.190561
l'	0.144581	0.0863822	0.0357602	0.0292174	0.016426	0.0171961	0.0135954	0.0119144	0.0138114	0.0117127	0.012379	0.0205582	0.017415	0.0133173	0.024825	0.0564425	0.0379701	0.0299697	0.0235972	0.0285711	0.0282553	0.0304663	0.0297732	0.0280523	0.0268639	0.0394631	0.0367537	0.0392318	0.0954988
arbre	0.136868	0.119056	0.059267	0.0329043	0.0105308	0.00683576	0.00667514	0.00635266	0.00634388	0.00724449	0.00822528	0.0121986	0.0113997	0.00878583	0.0123841	0.0139866	0.0131128	0.0126171	0.0103442	0.010941	0.0166429	0.016373	0.0167607	0.0197222	0.0436645	0.0740019	0.0558465	0.0902995	0.160616
isenge	0.147278	0.086533	0.0402483	0.0499833	0.0258149	0.0199284	0.00928996	0.00576902	0.00572099	0.00815612	0.00747032	0.00827971	0.00408832	0.00415768	0.00500994	0.00433976	0.00371525	0.00511259	0.00521721	0.0075809	0.0216634	0.0193103	0.0162689	0.0295679	0.0421485	0.0743048	0.04321	0.115407	0.184425
</S>	0.0558426	0.0517779	0.0380422	0.0425446	0.0337868	0.0445157	0.0287993	0.0226463	0.0296262	0.0212063	0.0138608	0.00823889	0.0047442	0.00424645	0.00376455	0.00662846	0.00792875	0.00947546	0.00954317	0.0144206	0.019211	0.0204935	0.016578	0.0397119	0.0422711	0.0727938	0.0580888	0.0879313	0.191281
