 	n	g	á	k	ω	m	i	i	b	έ	r	í	n	ω	t	s	í	n	a	n	ω	l	ó	o	t	á	á	n	g	á	n	g	u	a	</S>
je	0.194492	0.261889	0.148725	0.0335913	0.0123803	0.0037337	0.00265775	0.00402172	0.00493844	0.005564	0.00714278	0.00950339	0.0135516	0.0210445	0.0223211	0.00871726	0.0193628	0.0080937	0.0125285	0.0109343	0.0069542	0.0106396	0.010246	0.00787949	0.00926769	0.0168234	0.00970634	0.015151	0.0127738	0.0152496	0.0149338	0.0177235	0.0185089	0.0166399	0.0123104
dois	0.0729613	0.0310874	0.0305597	0.0459246	0.0217134	0.0268727	0.0285802	0.0249623	0.0260127	0.0305575	0.0335703	0.0346772	0.0502178	0.0429382	0.0541293	0.0527557	0.0360127	0.0478575	0.0355551	0.0280931	0.0232149	0.0118694	0.00645086	0.0055676	0.0100206	0.00968894	0.0141065	0.0227734	0.0243109	0.0248197	0.015759	0.0155308	0.0186044	0.0207509	0.0214934
à	0.023188	0.0200966	0.019349	0.0480447	0.0613009	0.0470485	0.0498266	0.0583946	0.0663558	0.0599441	0.0483776	0.0458002	0.0383793	0.0329681	0.0277607	0.0305584	0.0223918	0.0168988	0.0229489	0.0261617	0.0236469	0.017331	0.0190687	0.0124813	0.0205573	0.0121214	0.0168126	0.0147753	0.0144666	0.0146555	0.0149707	0.0173139	0.0143279	0.0154661	0.00621067
tout	0.036773	0.0180613	0.016786	0.0476436	0.0406775	0.0365806	0.0371761	0.0252722	0.0299994	0.043843	0.0644458	0.0450368	0.04005	0.0441251	0.0310472	0.0562601	0.0252364	0.0385556	0.0210392	0.0254172	0.0169262	0.0176581	0.0175894	0.0148719	0.0223822	0.0179929	0.0194964	0.0191049	0.0170616	0.0134152	0.0180917	0.0191769	0.0127526	0.0231837	0.02627
prix	0.00926142	0.00725893	0.0100924	0.0239858	0.0198823	0.0237961	0.0385926	0.0336137	0.019695	0.0188032	0.0166576	0.0117934	0.0121166	0.01157	0.0104485	0.014745	0.0121924	0.0145136	0.026414	0.0500504	0.0413043	0.0641959	0.0594603	0.05269	0.0446644	0.0482039	0.0320974	0.0451253	0.0315144	0.0261135	0.0251577	0.0266261	0.0301641	0.0305164	0.0566835
te	0.0116315	0.00566807	0.00971834	0.0117979	0.0158207	0.0274351	0.0299586	0.03181	0.031004	0.0299974	0.0237469	0.0167644	0.0178799	0.0158958	0.0152572	0.0179275	0.0264163	0.0343642	0.0669672	0.0517716	0.0380807	0.0306401	0.0270174	0.0296067	0.0295473	0.0311641	0.0222373	0.0315279	0.0284083	0.0259311	0.0305021	0.032853	0.0383646	0.038083	0.0742037
frapper	0.0171286	0.00522585	0.00770506	0.00971145	0.0124244	0.0205104	0.0245223	0.0282205	0.0268631	0.020425	0.0137883	0.010808	0.0113333	0.0121183	0.0115302	0.0141949	0.0239081	0.0310467	0.0720374	0.0681679	0.0513042	0.0422855	0.0378258	0.0397607	0.0235931	0.0212539	0.0197462	0.0289937	0.0297795	0.0292016	0.0347286	0.0386732	0.038487	0.0411796	0.0815178
car	0.0156996	0.0146979	0.0201467	0.0158496	0.0179081	0.0276686	0.0231463	0.0201307	0.0191046	0.0203581	0.0186305	0.0191778	0.0199042	0.0229416	0.0231197	0.0295171	0.0402886	0.0389645	0.0308716	0.0260639	0.019651	0.0164149	0.0143085	0.0188537	0.0187142	0.0281029	0.0194231	0.0438563	0.04101	0.0378578	0.0435974	0.0444796	0.0483855	0.0521598	0.0889958
tu	0.0465216	0.0309721	0.0304249	0.0234282	0.0299726	0.0358201	0.0228773	0.0194246	0.017617	0.0140616	0.0122552	0.011539	0.0125468	0.0132184	0.0127016	0.0176079	0.0133129	0.0144635	0.0156214	0.0204571	0.0209559	0.0263195	0.0231661	0.0296272	0.0257108	0.0362175	0.034334	0.0395255	0.0384393	0.0380256	0.0402483	0.0417557	0.0465264	0.0554123	0.088892
me	0.0580818	0.031391	0.0250173	0.0249684	0.0232929	0.0211164	0.0123264	0.0101694	0.0103955	0.0102385	0.0104525	0.010835	0.0112317	0.01137	0.00987174	0.0136922	0.0117931	0.0188959	0.0158933	0.0153954	0.0144564	0.00758426	0.00775396	0.0107365	0.0109821	0.0156937	0.0164758	0.0560118	0.0530823	0.0620866	0.0673781	0.0751547	0.0703675	0.0823834	0.0934245
