 	e	k	á	r	í	r	í	y	á	s	i	n	g	a	y	é	y	é	e	k	ώ	b	h	ώ	s	ώ	a	b	ώ	ω	</S>
cette	0.010407	0.0104244	0.00990261	0.0122287	0.011229	0.00894397	0.00752634	0.0121776	0.0154426	0.0281823	0.0454245	0.0677104	0.0671307	0.0682866	0.0665065	0.0600242	0.0564815	0.0519713	0.0458322	0.0278614	0.0327217	0.0377641	0.0296543	0.0303018	0.0323027	0.0300478	0.0237308	0.02227	0.0229916	0.0231328	0.0313885
manière	0.00912429	0.0147989	0.0166678	0.0149351	0.0136469	0.00969508	0.0167326	0.0230202	0.0246349	0.0691911	0.0784154	0.130787	0.146581	0.0964202	0.0719378	0.0533652	0.029033	0.0181715	0.03332	0.0227126	0.0178202	0.0098239	0.0123627	0.0162211	0.0074762	0.013159	0.0118017	0.0116919	0.0038913	0.00144062	0.0011205
de	0.220259	0.0764947	0.0714975	0.0583282	0.0529805	0.0324479	0.0204975	0.0123937	0.0133928	0.014321	0.0150191	0.0182854	0.0176562	0.0188284	0.0220373	0.0284797	0.0379954	0.032066	0.0237818	0.0174786	0.0186124	0.0160235	0.017873	0.0199111	0.0152915	0.0146662	0.015429	0.0201512	0.0166582	0.0171766	0.0239669
tenir	0.0593653	0.0506594	0.0511379	0.0317338	0.0335503	0.0273805	0.0191609	0.0167823	0.0323284	0.0301181	0.0414026	0.0449792	0.0625495	0.0778085	0.0622025	0.0573337	0.0498266	0.0371031	0.0277541	0.0215757	0.015315	0.0103206	0.00728172	0.00997117	0.00506921	0.00836967	0.00798166	0.00945975	0.013887	0.020155	0.0574367
le	0.0227357	0.0304126	0.0442276	0.0601784	0.0635251	0.0642954	0.0458508	0.0363395	0.0620828	0.0432229	0.027307	0.0103372	0.00864479	0.0131272	0.0152475	0.0186266	0.0281886	0.0359912	0.0287203	0.0247557	0.0247493	0.0190021	0.0170305	0.0145543	0.0136674	0.0164375	0.0163091	0.0214339	0.0284539	0.0318638	0.112681
fil	0.021967	0.0237832	0.0410552	0.0385881	0.0888579	0.10516	0.0798355	0.0615864	0.0620823	0.0458032	0.00912719	0.00463623	0.00315333	0.00362971	0.00681939	0.0105892	0.0151301	0.0297631	0.0303257	0.0305226	0.0244612	0.0214541	0.0216132	0.0201703	0.0261487	0.0270619	0.0261651	0.0268768	0.0249004	0.0200214	0.048712
fatigue	0.0583431	0.034919	0.0346087	0.0345336	0.0319274	0.0418547	0.0423015	0.0556726	0.0435705	0.0324744	0.0146046	0.00592291	0.00380106	0.00298829	0.0048606	0.00597529	0.00997412	0.0248436	0.0266504	0.0246246	0.0163667	0.0144071	0.0166517	0.0200277	0.0214799	0.0324623	0.0390712	0.0431085	0.0625938	0.0729019	0.126478
les	0.0266145	0.0338601	0.058974	0.0723326	0.0819807	0.0992786	0.072738	0.055395	0.0606533	0.0495261	0.0338512	0.00694597	0.00491692	0.0036546	0.00394979	0.00447669	0.00976742	0.0163268	0.0171764	0.0173688	0.0161038	0.0135656	0.0133535	0.0137691	0.0115205	0.0162797	0.0141656	0.0197062	0.0246641	0.046422	0.0806623
mains	0.0320642	0.0522406	0.0795221	0.0927387	0.0978155	0.0537584	0.0400026	0.036796	0.0406901	0.0309027	0.0232314	0.00689454	0.00470518	0.00300622	0.00262261	0.00547776	0.011754	0.0173091	0.0205394	0.0252777	0.0225551	0.0181598	0.0181888	0.0205308	0.0214601	0.0247164	0.0168532	0.0227239	0.028576	0.0381799	0.0907074
</S>	0.0987797	0.0501586	0.0478613	0.0395044	0.0297	0.0241858	0.0273527	0.0324936	0.0467931	0.0428429	0.0396391	0.0196691	0.013352	0.0105343	0.0115743	0.0122073	0.0167905	0.036851	0.0336063	0.0328584	0.0261036	0.0218363	0.0265173	0.020254	0.0148324	0.0190207	0.0272756	0.0334619	0.0407753	0.0446931	0.0584757
