 	n	g	á	í	p	i	i	e	l	ó	n	d	a	m	í	d	z	a	l	a	</S>
j'	0.155169	0.158781	0.212168	0.106539	0.0524856	0.0488292	0.0188138	0.0163354	0.0159272	0.0168596	0.0174124	0.0207301	0.0256651	0.0340982	0.0181651	0.021583	0.0162487	0.0149972	0.011205	0.00807723	0.00990991
ai	0.255474	0.140525	0.182707	0.0349355	0.0175245	0.0168416	0.021032	0.0178379	0.0127038	0.0196108	0.0160158	0.0232053	0.018687	0.0170072	0.0178911	0.0207069	0.0212414	0.0206817	0.0212405	0.0401879	0.0639431
capturé	0.0383711	0.0322333	0.0261303	0.0430384	0.0352042	0.0282212	0.0357906	0.0644467	0.029624	0.0493422	0.0504706	0.0551302	0.0640723	0.0489613	0.0486644	0.0422934	0.0513091	0.0681849	0.0694218	0.0702623	0.0488277
une	0.0590073	0.0501678	0.0404891	0.0368815	0.0316688	0.0155128	0.020893	0.0200225	0.0129606	0.0314391	0.0163881	0.0615306	0.0398997	0.0514358	0.0244844	0.0505539	0.0583576	0.0755738	0.0802366	0.0956545	0.126842
rainette	0.0408202	0.0331585	0.0190539	0.0340254	0.0387547	0.0401461	0.0378529	0.0395414	0.0395652	0.0341368	0.0485404	0.0374757	0.0481924	0.0594464	0.069726	0.0609121	0.0562145	0.0411814	0.0483081	0.0555407	0.117407
pendant	0.231244	0.120108	0.0410034	0.0401029	0.0441018	0.048777	0.0415844	0.0372318	0.0360686	0.0285895	0.018397	0.0100498	0.0122103	0.0141008	0.0126807	0.0147535	0.0204491	0.016854	0.0332927	0.0605124	0.117889
la	0.0497219	0.0326547	0.0214274	0.0250791	0.0238028	0.0271854	0.0317174	0.0311321	0.02679	0.0298592	0.0297276	0.0300203	0.0344482	0.0477072	0.0552205	0.0625868	0.0700335	0.0741209	0.0790164	0.0894012	0.128347
pêche	0.0316814	0.0294584	0.0351528	0.0347382	0.0290291	0.0340987	0.0349182	0.0344038	0.0241886	0.0222473	0.023563	0.0222806	0.0261466	0.0395928	0.0499177	0.0628257	0.0766442	0.0691946	0.0918019	0.106398	0.121718
à	0.0914038	0.0469483	0.0342701	0.0373363	0.0339199	0.0417312	0.0335034	0.0332727	0.0390923	0.0244943	0.0328585	0.0229205	0.0188469	0.0218919	0.0218186	0.0269643	0.0282356	0.0382102	0.0794492	0.12175	0.171082
l'	0.0483204	0.0305484	0.0287486	0.014924	0.0136011	0.0119752	0.0121176	0.0146965	0.0115043	0.0204302	0.0213822	0.0225412	0.0305378	0.0415124	0.0525552	0.0543281	0.086366	0.107844	0.122892	0.122904	0.130271
écopée	0.0480594	0.0436629	0.042011	0.0152143	0.0142301	0.0132305	0.0114678	0.010857	0.0108767	0.0171413	0.0136869	0.0181785	0.0164852	0.0171855	0.0167646	0.0162653	0.0316664	0.0458025	0.112345	0.178504	0.306365
</S>	0.0879739	0.0442709	0.0366188	0.0171391	0.0153491	0.0182846	0.0155838	0.0153321	0.0168399	0.0127156	0.0152508	0.0169576	0.0167865	0.0181322	0.018196	0.0198125	0.0268358	0.0594328	0.0846168	0.169021	0.27485
