 	p	ώ	ω	é	t	s	ω	á	k	y	e	e	m	á	n	d	é	n	g	é	y	á	á	s	ε	r	έ	o	k	o	n	d	z	i	l	a	b	á	a	</S>
tout	0.0278541	0.0202345	0.0365603	0.0325456	0.0398119	0.0345798	0.0410497	0.0409398	0.0437177	0.0470402	0.0481055	0.0454121	0.0502594	0.0462593	0.0605255	0.029842	0.0221611	0.0129485	0.00825432	0.00829164	0.0116652	0.0148468	0.0117323	0.00722296	0.00627776	0.00477201	0.00450979	0.0043761	0.0059909	0.00625392	0.00608851	0.0154548	0.0156043	0.0285539	0.0278458	0.0272806	0.028001	0.0258826	0.0339279	0.0173198
s'	0.055488	0.0888016	0.0710853	0.0632033	0.0612146	0.06465	0.0473713	0.0322796	0.0223677	0.0232037	0.0357406	0.0382186	0.0353974	0.0208199	0.0248354	0.0241689	0.00549406	0.00538342	0.00369972	0.00341704	0.00624362	0.00354325	0.00713934	0.00561909	0.0115885	0.0149352	0.0216127	0.0223089	0.0223617	0.0300037	0.0314486	0.0226348	0.0243971	0.0138268	0.00713167	0.00965174	0.00789336	0.00436392	0.00394764	0.00250833
était	0.0372695	0.0326697	0.0313455	0.0304122	0.0305545	0.0228126	0.0245994	0.0234043	0.0226998	0.0176607	0.0149747	0.0127775	0.016823	0.0141989	0.0191102	0.03443	0.0325356	0.0839025	0.0288528	0.0396499	0.0366658	0.0273937	0.0265762	0.0301164	0.0193907	0.0298331	0.0177039	0.0353441	0.0282179	0.01515	0.014564	0.010489	0.011202	0.0225388	0.0270759	0.0282819	0.0151514	0.0114469	0.0119271	0.0102478
passé	0.0217139	0.0222094	0.0210086	0.0181459	0.0230709	0.0236343	0.034363	0.0360608	0.052718	0.0685111	0.0495016	0.0400752	0.0444025	0.0277205	0.026744	0.0300908	0.0244389	0.0284888	0.0254651	0.0242177	0.0412072	0.0289547	0.0251374	0.0180875	0.015028	0.0140335	0.0142632	0.0239795	0.0197621	0.0155479	0.0175184	0.0104909	0.0146599	0.0176342	0.0126108	0.0126861	0.00839569	0.0139436	0.0108772	0.0226014
comme	0.0241683	0.0163311	0.0149059	0.0209644	0.0204114	0.0214624	0.0221992	0.0222696	0.0235687	0.0284517	0.0256565	0.0257787	0.0286308	0.0288001	0.0319358	0.0420628	0.0590315	0.046043	0.0328775	0.0274943	0.0259728	0.0287609	0.0277565	0.0270051	0.0191406	0.0194541	0.0169603	0.0240863	0.0351242	0.0226476	0.0235422	0.0179696	0.0254828	0.0171059	0.0115681	0.0129935	0.0129615	0.0188566	0.0213702	0.0281974
le	0.00956877	0.00886631	0.0128712	0.0132488	0.0137888	0.0137426	0.0149975	0.0187433	0.0210518	0.0235531	0.021418	0.0257241	0.0268374	0.0233647	0.0275912	0.0327982	0.0397039	0.0325203	0.022601	0.0298037	0.0250467	0.0318826	0.0296403	0.0303353	0.0160716	0.0342309	0.030146	0.0480722	0.0499096	0.0341251	0.0220335	0.0238822	0.0291392	0.0269361	0.0239533	0.0217907	0.0258186	0.0262605	0.0185362	0.019395
chef	0.0408803	0.022416	0.0168736	0.0165373	0.0217084	0.0241804	0.0339659	0.031909	0.0296358	0.0361806	0.0366672	0.0232851	0.037377	0.0242618	0.0362808	0.0575812	0.045036	0.0486378	0.0361916	0.0424007	0.0316106	0.0390768	0.0271092	0.0171594	0.0103889	0.0127918	0.0154424	0.015985	0.0133097	0.00676577	0.0080366	0.00660715	0.0126931	0.0113296	0.00704229	0.0105186	0.0076362	0.0245472	0.0164531	0.0434903
l'	0.0187113	0.0161847	0.0149685	0.0136855	0.0144678	0.0158056	0.0205982	0.0181157	0.0162286	0.0232256	0.0239032	0.0271049	0.0356472	0.0300253	0.0310882	0.0398404	0.0423593	0.0706288	0.0619345	0.0673314	0.0505323	0.0482651	0.0506919	0.0397031	0.0217094	0.0201855	0.0189024	0.0120818	0.0181945	0.00730296	0.0107565	0.00613847	0.0077382	0.0050658	0.00384763	0.00636377	0.00382817	0.0131978	0.0111276	0.0425126
avait	0.0382381	0.0343395	0.0228325	0.018247	0.014028	0.0122836	0.0133512	0.013128	0.0145909	0.011432	0.00836496	0.00591122	0.00706498	0.00404167	0.00697519	0.015959	0.0278788	0.0389811	0.0387048	0.0500675	0.0795508	0.0655115	0.113383	0.0428349	0.0671133	0.0285545	0.0225274	0.00997488	0.0067638	0.00346179	0.00325833	0.00453899	0.0036094	0.00437739	0.00611696	0.00670303	0.0103452	0.0207793	0.0170143	0.0871615
prédit	0.0552618	0.0291493	0.0165552	0.0159029	0.0154641	0.0151996	0.0138857	0.00738312	0.00615674	0.00818018	0.00743699	0.00933814	0.00898228	0.00609297	0.00451671	0.00651654	0.0145478	0.0546931	0.0572806	0.0618655	0.0415787	0.055704	0.0511653	0.0462879	0.0361202	0.0291554	0.0270139	0.0169469	0.0225777	0.0187344	0.0266389	0.0103802	0.0214677	0.0185295	0.012781	0.0165242	0.0120027	0.0320396	0.0298774	0.0600653
</S>	0.0389484	0.0246901	0.0255092	0.0286796	0.0303525	0.0291749	0.0350922	0.0237104	0.017255	0.0134803	0.0105917	0.0111285	0.0106133	0.00621866	0.00613167	0.00577817	0.00527043	0.0187444	0.025426	0.030904	0.02059	0.038534	0.0418149	0.0362529	0.0363551	0.025912	0.0246068	0.0138732	0.013534	0.013719	0.0253198	0.0366473	0.0358231	0.0370008	0.0243175	0.0294225	0.0217637	0.0306615	0.037254	0.0588986
