 	n	g	á	í	k	ú	n	d	u	k	ó	l	o	s	á	n	g	o	n	d	a	</S>
j'	0.0961095	0.256554	0.194247	0.180748	0.0529328	0.0320721	0.00975665	0.0106504	0.00816609	0.0118793	0.0107759	0.0113113	0.010362	0.0144798	0.010814	0.00689962	0.0119397	0.012612	0.0177573	0.0133375	0.0139615	0.0126338
ai	0.247543	0.163684	0.0914531	0.0420722	0.012265	0.0262289	0.0504373	0.0603288	0.0741405	0.0767582	0.0512867	0.0156732	0.0100701	0.00645413	0.00774144	0.00648543	0.0106846	0.00976214	0.00632691	0.0055992	0.00849484	0.0165106
découvert	0.0447442	0.0582226	0.059933	0.0352428	0.0435827	0.0214296	0.0185196	0.0329077	0.0374537	0.0422349	0.0590746	0.0863491	0.0741869	0.0513334	0.0623277	0.0642055	0.0528094	0.0378973	0.0241359	0.0243658	0.0239285	0.0451152
le	0.0644184	0.0352833	0.0277113	0.0173949	0.0173649	0.0257669	0.0273097	0.020398	0.0237038	0.028349	0.0280848	0.0412023	0.0649078	0.0874142	0.0886061	0.0472054	0.0488319	0.0415405	0.0194365	0.0508053	0.0853088	0.108956
terrier	0.0149236	0.0166073	0.0118609	0.00776724	0.0136866	0.0167038	0.0187481	0.0270116	0.0287155	0.0687354	0.04896	0.0556768	0.0579747	0.04873	0.0531034	0.0531356	0.0534573	0.0568166	0.0590989	0.0772734	0.0935019	0.117511
d'	0.020478	0.0102031	0.0071715	0.00587693	0.0112129	0.0132887	0.0185952	0.0223278	0.0279947	0.0467852	0.0425782	0.0463145	0.0459198	0.0473107	0.0478546	0.057955	0.0470485	0.0595462	0.0633662	0.0904005	0.125905	0.141867
un	0.101376	0.0935068	0.0387236	0.0126858	0.0131746	0.0137312	0.0125846	0.0295073	0.0278141	0.0565475	0.0378868	0.0358464	0.0481992	0.0445826	0.0494101	0.046	0.047271	0.0491307	0.0461207	0.0556655	0.0577171	0.0825181
blaireau	0.0408577	0.0424927	0.0444143	0.0458181	0.0231878	0.0331965	0.0409001	0.028937	0.0339255	0.0395324	0.0396316	0.0328354	0.0481224	0.0440146	0.0593433	0.0673631	0.0487844	0.0767311	0.0255284	0.0333101	0.0636058	0.0874677
dans	0.0206832	0.0177179	0.0253405	0.0142704	0.0162025	0.0332984	0.0377227	0.0224215	0.0297332	0.0372183	0.0349129	0.0345639	0.0592064	0.0582785	0.0747265	0.0723028	0.0552919	0.0772827	0.0290367	0.0459415	0.0903299	0.113518
mon	0.0602719	0.016181	0.0271086	0.0122745	0.017868	0.0180996	0.0126189	0.0146847	0.0217425	0.0319848	0.0345053	0.04161	0.052644	0.0548526	0.0633988	0.0565147	0.0636607	0.0708911	0.0678148	0.0616259	0.0896071	0.11004
champ	0.0457759	0.0148465	0.0226727	0.0118109	0.0182869	0.033584	0.0205467	0.0136633	0.0174002	0.0242541	0.0211514	0.0262908	0.0342933	0.045008	0.058639	0.0649545	0.0723675	0.0894678	0.0791962	0.0642608	0.095229	0.126301
</S>	0.116012	0.0784431	0.0656857	0.0298806	0.0294392	0.0194582	0.0204026	0.0268595	0.033177	0.0336112	0.0352643	0.034638	0.0491661	0.0544335	0.0473699	0.03667	0.0331942	0.0366847	0.0425883	0.0331862	0.0435165	0.100319
