 	á	d	í	i	k	á	m	b	í	m	ó	w	a	k	a	á	m	ó	p	ó	s	á	b	e	a	y	é	é	d	í	l	a	w	a	</S>
on	0.122846	0.189986	0.164318	0.0589213	0.0167099	0.0121183	0.0145612	0.0120181	0.00927987	0.00755453	0.0100613	0.00858816	0.00657081	0.00820282	0.0127275	0.0151688	0.0230874	0.0223003	0.0173319	0.0162898	0.0204259	0.0195941	0.0177528	0.0196729	0.0113769	0.0198077	0.023548	0.0189745	0.0203087	0.0147099	0.0171041	0.0162997	0.00933455	0.0117237	0.0107252
ne	0.0717917	0.040262	0.05374	0.0281131	0.110773	0.0798044	0.0667734	0.0597119	0.0911799	0.0383598	0.0371012	0.00731724	0.0119782	0.0119119	0.0131578	0.0151826	0.0195282	0.0172619	0.0178862	0.00599985	0.00656902	0.00976354	0.00523334	0.00768184	0.00575766	0.015845	0.00572931	0.0060493	0.0128899	0.0253432	0.0215934	0.0183129	0.0234712	0.0138235	0.0241028
l'	0.0343786	0.0177351	0.0284985	0.0385278	0.0395309	0.0188193	0.0266042	0.0180204	0.0294928	0.0395908	0.0381395	0.0108666	0.0147242	0.0132548	0.0250055	0.0409892	0.0409084	0.047165	0.0335016	0.0493329	0.0512155	0.0479691	0.0422848	0.0389575	0.0346299	0.0291042	0.0137142	0.0121962	0.0119919	0.0121776	0.0161027	0.0249829	0.0132207	0.0152656	0.0311012
aime	0.131992	0.0951391	0.0850554	0.081658	0.0433998	0.104532	0.0679435	0.0714489	0.0501141	0.0423165	0.0389817	0.00846094	0.0148489	0.0106477	0.01325	0.037509	0.0115253	0.00828988	0.00630102	0.0063948	0.00294647	0.00320771	0.00372929	0.00241366	0.00455881	0.00418266	0.00503827	0.00764208	0.00569915	0.00305223	0.00284243	0.00221816	0.00456506	0.00294163	0.0151537
pas	0.0249037	0.0183692	0.0211556	0.0287966	0.0364761	0.0620946	0.0711969	0.0533449	0.0758892	0.0379329	0.0360091	0.0180441	0.0161634	0.0101361	0.00809363	0.0234026	0.0361942	0.0375714	0.0345318	0.0400006	0.0181922	0.0198484	0.0247879	0.0181231	0.0141728	0.0101612	0.00834877	0.0132448	0.0104252	0.0172249	0.0244522	0.0195901	0.0350523	0.0351233	0.0409463
à	0.0138685	0.00911824	0.0116851	0.0128398	0.0167023	0.0179582	0.0207949	0.0204231	0.0187549	0.0245525	0.0191508	0.0194126	0.014569	0.015651	0.0184981	0.0181447	0.0141814	0.0151431	0.015268	0.0190642	0.0222811	0.0173783	0.0297985	0.0498997	0.0400561	0.043531	0.048922	0.0696706	0.0665624	0.0610643	0.0530475	0.0399148	0.0371597	0.0228178	0.062116
cause	0.0305353	0.0138724	0.0174228	0.0227852	0.0193797	0.0198148	0.0229546	0.0254536	0.0294138	0.0362108	0.0293201	0.015906	0.0156928	0.0134936	0.016792	0.0167053	0.0164456	0.0181248	0.0134513	0.0156401	0.0208268	0.0310379	0.030403	0.0500701	0.0504838	0.0517001	0.0262554	0.0207995	0.0303635	0.0376443	0.0475555	0.04942	0.0452185	0.0369998	0.0618073
de	0.0424717	0.0210317	0.0220227	0.0342421	0.0284154	0.0236177	0.0249197	0.0180738	0.0184445	0.0185729	0.0152007	0.0187209	0.0122318	0.0130405	0.0121276	0.0119982	0.0118782	0.0119827	0.0112293	0.00995359	0.0121484	0.0134298	0.0163855	0.0507527	0.0331539	0.037507	0.0303543	0.0271438	0.0421385	0.0439601	0.0619027	0.0634033	0.0579208	0.0503319	0.0792916
son	0.0534052	0.0250131	0.0248778	0.0296439	0.0208764	0.0140497	0.0125865	0.0104016	0.012152	0.0106861	0.010317	0.0153529	0.00929524	0.00917543	0.0122444	0.0123054	0.0132589	0.0130522	0.0134951	0.0212462	0.0189682	0.0232949	0.0356074	0.0375686	0.0453625	0.0359487	0.0289461	0.0286746	0.0433198	0.049869	0.0674076	0.0524444	0.0587393	0.0556693	0.0747449
avarice	0.0224532	0.018711	0.0198502	0.0253625	0.0171216	0.0240535	0.0140274	0.016217	0.0166594	0.0177735	0.0181551	0.00626052	0.0174729	0.010861	0.0242321	0.0300732	0.0260772	0.032759	0.0267327	0.0260173	0.0248523	0.0314342	0.02503	0.0294457	0.0345903	0.0308542	0.0184338	0.0140405	0.0265947	0.0468109	0.0364195	0.0394413	0.0526668	0.0595352	0.11898
</S>	0.028133	0.0206968	0.0243704	0.0251635	0.0212645	0.0212513	0.0175002	0.0183343	0.0121567	0.0141231	0.0097548	0.00373305	0.00738258	0.00628805	0.0100236	0.00833266	0.00763086	0.0145568	0.0114926	0.0226019	0.0195912	0.0296015	0.0365759	0.063095	0.0591984	0.0428839	0.0286996	0.027413	0.0354954	0.0499574	0.0563786	0.0419397	0.0544341	0.0650327	0.0849129
