 	w	a	b	ó	l	á	a	b	h	a	a	g	h	á	e	n	ε	n	i	</S>
il	0.161173	0.169189	0.186102	0.192515	0.130704	0.0714324	0.0171327	0.0093137	0.00164857	0.00176053	0.00279274	0.00405171	0.0130382	0.0116908	0.00741442	0.00558762	0.00495966	0.00410078	0.00379955	0.00159371
est	0.0172078	0.012905	0.0240165	0.0251367	0.0313498	0.0441511	0.0543768	0.101591	0.18376	0.166653	0.106957	0.0865147	0.0448714	0.017602	0.00683809	0.00618618	0.00795044	0.00904689	0.0208928	0.0319932
en	0.0409573	0.0440685	0.0427218	0.0499096	0.0522386	0.0550695	0.0467601	0.0348437	0.0455655	0.0565673	0.0550751	0.0533949	0.0571952	0.0721449	0.0440378	0.0309635	0.043889	0.0488838	0.0402293	0.0854847
train	0.0320814	0.035559	0.0409794	0.037221	0.0436653	0.0333498	0.022697	0.0182005	0.0269219	0.0727038	0.0638396	0.0734256	0.0692777	0.0896472	0.0435839	0.0470127	0.0477838	0.0560503	0.0704553	0.0755448
de	0.0270487	0.0162333	0.0164578	0.0165572	0.0159869	0.0142874	0.0152622	0.0253346	0.0413662	0.0201426	0.0225656	0.0186966	0.0148104	0.0280501	0.0531324	0.0595167	0.0921403	0.0985309	0.131707	0.272173
se	0.0258606	0.0340761	0.0318537	0.0354528	0.0377499	0.0274781	0.0270318	0.0216667	0.0414773	0.0489934	0.088357	0.0541058	0.0559596	0.0525564	0.0592896	0.0605799	0.0864095	0.0880455	0.0706044	0.0524519
gratter	0.020029	0.0264553	0.0283125	0.0299231	0.0309877	0.0326212	0.033397	0.0325707	0.019179	0.0179527	0.0182204	0.0159736	0.0219327	0.0471922	0.0788661	0.096404	0.103165	0.114712	0.106708	0.125398
le	0.0189438	0.0260491	0.0253706	0.0377752	0.0367269	0.0252792	0.0403246	0.0552804	0.0787135	0.0343208	0.0557324	0.0326074	0.0145955	0.0167244	0.0362144	0.0319864	0.0526021	0.0592274	0.0661296	0.255396
flanc	0.0652208	0.0711108	0.0780845	0.0810217	0.0774864	0.0673206	0.042048	0.027794	0.0158697	0.0168502	0.0158294	0.0176166	0.0159782	0.0208267	0.0311659	0.0505135	0.0557418	0.0755459	0.0565996	0.117376
</S>	0.0542245	0.0509058	0.0541257	0.0510934	0.0691889	0.042595	0.0514382	0.0534292	0.0566552	0.0448302	0.0603167	0.0616294	0.0144533	0.0151354	0.0345538	0.0326832	0.0454581	0.0437154	0.0538927	0.109676
