 	e	t	o	n	g	o	y	é	é	d	í	l	i	b	o	m	b	o	i	y	í	í	</S>
il	0.0163286	0.0277782	0.0378927	0.0364616	0.0555532	0.0332465	0.0253136	0.0471622	0.0901057	0.163447	0.105233	0.051055	0.0350677	0.0300365	0.0424908	0.032595	0.0260973	0.0280344	0.0259201	0.0298991	0.0244988	0.0177848	0.017998
y	0.230983	0.187096	0.11836	0.0531237	0.0337458	0.00670427	0.0453659	0.0275299	0.0519385	0.0290972	0.0321363	0.0215111	0.0177234	0.0260333	0.0340593	0.0253726	0.0105629	0.0058028	0.0129951	0.00776842	0.00707179	0.00490458	0.010114
a	0.109276	0.10288	0.0820777	0.039436	0.0258273	0.0152547	0.0247071	0.0201518	0.0613158	0.0934289	0.0573467	0.0208693	0.0248344	0.0249332	0.0426963	0.0301669	0.0245301	0.0327732	0.0259682	0.0371434	0.0364157	0.0378409	0.0301258
beaucoup	0.0199946	0.0184667	0.0273216	0.0353423	0.0530757	0.0564787	0.0403242	0.058411	0.0404137	0.0860186	0.0684095	0.0539416	0.0595111	0.0438179	0.0790044	0.0420195	0.0305839	0.0363558	0.0306287	0.0346927	0.0307022	0.0245756	0.0299099
de	0.0216171	0.0375716	0.044459	0.0414382	0.0515293	0.0344624	0.0634405	0.0645622	0.0921842	0.0376694	0.0147204	0.0113371	0.0143201	0.0187194	0.0213823	0.0200397	0.0223385	0.0248573	0.0274554	0.0517125	0.0862857	0.103224	0.0946741
larves	0.048759	0.0404566	0.0336477	0.0396131	0.0523974	0.0686598	0.0592383	0.0612839	0.0666719	0.0303568	0.0126399	0.012083	0.0212391	0.0226784	0.0235791	0.0208541	0.0208497	0.0154638	0.0582621	0.046642	0.0966101	0.0675522	0.080462
dans	0.0309567	0.0292809	0.0309699	0.0316717	0.0443862	0.0311749	0.0263538	0.0195635	0.0144372	0.0122148	0.00902168	0.0137354	0.0212127	0.0207793	0.0207902	0.0286351	0.0376011	0.047799	0.101104	0.0941734	0.139899	0.0901783	0.104061
cet	0.0854135	0.0420604	0.0298926	0.0219718	0.0204823	0.0205422	0.0201659	0.0213372	0.0157359	0.0109758	0.00910511	0.00955142	0.011679	0.010145	0.0100211	0.010895	0.0123873	0.02194	0.0861294	0.113747	0.132162	0.125546	0.158114
étang	0.0644933	0.045535	0.0310838	0.0237672	0.0155879	0.00799855	0.00553003	0.00486289	0.00404565	0.00401107	0.0039817	0.00730563	0.0133102	0.0136316	0.0193444	0.0223354	0.0325292	0.0475272	0.0706767	0.112762	0.140639	0.139755	0.169287
</S>	0.0987809	0.071936	0.033464	0.0219781	0.0141142	0.00919883	0.00550155	0.00514102	0.00405625	0.00298207	0.00301079	0.00507015	0.0144767	0.00930706	0.00763464	0.00755468	0.0105219	0.0201478	0.0363281	0.0807786	0.108477	0.172445	0.257094
