 	a	b	v	ú	a	m	á	a	k	ó	m	b	ó	s	á	k	á	s	i	l	a	l	e	k	w	e	l	e	</S>
les	0.102537	0.0217134	0.0254411	0.0223489	0.0242378	0.0263407	0.058464	0.0664073	0.0534481	0.0739024	0.0381164	0.0215334	0.018555	0.027743	0.020088	0.0195983	0.0155408	0.0307727	0.0399663	0.0445794	0.0379738	0.0565287	0.0263452	0.0342455	0.0300099	0.0237687	0.00951917	0.0139589	0.0163155
arbres	0.0626556	0.0948391	0.148324	0.140047	0.15192	0.0594417	0.0486935	0.0363415	0.0291743	0.0278538	0.0197264	0.00721662	0.00286269	0.00630251	0.00620897	0.00291669	0.00613564	0.00594013	0.00628649	0.00543654	0.00984945	0.0131956	0.0111632	0.0273828	0.0116191	0.0176626	0.020193	0.0116402	0.00897158
perdent	0.0371198	0.0444355	0.0401865	0.0377507	0.0580549	0.0343378	0.0412237	0.0344481	0.0324123	0.0297698	0.0409542	0.0296786	0.04556	0.0485706	0.0468505	0.02986	0.0232289	0.0282701	0.0156588	0.0228944	0.0238653	0.0276992	0.0419333	0.0478706	0.0381183	0.046302	0.0186121	0.0248726	0.00946157
leurs	0.017292	0.0208462	0.0257198	0.0316121	0.0374574	0.0363407	0.0305351	0.0321553	0.0340994	0.0258766	0.0412125	0.0522974	0.0436592	0.0412702	0.0350393	0.0351186	0.0378401	0.0407842	0.0265157	0.0373394	0.0318398	0.0281598	0.0357321	0.0174086	0.0219159	0.018103	0.0447208	0.0605316	0.0585772
feuilles	0.0483005	0.0429761	0.0392951	0.0314099	0.0391517	0.0323164	0.0315477	0.0303166	0.0289296	0.02786	0.0353497	0.0411465	0.0436972	0.0470415	0.0573688	0.0457014	0.039774	0.023892	0.0133289	0.0170213	0.0262661	0.022534	0.0287517	0.031016	0.0175888	0.0268365	0.0342299	0.03824	0.0581119
pen	0.0258208	0.0210082	0.0195632	0.0214512	0.0396227	0.0326167	0.0354272	0.0315684	0.026853	0.0409929	0.0760616	0.0880285	0.0664652	0.0490646	0.0389448	0.0281396	0.0172864	0.014911	0.0113432	0.0175679	0.0301013	0.0306213	0.036254	0.0250991	0.0179179	0.014573	0.0403747	0.0484966	0.0538249
dant	0.0231045	0.0167923	0.0132089	0.011396	0.0202703	0.0148707	0.0166241	0.0141051	0.0147824	0.0150425	0.0184439	0.0283674	0.0246666	0.0321045	0.0414474	0.0489633	0.0558957	0.0417503	0.0439505	0.0534007	0.0603068	0.0569104	0.0582398	0.0557276	0.0206559	0.0345595	0.0643201	0.052545	0.0475474
la	0.0142423	0.0128117	0.0110416	0.0121755	0.0156888	0.0192908	0.0191619	0.0194838	0.0226417	0.0275127	0.0331317	0.0436224	0.027275	0.028594	0.0289926	0.0334625	0.0433955	0.0350188	0.0501636	0.0599589	0.0659475	0.0646591	0.0558828	0.0349788	0.0236998	0.0236639	0.0426034	0.0540345	0.0768641
petite	0.0104284	0.00963153	0.00780635	0.00817733	0.0144057	0.0118025	0.0121136	0.00878501	0.00791758	0.0117057	0.0131308	0.0123632	0.0139814	0.0158787	0.0220392	0.035833	0.060531	0.0429947	0.0472227	0.0529428	0.0667754	0.0702725	0.0466587	0.0399863	0.0436544	0.0411333	0.0763213	0.0956082	0.0998987
saison	0.0150365	0.0129982	0.0126653	0.0109035	0.0116905	0.0109519	0.01152	0.0106139	0.0120026	0.0114704	0.0126998	0.0164811	0.0114791	0.0150919	0.0188618	0.0361303	0.0616925	0.0611839	0.0418512	0.0479179	0.0756043	0.0696485	0.0634564	0.0511627	0.0559329	0.055592	0.0709491	0.061452	0.0529598
sèche	0.0379453	0.033644	0.0324426	0.0202209	0.0111842	0.0147759	0.0125109	0.0169506	0.0161109	0.0127798	0.0121505	0.0115063	0.00878435	0.0191267	0.0174323	0.0203547	0.0250834	0.0178894	0.0170031	0.0161648	0.0303953	0.0385721	0.0618058	0.0402113	0.0452802	0.0570671	0.104918	0.111094	0.136595
</S>	0.0368288	0.030213	0.0295194	0.0170189	0.0105327	0.0127718	0.011387	0.0130425	0.010894	0.0103867	0.0125785	0.0106607	0.0103608	0.023464	0.0207029	0.0365984	0.0395685	0.0342231	0.0230613	0.0206663	0.0355697	0.040713	0.063699	0.0354473	0.0423327	0.0573046	0.0800377	0.108622	0.121795
