 	a	m	b	á	n	g	é	á	d	í	b	ω	b	ω	s	á	l	e	p	á	n	g	e	</S>
il	0.157373	0.0968487	0.137997	0.0691768	0.0345245	0.0332622	0.0321151	0.0485096	0.0573649	0.0448874	0.0382385	0.0326961	0.0360968	0.032952	0.027427	0.0239051	0.0214814	0.0106171	0.0101413	0.00809491	0.00950341	0.0134807	0.00900798	0.0142991
y	0.0917564	0.153542	0.135514	0.101407	0.0507944	0.0275686	0.020854	0.0203679	0.0130774	0.0117435	0.0149075	0.0107265	0.0180727	0.0149156	0.021101	0.0660413	0.052062	0.0517879	0.0476863	0.0271631	0.0132116	0.0137641	0.0108506	0.0110842
a	0.063744	0.0581075	0.0365857	0.0338625	0.0257782	0.0569687	0.0714969	0.0773322	0.0612876	0.0465581	0.0416714	0.0717386	0.0953665	0.0572515	0.0272956	0.0148034	0.0127239	0.0111705	0.0128725	0.0137908	0.0145079	0.0188723	0.0241582	0.0520553
des	0.0262467	0.0358293	0.027749	0.0346486	0.0339601	0.0390787	0.0115338	0.0172855	0.0198915	0.0242153	0.0400096	0.0635495	0.097892	0.104051	0.072197	0.0513126	0.0367347	0.032819	0.0353091	0.0369059	0.0347041	0.0355528	0.0477074	0.0408169
mangues	0.0306026	0.0356172	0.0293625	0.0431562	0.0839867	0.0532164	0.045358	0.0377252	0.0347671	0.0270599	0.0354028	0.0468943	0.0480019	0.0419792	0.0367159	0.0368379	0.0380893	0.0320303	0.0287199	0.024524	0.0281547	0.0332194	0.0480488	0.10053
par	0.029631	0.0319277	0.0355796	0.0430011	0.0681348	0.0467927	0.0261421	0.0162483	0.0114596	0.00995761	0.0135381	0.0225077	0.0306339	0.0433799	0.0533012	0.0548912	0.0646133	0.0588672	0.0531762	0.0506899	0.0505298	0.0498622	0.0536593	0.0814756
terre	0.0332089	0.0264996	0.0208603	0.0202545	0.0217473	0.0147365	0.00901203	0.0119503	0.00842668	0.00664839	0.0153039	0.0223004	0.0401789	0.0495126	0.0657618	0.0732808	0.102526	0.0901525	0.0690154	0.0580346	0.0594201	0.0578297	0.0563836	0.0669551
dans	0.025966	0.0280447	0.0334974	0.026826	0.0253182	0.0185484	0.00714242	0.00767556	0.00618836	0.00546802	0.0091678	0.00991233	0.0262018	0.0478195	0.0689448	0.0800425	0.101422	0.0968845	0.0769621	0.0553855	0.0439857	0.0528073	0.0518749	0.0939146
la	0.0407473	0.0281816	0.027983	0.019347	0.0108475	0.010478	0.00361531	0.00420646	0.0025193	0.00140162	0.00183109	0.00177845	0.00516083	0.0166624	0.0644513	0.0907909	0.115371	0.0984564	0.0828201	0.0690892	0.0673594	0.0762131	0.0765904	0.0840981
cour	0.042483	0.0301327	0.0263094	0.0232981	0.0216439	0.00687711	0.00209767	0.0019201	0.00128551	0.00111902	0.00182559	0.00269155	0.00944021	0.025601	0.060196	0.0790869	0.0717612	0.116316	0.121543	0.0730669	0.0727227	0.0697208	0.0684221	0.0704398
</S>	0.10036	0.0690297	0.0681702	0.0444179	0.0297346	0.0241634	0.00712445	0.0125853	0.00710727	0.00488435	0.00785275	0.00948231	0.0174026	0.0286447	0.0862781	0.0480831	0.039879	0.0324728	0.0338024	0.041912	0.0296694	0.0623954	0.0638224	0.130726
