 	e	k	ω	n	í	í	l	í	y	á	m	w	á	n	a	w	ó	é	d	í	l	o	d	í	n	g	á	</S>
la	0.0151098	0.0154765	0.0165927	0.0158403	0.00918917	0.00728108	0.00745479	0.00811631	0.0134193	0.0200643	0.0691868	0.0566718	0.0525658	0.0467116	0.0261005	0.0330209	0.0212713	0.0280546	0.0202151	0.0334538	0.0550323	0.0774346	0.0680218	0.0647828	0.0620867	0.0509039	0.0644298	0.0415117
manière	0.0240469	0.0571146	0.054061	0.052612	0.0246058	0.0224364	0.0333807	0.0714517	0.033785	0.0334962	0.0592023	0.0321695	0.0366719	0.034426	0.0425597	0.0576591	0.0646637	0.0316427	0.0288728	0.0375575	0.0406752	0.0515115	0.020742	0.0203555	0.0166178	0.00970664	0.00574822	0.00222763
de	0.163956	0.0669683	0.0382412	0.0301868	0.019233	0.0123222	0.0077604	0.00860897	0.00845214	0.0125374	0.0245418	0.0231007	0.0303867	0.0376672	0.056475	0.0542391	0.0827952	0.0610803	0.0865904	0.0429341	0.0239283	0.0144335	0.0218662	0.0185996	0.0100527	0.0126524	0.0174623	0.0129279
marcher	0.125854	0.100034	0.0868191	0.0773527	0.0318453	0.0193269	0.0108327	0.0142154	0.0127193	0.00765482	0.0135146	0.0168705	0.0263214	0.0289737	0.0358744	0.0164862	0.0229697	0.0353504	0.047727	0.0405737	0.0181536	0.0210028	0.0124725	0.0115822	0.0195284	0.0181515	0.0409603	0.0868331
à	0.056257	0.0374243	0.0481414	0.0960862	0.154681	0.0939572	0.0577607	0.044197	0.0265519	0.011176	0.0084827	0.0066355	0.01298	0.0251173	0.0437286	0.0227073	0.0314446	0.0254442	0.033291	0.0222724	0.014384	0.00744382	0.0198084	0.0235896	0.0117755	0.0124839	0.0234003	0.028778
quatre	0.0778385	0.0549008	0.0588446	0.0712748	0.0887733	0.0636553	0.065869	0.0512483	0.0359764	0.019044	0.0203722	0.00618588	0.00538226	0.00935708	0.0134038	0.0154926	0.0174603	0.027815	0.0336043	0.0206922	0.0135041	0.0109602	0.0189837	0.0209136	0.0137912	0.0260465	0.0492004	0.0894095
pattes	0.0826474	0.0547629	0.047808	0.0482006	0.0567503	0.0443541	0.0542828	0.0522006	0.0581415	0.0296177	0.0147055	0.0105861	0.00553002	0.00775152	0.00699413	0.00768717	0.00694187	0.010842	0.00953669	0.00937941	0.00778083	0.00843785	0.0149861	0.0178088	0.0268209	0.0690212	0.0989785	0.137446
de	0.0603049	0.0704618	0.0620885	0.0709098	0.0774965	0.0697865	0.0823845	0.0691959	0.0648533	0.03976	0.0257244	0.0185804	0.0044915	0.00283326	0.00253295	0.00222551	0.00207891	0.00382904	0.0030602	0.00337284	0.00428196	0.00515399	0.00767245	0.00871821	0.00788246	0.0200624	0.0634638	0.146794
cet	0.0832957	0.0588923	0.046976	0.0572472	0.0314132	0.0294985	0.0217204	0.0243316	0.0187925	0.0223865	0.022669	0.0192307	0.0155011	0.0128128	0.0047753	0.00996736	0.00830888	0.0141871	0.00880994	0.00942187	0.0189828	0.0350125	0.0379623	0.042299	0.0604047	0.0618505	0.0888598	0.13439
enfant	0.143871	0.0800491	0.0534981	0.0351525	0.0204581	0.016897	0.0114621	0.0134011	0.00888105	0.00736142	0.0108606	0.00970115	0.00945986	0.00587125	0.0062559	0.0106315	0.00853192	0.00878711	0.00584528	0.0137043	0.0221106	0.0439397	0.0335964	0.0204678	0.0343947	0.0847313	0.0903207	0.189758
est	0.22503	0.139903	0.0699328	0.0491632	0.0331184	0.0234696	0.0141381	0.0138596	0.0108661	0.00860176	0.00988497	0.00585459	0.00593083	0.00520298	0.00596102	0.0107406	0.015921	0.00550352	0.00548346	0.00544099	0.0134144	0.0193406	0.0186123	0.00986611	0.01162	0.0581462	0.064443	0.140551
très	0.306399	0.13988	0.0711286	0.0838173	0.0281419	0.0188476	0.012362	0.0132618	0.00844063	0.0108698	0.0118015	0.00459669	0.00284194	0.00465189	0.00531128	0.00785987	0.0133641	0.00691947	0.00614963	0.00517472	0.00934118	0.0148188	0.0142196	0.00966004	0.0109678	0.0342865	0.026563	0.118324
lente	0.262544	0.0975909	0.0346042	0.0323465	0.00921521	0.00917237	0.0116676	0.0117695	0.0106161	0.0123488	0.0154254	0.0104404	0.00603915	0.00714496	0.00761017	0.00843306	0.00816918	0.00475325	0.00546613	0.00677439	0.0272329	0.023971	0.0427331	0.024518	0.0144283	0.0715952	0.0381675	0.185223
</S>	0.0676966	0.0664655	0.043426	0.0296074	0.0135085	0.0133824	0.008707	0.0100273	0.00789863	0.00756581	0.0106871	0.0125897	0.0146792	0.0155798	0.01689	0.0232657	0.0342597	0.0242643	0.0510383	0.0469447	0.0694264	0.0577167	0.0840838	0.0599	0.0415864	0.0582847	0.0471181	0.0634004
