 	m	b	o	o	y	é	é	f	u	r	ú	s	ú	b	á	a	w	a	é	p	é	n	d	i	</S>
la	0.0109699	0.0245741	0.0323972	0.0367162	0.0306681	0.0313831	0.0322121	0.0439499	0.037055	0.0539034	0.0561768	0.0758271	0.072408	0.0659396	0.0596341	0.0477302	0.0707558	0.0292939	0.0244445	0.026438	0.0253041	0.0295831	0.0255095	0.0293938	0.0277327
texe	0.0253603	0.0639841	0.0927176	0.108959	0.0887139	0.0488126	0.0643508	0.0556357	0.056873	0.0453567	0.0147775	0.0587889	0.0415805	0.0664906	0.0422407	0.0145555	0.0304964	0.0178481	0.00659674	0.00577767	0.00949246	0.0107599	0.0149721	0.00795628	0.00690337
qu'	0.102375	0.0676482	0.0387102	0.0208972	0.0126894	0.00732346	0.00709763	0.00587862	0.00677808	0.0116552	0.0202845	0.0350562	0.0762503	0.123963	0.0752983	0.0708254	0.0654042	0.0496716	0.0334272	0.0307908	0.0175841	0.0319436	0.0279346	0.034986	0.0255266
on	0.0447667	0.0512253	0.0373093	0.0229226	0.0167314	0.0177848	0.0281152	0.0470462	0.0493527	0.110507	0.0693869	0.0944949	0.072874	0.0453096	0.0399763	0.0116513	0.00848727	0.0102584	0.0230372	0.0248451	0.0122664	0.0163178	0.0146044	0.0307832	0.0999459
lui	0.064794	0.0684237	0.0752961	0.0748202	0.0630182	0.0554609	0.0523285	0.0377273	0.0185729	0.023026	0.0140593	0.0181598	0.0178405	0.028319	0.0484176	0.0352641	0.0296982	0.0368975	0.0574492	0.0496024	0.0228838	0.0224709	0.01718	0.0244472	0.0438425
a	0.0835926	0.0812799	0.0750645	0.0562065	0.0512995	0.0532952	0.051111	0.0269351	0.0203306	0.022739	0.0150722	0.0162903	0.0192702	0.0331359	0.038776	0.0323762	0.0389212	0.0149163	0.0173951	0.027997	0.0321958	0.0317858	0.0345238	0.0481527	0.0773377
fait	0.078759	0.0607556	0.0533914	0.0356113	0.0436493	0.0475468	0.0416915	0.0298398	0.0319926	0.0488853	0.0168945	0.0202921	0.0256667	0.0246209	0.0337875	0.0286307	0.0357176	0.0215491	0.016327	0.0305048	0.0441349	0.0429259	0.0453091	0.0600886	0.0814282
payer	0.14112	0.0867079	0.0753968	0.0699933	0.0793159	0.0730245	0.041899	0.0382886	0.0523388	0.0623398	0.038841	0.028089	0.024251	0.0235912	0.0176025	0.00554712	0.0143596	0.00592879	0.00289725	0.00639146	0.012546	0.0136052	0.0208477	0.0244531	0.0406243
est	0.207483	0.105861	0.0873264	0.0725128	0.0613704	0.05654	0.0442104	0.0313451	0.0301368	0.0393655	0.0252107	0.0163512	0.0122808	0.011057	0.00785722	0.00673384	0.0116322	0.004251	0.00810574	0.0110014	0.00972466	0.0188054	0.0190245	0.0353594	0.0664533
excessive	0.152195	0.0924754	0.0663728	0.0482022	0.0312894	0.0166046	0.0148945	0.0145484	0.015534	0.0170701	0.0158798	0.0177168	0.0186761	0.017515	0.0279613	0.0217542	0.0301854	0.0278178	0.0178694	0.0298404	0.0290758	0.0423883	0.0512858	0.0476999	0.135147
</S>	0.137319	0.0867142	0.0752992	0.0666278	0.0560971	0.0462444	0.0316818	0.0206188	0.0247527	0.0215438	0.0145687	0.00947873	0.00484549	0.00326226	0.00573387	0.00372436	0.00672919	0.00326382	0.00795592	0.010583	0.0234926	0.0286965	0.0548647	0.0843916	0.171511
