 	n	g	á	l	í	i	d	z	e	m	á	m	ó	n	g	ω	n	g	ω	s	á	ω	t	ω	m	b	í	l	i	</S>
je	0.051887	0.2545	0.40321	0.161854	0.0466321	0.0245921	0.0201355	0.00590707	0.00218612	0.00185978	0.00260632	0.00137289	0.00115295	0.00106024	0.00122384	0.000947522	0.00103985	0.00124891	0.00103731	0.00108107	0.00126616	0.00147998	0.00143974	0.00142545	0.00130804	0.00142466	0.00153459	0.00174723	0.00166396	0.001175
vais	0.00724419	0.00524753	0.00705846	0.00826239	0.0275913	0.0306436	0.0496353	0.0887211	0.102341	0.106298	0.099882	0.142993	0.0491674	0.0370147	0.0373782	0.0394464	0.0391785	0.0170921	0.0241487	0.0314377	0.011921	0.00447233	0.00181585	0.00148878	0.00345661	0.00491455	0.00338662	0.00380808	0.00398159	0.00997382
m'	0.0343347	0.0449113	0.0289684	0.0283014	0.0215925	0.0110904	0.0171206	0.0174712	0.0338056	0.0240308	0.0334888	0.027972	0.034432	0.0453705	0.063663	0.0736573	0.078548	0.0388973	0.0210022	0.0272233	0.0291634	0.0336011	0.0296248	0.0274074	0.0447242	0.0226633	0.0165129	0.0207176	0.0253356	0.0443684
asseoir	0.026544	0.0260878	0.0230627	0.0264425	0.0173079	0.00863266	0.00608007	0.00793886	0.00881072	0.0088148	0.0110268	0.0367588	0.0394442	0.0439459	0.0709518	0.067123	0.0880652	0.0510298	0.0342684	0.0311053	0.027848	0.0308021	0.0357338	0.0429897	0.0347389	0.0394853	0.0419219	0.0343782	0.041469	0.0371921
à	0.0250709	0.0113068	0.00953618	0.00918578	0.00923591	0.0111744	0.00661382	0.0055449	0.00676833	0.0105854	0.017472	0.0230011	0.019024	0.0191341	0.0189075	0.0150994	0.0144862	0.0140145	0.0188501	0.0283975	0.0360942	0.0487287	0.0522523	0.0606073	0.0838483	0.0730175	0.0758006	0.0794704	0.0792708	0.117501
l'	0.0243594	0.0137631	0.0123239	0.0126777	0.0143422	0.0128598	0.00728206	0.00910435	0.0218821	0.0300678	0.0316696	0.0418339	0.0400066	0.040428	0.0386467	0.0228643	0.0180421	0.0183762	0.0245511	0.0315132	0.0375258	0.0438074	0.0465111	0.0582554	0.0452379	0.0485419	0.050025	0.0548339	0.0498196	0.0988481
arrière	0.00493333	0.00474258	0.00381649	0.00387089	0.00388839	0.00271292	0.0028014	0.00401778	0.0109169	0.018951	0.0231721	0.0716672	0.0658907	0.0562419	0.0659519	0.0498787	0.0451393	0.0408593	0.048774	0.0527634	0.0388294	0.0496914	0.0400971	0.0345622	0.0412478	0.043677	0.0453357	0.0342853	0.0306921	0.0605918
de	0.0537259	0.0453663	0.0392147	0.0387909	0.0227116	0.0257257	0.0168909	0.0165435	0.0176137	0.0236972	0.0218668	0.0255382	0.0241036	0.0213768	0.0207739	0.0161662	0.0142984	0.01361	0.0137738	0.0161133	0.0162771	0.0365854	0.0352409	0.0463012	0.0547457	0.0607077	0.0620932	0.0586352	0.0515047	0.0900076
la	0.0272053	0.0177759	0.0161171	0.0186172	0.0143767	0.0187076	0.014868	0.0136232	0.0175844	0.0221404	0.0175307	0.0219784	0.0215707	0.0200212	0.0191671	0.0173009	0.0180134	0.012448	0.0161923	0.0319223	0.0354887	0.0530512	0.0317225	0.0310801	0.0383768	0.0464284	0.0819549	0.0914645	0.0995602	0.113712
voiture	0.0168629	0.0115872	0.0113573	0.010322	0.00554409	0.00569811	0.00502531	0.00569737	0.00791975	0.00733213	0.00718612	0.0151802	0.0175265	0.0177663	0.0364847	0.0237711	0.0342379	0.0305471	0.0354103	0.0660709	0.0548633	0.0640773	0.0307565	0.0223439	0.0360337	0.0540645	0.0909079	0.0835922	0.0884128	0.103421
</S>	0.040278	0.0145438	0.0109432	0.013825	0.0147779	0.01795	0.0157694	0.0162867	0.0171181	0.0164763	0.0157321	0.0277582	0.0276489	0.0221341	0.0270582	0.0194555	0.0275136	0.0164868	0.0153025	0.0247245	0.0216768	0.0273023	0.0130489	0.0161936	0.0299335	0.0422744	0.0933711	0.0912684	0.119433	0.143715
