 	b	á	n	a	á	m	i	p	f	u	s	á	á	m	á	a	s	á	n	d	é	e	</S>
les	0.026139	0.0708277	0.0228759	0.0171132	0.0290697	0.00988353	0.0136028	0.0201072	0.0227875	0.0398043	0.0820942	0.203181	0.12804	0.0534864	0.0800501	0.0550314	0.0394884	0.03614	0.0140092	0.0122034	0.00787074	0.00744866	0.00874546
enfants	0.132077	0.0733768	0.115042	0.0691179	0.0823047	0.0491903	0.0563581	0.0382538	0.0565382	0.0499089	0.0283936	0.0722187	0.0348021	0.0229655	0.0208692	0.0197982	0.0155453	0.0187961	0.013454	0.00983551	0.00903055	0.00647518	0.00564774
ont	0.0597766	0.0318072	0.0362435	0.0351587	0.0464594	0.0319621	0.015109	0.0147694	0.0259336	0.0416323	0.0352096	0.143723	0.0757409	0.105568	0.094973	0.07254	0.0442093	0.0318073	0.0198454	0.0115726	0.00725205	0.00777442	0.0109324
renversé	0.0139445	0.0209978	0.0252616	0.02309	0.0241755	0.0259011	0.0360818	0.0317824	0.034916	0.0437246	0.0559287	0.0270489	0.0307951	0.066439	0.113908	0.101964	0.055852	0.0683944	0.0458106	0.0354262	0.0335668	0.0502285	0.034762
de	0.0871021	0.0471969	0.0600525	0.0625014	0.0418822	0.0452981	0.0300545	0.0149008	0.02264	0.0169359	0.0135308	0.0092784	0.0135552	0.0148373	0.0137478	0.0191495	0.033028	0.0409721	0.0419935	0.0582648	0.0794947	0.0861068	0.147477
l'	0.047812	0.0239085	0.0275508	0.0384406	0.037594	0.0454844	0.0375664	0.0292986	0.0259114	0.0246604	0.0232259	0.0262375	0.0416795	0.0405416	0.0381878	0.0361108	0.0545282	0.0584404	0.0564828	0.062148	0.0514393	0.057821	0.11493
eau	0.0624556	0.0242829	0.0226836	0.0230524	0.0203292	0.0278025	0.030661	0.0225603	0.0175683	0.014782	0.0152206	0.0109437	0.019872	0.0409504	0.0383006	0.0408637	0.0519457	0.0592075	0.0664173	0.0578336	0.050095	0.0622536	0.219919
dans	0.05618	0.0189411	0.019723	0.0262487	0.02341	0.0309183	0.0232818	0.0159836	0.014862	0.0131621	0.00898046	0.00591495	0.0107987	0.0186548	0.0181976	0.0265519	0.0406924	0.0468906	0.0514576	0.0651346	0.0900312	0.113486	0.260498
la	0.0846584	0.0313781	0.0381969	0.041348	0.0333244	0.0373584	0.0207772	0.0101562	0.0068629	0.00581717	0.00528446	0.00325101	0.00647652	0.0140316	0.0184244	0.0294807	0.0375979	0.0569571	0.0615697	0.0840588	0.106835	0.10364	0.162515
maison	0.0665096	0.0321324	0.039349	0.0297061	0.0164192	0.0144813	0.00928103	0.00715855	0.00731954	0.00652004	0.00652444	0.00493042	0.00790957	0.0103735	0.0133554	0.023529	0.031109	0.0537315	0.079064	0.109743	0.138989	0.128389	0.163475
</S>	0.11258	0.044595	0.0571764	0.0394598	0.0317128	0.0299619	0.0159981	0.00696645	0.00496799	0.00365413	0.00232285	0.00203704	0.00626615	0.0120176	0.0218156	0.0288005	0.0364379	0.0632571	0.0504919	0.0720155	0.0959358	0.131322	0.130208
