 	i	b	a	a	á	d	z	a	l	á	a	n	y	w	á	m	b	έ	ε	y	á	w	a	ó	t	s	ω	p	í	</S>
l'	0.029146	0.0133531	0.0118544	0.00787243	0.00884674	0.00737697	0.0135328	0.0134396	0.0239877	0.0301228	0.0477665	0.0541607	0.054893	0.0582761	0.0532606	0.0461596	0.0413716	0.0357114	0.0443701	0.0351534	0.0561673	0.0423892	0.0425325	0.0446622	0.0443772	0.0386219	0.0320738	0.0282431	0.0195287	0.0207488
homme	0.174574	0.21611	0.271082	0.0886486	0.056733	0.030163	0.0252681	0.0106713	0.0110386	0.00732065	0.00716856	0.00262858	0.000435731	0.00184382	0.0045227	0.00324181	0.0223509	0.0159492	0.0100495	0.00634389	0.00545438	0.00416388	0.00531311	0.00302912	0.00228132	0.00361818	0.00375486	0.00339808	0.0017813	0.00106245
tirait	0.0328534	0.0203678	0.0174084	0.0148471	0.0209108	0.0236017	0.0164644	0.020618	0.0254047	0.0368983	0.0271993	0.0194661	0.0248978	0.0350925	0.0236464	0.0138309	0.0272577	0.0246282	0.0688269	0.0328315	0.144955	0.0861806	0.0899595	0.0531298	0.0330685	0.0239354	0.0188139	0.0108446	0.00710792	0.00495319
calmement	0.0149377	0.0370461	0.0400065	0.0347624	0.0335703	0.0306066	0.0293096	0.0425656	0.0238825	0.0258727	0.0359891	0.0428426	0.0436104	0.0274043	0.0179639	0.0361268	0.0405878	0.0371098	0.0555798	0.0587142	0.0410898	0.0211659	0.010459	0.0138726	0.0131368	0.0301415	0.0187044	0.0396402	0.0406746	0.0626262
des	0.0368716	0.0405893	0.0334626	0.0264553	0.0281398	0.0431536	0.0437404	0.0471536	0.0419468	0.0537431	0.0375977	0.0407946	0.0391615	0.0361371	0.0199596	0.0177038	0.0209926	0.0181001	0.0232409	0.0282665	0.0251141	0.021117	0.0140739	0.0124515	0.0190071	0.0196249	0.0321347	0.0342839	0.038751	0.106231
bouffées	0.030655	0.030025	0.0287587	0.0291371	0.0298829	0.0309509	0.0298184	0.0226865	0.0290524	0.0256034	0.0174504	0.0225903	0.0283609	0.012672	0.020437	0.017185	0.0241219	0.0219259	0.0383708	0.0417255	0.0442523	0.0456806	0.0403657	0.0402433	0.0418201	0.0398915	0.0412804	0.0488484	0.0447594	0.0814485
de	0.0239499	0.0227004	0.0191188	0.0201343	0.0241283	0.0243689	0.0230052	0.0286019	0.0225296	0.02635	0.0307046	0.0316394	0.0369207	0.0284715	0.0438371	0.0492074	0.0600834	0.0513377	0.0408244	0.0325354	0.0166709	0.0172544	0.0150615	0.0210605	0.0245986	0.030431	0.0334582	0.0555401	0.0674784	0.0779976
sa	0.024551	0.0282701	0.0246107	0.0206302	0.0214387	0.0142247	0.0125589	0.0138958	0.00611239	0.010027	0.0120567	0.0141097	0.0243379	0.0122711	0.0259723	0.0225382	0.0143339	0.0150611	0.0166173	0.0310846	0.026326	0.0391605	0.0340134	0.0480164	0.0770453	0.055284	0.0794772	0.0893058	0.0939573	0.0927119
pipe	0.039146	0.035913	0.0221689	0.0189956	0.0177876	0.0120309	0.00774675	0.0091007	0.00535232	0.00721349	0.0100165	0.00966978	0.0168912	0.00940431	0.026356	0.0381129	0.027535	0.0296181	0.039416	0.0416407	0.0199909	0.0189081	0.0178279	0.0324454	0.0363647	0.0596142	0.0590968	0.104835	0.097809	0.128992
</S>	0.0343938	0.0346456	0.0325995	0.031334	0.0274667	0.0264353	0.0170396	0.0207782	0.00895464	0.0160479	0.00991109	0.0127278	0.0186991	0.00907565	0.0190285	0.0202732	0.0119828	0.0118459	0.0226671	0.0520863	0.0538419	0.0396712	0.0159354	0.0289259	0.0414382	0.0556137	0.0470191	0.069069	0.0827429	0.12775
