 	o	y	ú	r	u	w	á	l	á	a	y	ώ	ώ	b	á	n	a	m	ó	p	á	m	i	y	á	w	a	m	έ	n	ε	</S>
cette	0.00809964	0.00907226	0.00800629	0.00873734	0.00543451	0.00491256	0.00497193	0.0158425	0.0139555	0.0223057	0.0275935	0.11141	0.0823982	0.0909012	0.0353516	0.0322796	0.0275457	0.0213986	0.0113596	0.0177599	0.0165312	0.023556	0.0615555	0.0384703	0.0331086	0.0376217	0.0352194	0.040845	0.0313511	0.0274565	0.0319838	0.0629648
femme	0.21643	0.198249	0.289418	0.146509	0.0481749	0.00430766	0.0186534	0.00997892	0.00741118	0.00380324	0.00312651	0.00208049	0.00194762	0.00174213	0.00151527	0.00205833	0.00185073	0.00321464	0.00314601	0.00294418	0.00243445	0.00575313	0.00820379	0.00655589	0.00240352	0.00243577	0.00108113	0.00226085	0.000869832	0.000885765	0.000325607	0.000229954
élève	0.0377223	0.016561	0.0159698	0.0137963	0.0341266	0.062385	0.0860422	0.0603307	0.102779	0.142696	0.0805361	0.0346917	0.0331384	0.0307585	0.0376063	0.0240495	0.0328351	0.0213194	0.0135972	0.0104309	0.0080436	0.0102332	0.0070255	0.0054473	0.00812433	0.00521975	0.00797523	0.00857266	0.00622795	0.010528	0.0177733	0.013457
ses	0.0359781	0.065524	0.0760989	0.0780272	0.0915871	0.0220797	0.0304374	0.0234439	0.00692911	0.00883078	0.00769076	0.0129414	0.0245428	0.023322	0.0221369	0.0182666	0.025472	0.0316082	0.0257785	0.0440086	0.034126	0.0409053	0.0417008	0.0223689	0.0233621	0.0109743	0.0149448	0.0279212	0.0170728	0.0298154	0.0314632	0.0306412
enfants	0.0243197	0.0229225	0.0212412	0.023249	0.0245252	0.0112171	0.0145865	0.0146133	0.0137417	0.0170311	0.0130494	0.0223586	0.0342262	0.0411054	0.0386493	0.043406	0.0472542	0.046366	0.0472012	0.0452375	0.0406006	0.0400544	0.0415728	0.0448166	0.0333633	0.0408171	0.0342403	0.0372525	0.0314619	0.0315073	0.0294329	0.0285791
par	0.0165069	0.0157503	0.0156256	0.0226936	0.0206155	0.0125551	0.0132689	0.0135346	0.0172968	0.0176625	0.0138697	0.0204275	0.0283654	0.0302128	0.0461682	0.0605118	0.0905763	0.0869903	0.0927384	0.0828063	0.0716516	0.0498336	0.0178822	0.015613	0.0152353	0.0120173	0.0111895	0.0123711	0.0107105	0.0129723	0.0184418	0.0339053
ses	0.058275	0.0415238	0.0368252	0.0480443	0.0525035	0.0230781	0.0269877	0.0218908	0.0258891	0.0203219	0.0242672	0.0217021	0.031043	0.0332649	0.051886	0.0699837	0.0835384	0.0481489	0.0350505	0.0376119	0.0306944	0.0223702	0.00606636	0.0059569	0.00725984	0.00356706	0.00422591	0.00787116	0.00595372	0.019626	0.0252106	0.0693618
propres	0.0222443	0.0266881	0.0211579	0.0226383	0.0217988	0.0199167	0.0177329	0.0185431	0.0180046	0.0225761	0.0262035	0.0446275	0.0664209	0.0655388	0.068452	0.0631677	0.0515258	0.031034	0.0245825	0.0132635	0.0147863	0.0110547	0.0108159	0.0079497	0.0124523	0.00455863	0.00565123	0.0148319	0.00978375	0.0354852	0.054314	0.152199
moyens	0.0356682	0.0241646	0.0193087	0.017666	0.0144968	0.00706844	0.00666875	0.00500069	0.00477039	0.00584797	0.00794113	0.0103325	0.0170714	0.0190489	0.0271512	0.0329551	0.0471281	0.0393574	0.0581048	0.0538747	0.0733552	0.0562312	0.0513163	0.03293	0.0328339	0.00793256	0.0251803	0.0382319	0.0338426	0.0535971	0.0635738	0.0773497
</S>	0.061201	0.0437122	0.0267157	0.0179336	0.0104099	0.00844054	0.00641639	0.00640649	0.00543183	0.00869586	0.00763715	0.0119714	0.0187064	0.0171847	0.0284394	0.0270137	0.0337063	0.0261194	0.0342634	0.0304148	0.0482071	0.0398524	0.0310552	0.0207371	0.0230217	0.00451666	0.0221702	0.0450826	0.0387535	0.0703131	0.089564	0.135906
