 	w	a	á	m	i	k	y	á	ω	n	d	z	ε	l	ε	m	ó	ó	p	é	n	d	í	m	ó	i	d	z	w	a	l	á	n	g	y	ε	l	έ	</S>
elle	0.0764077	0.219611	0.0881643	0.430739	0.0716005	0.0391517	0.0126968	0.0149924	0.00545774	0.00520559	0.00274225	0.00254067	0.00248713	0.00189958	0.00160061	0.0018384	0.00158993	0.000704213	0.000730109	0.000276345	0.000333892	0.000328876	0.000374861	0.000510134	0.000520524	0.000962361	0.000935692	0.0005299	0.00100228	0.000918405	0.00149687	0.00188986	0.00204973	0.00181058	0.00119137	0.00177465	0.00114906	0.000883811	0.000901286
a	0.0589373	0.0310075	0.0694819	0.0556374	0.0964804	0.0477296	0.082276	0.0309784	0.0577918	0.0560094	0.0327928	0.0201577	0.0193277	0.0255455	0.0401242	0.0392503	0.030042	0.0240157	0.0329601	0.0036826	0.00948826	0.00329032	0.0119787	0.00194367	0.0012696	0.000971541	0.00190382	0.00225802	0.00690594	0.00736871	0.0142997	0.0125371	0.0131706	0.0215587	0.00628807	0.00446822	0.00647197	0.00598586	0.0136129
mis	0.0141571	0.0164545	0.00894637	0.021019	0.01187	0.0193025	0.0291682	0.0208195	0.0554077	0.0456999	0.0398699	0.0335701	0.0415	0.0354184	0.0311651	0.0353957	0.0574696	0.0456438	0.0419147	0.0192865	0.0208907	0.0173343	0.0280021	0.0445358	0.0288288	0.0315961	0.0226954	0.017071	0.0189597	0.0323036	0.0196221	0.0118588	0.00858373	0.0132453	0.0105525	0.0127878	0.012105	0.014867	0.0100818
ses	0.00732569	0.00813904	0.00493398	0.0109089	0.00978975	0.00964887	0.0101956	0.00979389	0.0168151	0.0111894	0.0249255	0.0215668	0.0213184	0.0233942	0.0231809	0.0232578	0.0229917	0.0271429	0.0220777	0.0255857	0.0545541	0.036734	0.0901957	0.107092	0.0529961	0.0381855	0.0223851	0.033044	0.025184	0.0311738	0.0154492	0.0168873	0.00936953	0.0154264	0.0132723	0.0179552	0.0234634	0.0306881	0.0317628
plus	0.00406432	0.00438998	0.00379888	0.00392989	0.00452266	0.00598565	0.00791986	0.00633711	0.0230893	0.0150387	0.0303014	0.032203	0.0399003	0.0543577	0.0573635	0.068353	0.0876456	0.0602544	0.0397547	0.0273576	0.0353468	0.029102	0.0494943	0.0267652	0.0187563	0.0185169	0.0183805	0.0149048	0.0135048	0.0217969	0.0220345	0.0222556	0.0160226	0.0157016	0.0161676	0.015056	0.0166378	0.017834	0.0351544
beaux	0.0105469	0.0127728	0.00998965	0.00508993	0.00531869	0.00643718	0.00638001	0.0064966	0.0203378	0.0164589	0.0351431	0.038016	0.0328618	0.0372147	0.0386113	0.0316144	0.033302	0.0315342	0.0173528	0.0241059	0.0246993	0.0320204	0.0320308	0.0362099	0.0262359	0.0299026	0.0326003	0.028045	0.0331554	0.0327054	0.0334396	0.0313505	0.0286213	0.0246172	0.0175836	0.0309605	0.0306345	0.0343202	0.0412832
atours	0.00619929	0.00703383	0.00616425	0.00602158	0.00599352	0.00782388	0.0106768	0.0137932	0.0167339	0.0149322	0.0236696	0.0215036	0.018703	0.0254385	0.0265548	0.0267229	0.039674	0.0263281	0.014133	0.0182653	0.0152694	0.0199229	0.0161068	0.0226589	0.0266107	0.0311148	0.0340822	0.0315037	0.0391359	0.0353019	0.0375317	0.04074	0.0383257	0.0344653	0.0419095	0.0461084	0.0495807	0.0475544	0.0557117
pour	0.0062416	0.00683854	0.00646219	0.00634475	0.00616024	0.00783193	0.0097605	0.011674	0.00939189	0.00717136	0.0124208	0.0118707	0.0113338	0.0164131	0.0201059	0.0236616	0.0277025	0.013914	0.00895288	0.00830733	0.0122865	0.00958056	0.0135311	0.0131313	0.018238	0.0253881	0.0421641	0.0403136	0.0473086	0.0502681	0.0505996	0.0639168	0.0547215	0.0521755	0.0536442	0.0542406	0.055308	0.0542678	0.0563565
aller	0.0148885	0.0187563	0.0159055	0.0177248	0.0174041	0.0196262	0.019682	0.0198213	0.0176398	0.0138968	0.0223567	0.019991	0.0168481	0.0114234	0.0100616	0.00983143	0.00975339	0.00958081	0.00861085	0.0101453	0.0154171	0.0111536	0.0165941	0.0265497	0.0436406	0.0505217	0.0318038	0.0311839	0.0269914	0.0269831	0.0268266	0.0300504	0.0343746	0.0414844	0.0471912	0.0487879	0.0557902	0.0607555	0.0699521
à	0.0147108	0.0148461	0.0145848	0.0152289	0.0153988	0.0157096	0.015556	0.0179652	0.0152523	0.0129011	0.0204326	0.0195402	0.0168048	0.0153698	0.0137812	0.0110712	0.00914999	0.00953586	0.00804768	0.0109503	0.0169982	0.0130179	0.0178911	0.0289076	0.0538319	0.0535581	0.0402439	0.0350433	0.0240318	0.0263396	0.0269514	0.0302474	0.0295176	0.0426619	0.0533452	0.0489271	0.0525995	0.0596155	0.0594336
