 	w	a	l	á	a	s	á	á	s	á	n	g	o	n	d	a	</S>
il	0.1054	0.229864	0.186907	0.199471	0.0973107	0.0885449	0.0517025	0.0104559	0.00213542	0.00238863	0.00289088	0.00399542	0.00267823	0.00542895	0.00527879	0.0034651	0.00208221
est	0.0508134	0.0445453	0.0366894	0.0270821	0.0394819	0.0447947	0.134816	0.121299	0.0629778	0.0638474	0.0571106	0.0414488	0.053271	0.056413	0.0383109	0.0641363	0.0629621
en	0.04203	0.0546907	0.052779	0.0523569	0.0511767	0.0509561	0.0280985	0.0200553	0.0743251	0.145575	0.0834804	0.0710174	0.0538696	0.0356901	0.0567898	0.0522836	0.0748256
train	0.0113076	0.0154748	0.0142697	0.0132008	0.0114739	0.0204934	0.0248537	0.0273847	0.101062	0.173334	0.167076	0.109563	0.0691482	0.0693746	0.0719946	0.0454395	0.0545504
de	0.00781035	0.00725534	0.00773456	0.0137146	0.0145953	0.0249076	0.084812	0.0844378	0.0983888	0.0648475	0.106516	0.107354	0.0940436	0.0656409	0.0699658	0.0364864	0.11149
bêcher	0.031874	0.0447642	0.0570065	0.0470914	0.042192	0.0658593	0.0769897	0.0381123	0.0868828	0.104364	0.0951759	0.0625635	0.0376821	0.0364675	0.0515781	0.0407114	0.0806856
dans	0.0489043	0.0651881	0.0779622	0.0317388	0.0325067	0.0454022	0.0295616	0.0277587	0.0452462	0.0509475	0.0570685	0.0478442	0.0514932	0.0517303	0.0966631	0.0832327	0.156752
sa	0.0422833	0.061022	0.0802978	0.036903	0.0480781	0.0551679	0.0419221	0.0307177	0.0352477	0.0417743	0.0463487	0.0405853	0.0513524	0.0558426	0.0896421	0.0878169	0.154998
plantation	0.0231284	0.0231168	0.0234597	0.0249116	0.0286619	0.0407849	0.0459884	0.0438895	0.0284023	0.0358792	0.0368291	0.0501566	0.076083	0.0859116	0.11529	0.0736115	0.243896
</S>	0.0377885	0.0377953	0.0399261	0.0408253	0.0642825	0.0691697	0.0990052	0.0694341	0.0453213	0.0307204	0.0352534	0.0251686	0.0401178	0.0360284	0.0653454	0.0625523	0.201266
