 	a	n	d	a	a	á	t	í	n	d	i	o	b	é	á	n	g	á	m	í	k	a	b	h	a	l	é	k	á	o	y	é	é	y	í	í	t	á	á	y	a	b	á	a	</S>
mes	0.102195	0.118195	0.134542	0.0695001	0.0294827	0.0177806	0.0114337	0.0174955	0.0163488	0.0181632	0.0143213	0.0169164	0.0149112	0.0165628	0.020886	0.0225309	0.0317417	0.0362086	0.0391302	0.0247334	0.0194603	0.0109503	0.00716655	0.00748624	0.00420486	0.00698964	0.00705933	0.00834183	0.00828225	0.00980019	0.0067231	0.00519582	0.0044174	0.00419789	0.00381217	0.00784596	0.00743218	0.00983176	0.0160904	0.0161289	0.0142842	0.00900475	0.0105675	0.0119146	0.00973297
petits	0.0736599	0.0403799	0.038094	0.0598706	0.0592988	0.0398092	0.032629	0.0338187	0.01563	0.0178793	0.0177667	0.0178859	0.0138977	0.0100097	0.0113754	0.0081818	0.008069	0.00625683	0.00831188	0.00690254	0.00559343	0.00359539	0.00267698	0.00114984	0.00108898	0.00183717	0.00117548	0.00313657	0.00525255	0.00717943	0.0172712	0.0254794	0.0432211	0.0964803	0.0687909	0.0447559	0.0264784	0.0191969	0.0354115	0.0228896	0.0236119	0.0118699	0.00379956	0.00414375	0.00418658
fils	0.0851316	0.0610381	0.0412879	0.0561497	0.0435339	0.0428882	0.0349669	0.0346191	0.0312651	0.0330494	0.0370443	0.0281661	0.0263383	0.0232783	0.0216034	0.0187722	0.0182556	0.0159479	0.0128469	0.0137577	0.0124719	0.00852042	0.0111867	0.0077895	0.00543123	0.0112618	0.0212007	0.0165983	0.0125238	0.0275143	0.0156393	0.0167205	0.00536007	0.00683621	0.0105808	0.00868484	0.0106264	0.00686076	0.0140091	0.0155071	0.0154844	0.01894	0.0122759	0.0150307	0.0130044
m'	0.0217047	0.0301322	0.0331314	0.0420283	0.0365842	0.0223147	0.0155371	0.0228165	0.0198368	0.0253969	0.0302109	0.0203171	0.0353175	0.0310131	0.0364266	0.0440438	0.0345991	0.0240758	0.0148572	0.0218355	0.0214418	0.0219385	0.0215096	0.0190008	0.0150249	0.033948	0.0253285	0.0366895	0.0335955	0.0347768	0.0283084	0.0331332	0.016304	0.0104398	0.00878023	0.00503166	0.0083909	0.00541906	0.00526442	0.00331898	0.00552429	0.00314268	0.00636893	0.0124745	0.0226653
ont	0.0122561	0.0144761	0.0104481	0.0107029	0.0147148	0.0140941	0.0206681	0.0180889	0.024825	0.0188919	0.0331234	0.0219906	0.0258729	0.0258418	0.0294132	0.0239456	0.027439	0.0265193	0.0334527	0.0343289	0.0384888	0.0359347	0.0333235	0.0326727	0.029154	0.0350827	0.0295106	0.0344352	0.033184	0.0316166	0.0351146	0.0235653	0.0284577	0.0157543	0.0067717	0.00416689	0.00751909	0.00476031	0.00662107	0.00604936	0.0103014	0.00698192	0.0102884	0.0253923	0.0337596
prié	0.00914034	0.0105553	0.00890169	0.00767336	0.00883896	0.00784348	0.0102722	0.00911316	0.0108797	0.0103436	0.0128421	0.0091774	0.0115377	0.0109428	0.0113885	0.00906245	0.011017	0.0141031	0.0135257	0.015717	0.0208309	0.0239595	0.0243804	0.0243855	0.0312846	0.0397029	0.0316346	0.0402398	0.0542973	0.0404989	0.0709309	0.0595073	0.054129	0.0663625	0.0342667	0.0136696	0.013463	0.0060747	0.0214516	0.0150563	0.0227128	0.0129012	0.0190267	0.0204335	0.0259244
de	0.0458592	0.0154804	0.0194525	0.00556211	0.00540315	0.00621037	0.00862788	0.00880936	0.00858038	0.0167472	0.0119413	0.0109728	0.0160915	0.012831	0.00884523	0.00698667	0.0081218	0.00665128	0.00690745	0.00788465	0.0130206	0.0140325	0.0241203	0.0217036	0.0361239	0.0411675	0.0379002	0.0354972	0.0516745	0.035988	0.033133	0.0450654	0.0237887	0.0374647	0.0543454	0.0424597	0.0256977	0.0193526	0.0199536	0.021451	0.0246179	0.0203981	0.0248102	0.0241508	0.0341165
venir	0.0134195	0.00751889	0.00798469	0.00812288	0.00868494	0.00948893	0.00925635	0.00739015	0.00634899	0.00443056	0.00833068	0.00647722	0.00709458	0.00644796	0.00599626	0.00872429	0.00865552	0.0105624	0.00621202	0.0076282	0.00985425	0.0124694	0.0152145	0.0160706	0.021148	0.037395	0.045231	0.0318472	0.0411209	0.0459345	0.0484777	0.0577523	0.0550622	0.0496059	0.0374533	0.0482606	0.0346921	0.0226924	0.027759	0.0243412	0.0238092	0.0280457	0.0327897	0.035737	0.0384615
partager	0.0150007	0.0094991	0.00919368	0.01009	0.0106467	0.0116731	0.00843676	0.00595749	0.00661517	0.00593978	0.00804028	0.00641785	0.00840375	0.00689512	0.00616855	0.00767826	0.00835716	0.00950889	0.00778296	0.00842369	0.0125622	0.0151872	0.0192894	0.0234175	0.0305218	0.0453397	0.0573414	0.0487154	0.0495934	0.0590915	0.0387305	0.0532837	0.0493765	0.0495152	0.0540646	0.0426462	0.0283567	0.0109078	0.0164583	0.0143617	0.0150179	0.0148812	0.0172031	0.0179413	0.0454669
l'	0.0353294	0.0150083	0.0206899	0.00985828	0.010847	0.0136905	0.0113843	0.00856866	0.0117819	0.00871936	0.0114291	0.0086546	0.0127287	0.0110625	0.00684857	0.0089026	0.0097898	0.00790857	0.00667151	0.012388	0.0162666	0.0182499	0.0382647	0.031707	0.0321655	0.0475925	0.0524837	0.0490962	0.0336418	0.0514431	0.0275386	0.031344	0.0311538	0.0334781	0.04147	0.0378254	0.0173606	0.0158641	0.00682731	0.00686175	0.00633759	0.0126932	0.0224049	0.0291142	0.066554
