 	i	s	i	m	b	a	í	p	a	s	i	m	ó	n	d	i	e	m	ó	ó	d	z	e	b	í	s	í	l	é	e	s	é	a	</S>
le	0.021881	0.0251541	0.01526	0.0184156	0.0184372	0.0203574	0.0244684	0.0277022	0.0301128	0.0301358	0.0322492	0.0388261	0.0277751	0.0304873	0.0169178	0.035376	0.0208901	0.0280709	0.0307419	0.050841	0.059217	0.0321913	0.0267509	0.0330293	0.0265933	0.0317656	0.0323004	0.0250537	0.0323174	0.0306045	0.0323944	0.0354955	0.0342414	0.0239453
tam-tam	0.0413866	0.126421	0.119497	0.0624381	0.111916	0.0746897	0.0246342	0.0222353	0.0196647	0.0123878	0.0150446	0.0201186	0.0143094	0.0132702	0.0163388	0.0184564	0.0233668	0.0159526	0.0134683	0.013725	0.0177678	0.0208165	0.0200732	0.0189868	0.029737	0.0274005	0.0162643	0.0208841	0.0185577	0.012797	0.0092368	0.00465579	0.00227421	0.00122758
s'	0.0448932	0.0172392	0.0122874	0.0159711	0.0228767	0.0304254	0.0309338	0.0334259	0.0254895	0.0210824	0.0310624	0.0248316	0.0245911	0.0157166	0.0314313	0.0231564	0.0239115	0.0366699	0.03888	0.0476785	0.0651359	0.0794989	0.0462174	0.0317001	0.0670307	0.0153639	0.0152621	0.013899	0.0115536	0.0263444	0.020961	0.0194656	0.0233236	0.01169
est	0.0265801	0.0416907	0.0472719	0.0529546	0.0505535	0.0680549	0.0729733	0.0702037	0.0277245	0.0583063	0.0396701	0.046385	0.017525	0.0125834	0.0163133	0.0193795	0.0211534	0.025973	0.0297003	0.0246507	0.0175365	0.0226076	0.0181096	0.0125691	0.0138792	0.00654391	0.00825697	0.00542755	0.00513779	0.0103972	0.0108848	0.0134095	0.0247316	0.0608614
déchiré	0.0406288	0.024014	0.0219659	0.0279864	0.0272253	0.0327664	0.0321231	0.0221573	0.0130964	0.00933455	0.0129947	0.0138231	0.0291586	0.0270272	0.0551883	0.0481536	0.0430458	0.0395404	0.0393801	0.0446267	0.0377089	0.0221939	0.0249278	0.0138902	0.0151588	0.0256362	0.0310367	0.0265218	0.0243266	0.0346846	0.0257822	0.0247403	0.0316608	0.0574946
lorsque	0.0117566	0.0113331	0.0117825	0.0116233	0.0108412	0.0127481	0.0111757	0.013353	0.0146124	0.0207146	0.025359	0.0239716	0.0216584	0.0223613	0.0228475	0.0244127	0.0355637	0.02496	0.0383085	0.0458842	0.0301627	0.0439015	0.0481968	0.0340179	0.028955	0.0200588	0.0252981	0.0330111	0.042576	0.043014	0.0449761	0.0532427	0.0623273	0.0749948
nous	0.0100302	0.0091007	0.00924576	0.00901924	0.00969203	0.0120303	0.0114075	0.0170453	0.0193258	0.0227852	0.0186559	0.0139517	0.0143218	0.01967	0.0255644	0.0251815	0.0395716	0.0311121	0.0453551	0.0465439	0.0430444	0.0646237	0.0689931	0.0678662	0.055211	0.0435894	0.0378081	0.0416889	0.0346656	0.0243684	0.0210338	0.0221674	0.0246336	0.0406965
étions	0.0552272	0.0389853	0.0352034	0.0405513	0.0314494	0.0289832	0.0261143	0.0164415	0.0118459	0.0116789	0.0100585	0.0182288	0.0227534	0.022151	0.0202405	0.0210232	0.0241052	0.0284255	0.0344209	0.0255313	0.0260824	0.0314929	0.0552425	0.0499089	0.0421905	0.0373508	0.037913	0.0156248	0.0135636	0.0117654	0.0155624	0.0238566	0.0280414	0.087986
en	0.0733184	0.0444962	0.0349073	0.035806	0.0269231	0.0213824	0.0149101	0.00794348	0.00437159	0.00189941	0.00336631	0.0113362	0.0173183	0.0178362	0.0161595	0.017645	0.0196013	0.0235821	0.0300784	0.0222129	0.0294772	0.0337204	0.059972	0.057573	0.0653975	0.0477978	0.0563601	0.0251309	0.0213818	0.0191834	0.0246631	0.0280989	0.0183147	0.0678349
train	0.0570648	0.0356892	0.021658	0.0211213	0.016847	0.0161763	0.0156973	0.0110284	0.00717321	0.004207	0.00692741	0.0126675	0.0245319	0.0290812	0.0371247	0.0358412	0.0346656	0.0372091	0.0391473	0.0283999	0.031251	0.0275414	0.0210081	0.0243874	0.0379511	0.0392407	0.0478287	0.0308808	0.0287476	0.0401282	0.0375883	0.0333993	0.0318928	0.0758961
de	0.0268676	0.0369547	0.0522267	0.0413698	0.0429307	0.0328214	0.0280915	0.0216876	0.0347912	0.0464929	0.0643539	0.0298726	0.0214576	0.0196359	0.0159057	0.0164322	0.0168319	0.017744	0.0189488	0.0185875	0.0210628	0.0228688	0.0259739	0.0317969	0.0263886	0.0306073	0.0254196	0.0146501	0.0138189	0.0227695	0.0224247	0.0287197	0.0311929	0.0783019
danser	0.121401	0.0682801	0.0542565	0.0416528	0.0311739	0.0294661	0.025948	0.0127541	0.00914062	0.00943922	0.0168728	0.0388164	0.0336153	0.0184599	0.00911719	0.0114076	0.0137146	0.0198921	0.0252746	0.0229367	0.0258889	0.0314038	0.0415471	0.0229938	0.0266567	0.0226979	0.024235	0.0140621	0.0126779	0.0117511	0.0147998	0.0215908	0.0232907	0.0927856
</S>	0.0614293	0.033003	0.0274406	0.0215373	0.0209888	0.0179298	0.0123199	0.00946593	0.00691003	0.0090036	0.0136688	0.0262489	0.0288584	0.0306736	0.0204394	0.0279179	0.0236513	0.025622	0.0285559	0.0250271	0.0382373	0.0328773	0.0518353	0.0396037	0.0457465	0.0486327	0.0519589	0.0245415	0.0243918	0.0204187	0.0212659	0.0254943	0.0280439	0.0762605
