 	b	í	s	í	l	é	y	e	m	b	i	s	i	m	í	d	z	w	a	l	í	t	ó	a	</S>
nous	0.214442	0.23777	0.113295	0.0598218	0.0353358	0.0326303	0.0142438	0.0147478	0.0249899	0.00694452	0.0254479	0.021387	0.0096202	0.017864	0.0114909	0.0107272	0.0129263	0.0150196	0.0171221	0.01796	0.0203209	0.0189618	0.0180399	0.0155747	0.0133164
sommes	0.0595584	0.064046	0.0564093	0.0571237	0.0930355	0.0834019	0.130085	0.0833782	0.0447766	0.0518857	0.0497654	0.050228	0.0597922	0.0382132	0.0225659	0.0125923	0.00681071	0.00215786	0.00325048	0.00739452	0.00229073	0.00335551	0.00335112	0.00505753	0.00947385
tombés	0.0158074	0.0223557	0.0230374	0.0230373	0.0199823	0.0284286	0.034273	0.0715506	0.0622524	0.0577328	0.0603954	0.077269	0.108233	0.0981236	0.0466684	0.0384633	0.0277729	0.0451111	0.034867	0.0256831	0.0248632	0.0157585	0.0169678	0.014698	0.00666811
d'	0.0324275	0.0184426	0.0204445	0.0184323	0.0209637	0.021989	0.0478931	0.0834911	0.0548445	0.0903543	0.061533	0.0664857	0.0495267	0.0545681	0.0814772	0.0572582	0.0328854	0.0189605	0.0189894	0.0192696	0.0145195	0.0221671	0.0162128	0.0328244	0.04404
accord	0.0209528	0.0155804	0.018431	0.0190619	0.03108	0.0517334	0.0565896	0.0529102	0.0464834	0.0306109	0.0318096	0.0379707	0.0386459	0.0778586	0.0676536	0.0656923	0.0503252	0.0171342	0.0213093	0.0236937	0.0165257	0.0304459	0.0231275	0.0549813	0.099393
pour	0.00892644	0.00754774	0.00849283	0.0101107	0.0151223	0.0202701	0.0275714	0.0339723	0.0345676	0.0308416	0.0328972	0.036634	0.0624971	0.0635749	0.0757922	0.060712	0.0579119	0.0482557	0.0503122	0.0509982	0.0414637	0.0517314	0.0517936	0.0552521	0.0627508
partir	0.0404453	0.0311993	0.0349415	0.0321748	0.0396678	0.0404951	0.0431855	0.0325362	0.0349271	0.024204	0.0244423	0.0259061	0.0188986	0.035243	0.0257781	0.0331912	0.0313993	0.0291983	0.0405001	0.0512983	0.0391583	0.0559065	0.0623191	0.0754078	0.0975765
à	0.0216481	0.0290365	0.0293591	0.0376759	0.0335438	0.0366009	0.0259329	0.0217242	0.0243348	0.0170393	0.0189071	0.024316	0.0316019	0.0419513	0.0763057	0.0655362	0.0623615	0.0175796	0.0312051	0.030138	0.0315431	0.0506385	0.0559376	0.0668334	0.118249
la	0.0206884	0.0206123	0.020597	0.0204028	0.0205427	0.0204025	0.0204846	0.0194385	0.0205459	0.0190408	0.0197417	0.0195288	0.0167725	0.0216947	0.0331781	0.0467511	0.0658127	0.0640765	0.0639277	0.0693878	0.069581	0.0746862	0.0752384	0.0773763	0.0794908
pêche	0.0212977	0.0211674	0.0207167	0.016341	0.0129289	0.0132856	0.0116817	0.00633295	0.0108083	0.0095339	0.0104145	0.00912402	0.00664967	0.0166499	0.0209268	0.0240049	0.0271654	0.0207839	0.0415458	0.0651908	0.0766913	0.10869	0.0970645	0.146301	0.184704
</S>	0.022744	0.0215554	0.0327288	0.0379289	0.0349958	0.0291724	0.0334596	0.0257985	0.0382129	0.0309567	0.0295138	0.0268921	0.0160784	0.018832	0.0189679	0.0307181	0.0408212	0.0617981	0.0675184	0.0640408	0.0474086	0.0745116	0.0515967	0.0740677	0.069682
