 	w	a	á	d	z	e	a	s	w	é	o	t	u	m	b	a	k	a	á	a	k	y	e	b	á	a	e	l	á	m	b	í	</S>
il	0.280993	0.279036	0.122799	0.0891307	0.0101907	0.0060661	0.00821377	0.00866615	0.00542836	0.0052321	0.00529737	0.00352438	0.00532942	0.00924949	0.0121516	0.00827855	0.0140191	0.00820724	0.0110565	0.0117757	0.011272	0.00963974	0.0108475	0.00675685	0.00836656	0.00571552	0.00586023	0.00511898	0.00896938	0.00631631	0.00608775	0.00642029	0.00398325
n'	0.0714321	0.0503503	0.0660092	0.0471546	0.05573	0.061242	0.0304038	0.0304265	0.0437218	0.0533082	0.0649929	0.0764564	0.052795	0.0454012	0.0281509	0.0372264	0.0220235	0.0185591	0.0101777	0.00738078	0.0104852	0.00995137	0.00910603	0.00937634	0.0110091	0.0109394	0.00764366	0.0105344	0.00816789	0.00697609	0.00765598	0.00829094	0.0169213
a	0.0345471	0.0196865	0.0192013	0.0273862	0.0530112	0.0584557	0.0462059	0.0299617	0.0241639	0.0392431	0.0181071	0.0176001	0.0200249	0.0206824	0.0275806	0.0333425	0.0357463	0.0646011	0.0705803	0.0625407	0.0289133	0.0254273	0.02463	0.0287353	0.0195406	0.014762	0.011909	0.016153	0.0144067	0.0135057	0.0200449	0.0218197	0.0374839
pas	0.0313776	0.0297132	0.024856	0.0185552	0.0222445	0.0161204	0.00950201	0.0130099	0.017926	0.0160334	0.0192563	0.0268649	0.0335312	0.0316813	0.0285374	0.0396841	0.0387488	0.0579692	0.0795455	0.0636848	0.056787	0.0492309	0.0310674	0.0281125	0.0258015	0.0197223	0.029956	0.0260531	0.0248438	0.0180239	0.0181544	0.020378	0.0330276
cuit	0.00664819	0.00420325	0.00338451	0.00718037	0.00932415	0.00601171	0.00880627	0.0104685	0.0109577	0.016476	0.0163441	0.0191758	0.0264185	0.0301761	0.0230177	0.0250694	0.024471	0.0396857	0.0635402	0.0505307	0.0592382	0.0464659	0.037248	0.0444395	0.0338798	0.0338018	0.0620506	0.0548117	0.0459832	0.0450056	0.0410585	0.0362084	0.0579191
le	0.00857052	0.00849701	0.00669486	0.00515884	0.00801636	0.00763214	0.0130616	0.013439	0.0173339	0.0135142	0.0116119	0.0110831	0.0184547	0.0164085	0.0300176	0.0287848	0.0331288	0.0229329	0.039731	0.0441223	0.04896	0.0487193	0.0449689	0.0454568	0.0381911	0.0396689	0.0513515	0.0538002	0.0482991	0.034432	0.0466453	0.0507187	0.0905941
boisson	0.0148596	0.0190634	0.0189813	0.0127638	0.010974	0.0141308	0.0217004	0.0165906	0.0302273	0.0169844	0.00853319	0.00638415	0.0113746	0.0101165	0.0124723	0.0141971	0.0171251	0.0176614	0.0266751	0.028678	0.033218	0.0343335	0.0315066	0.0255661	0.0295054	0.0350296	0.046108	0.0514253	0.0619704	0.0608369	0.0592042	0.0687845	0.133019
à	0.012573	0.0179121	0.014905	0.0121391	0.011212	0.0131273	0.0144424	0.0138353	0.0152239	0.0139461	0.00834858	0.00922518	0.0128447	0.01033	0.0161569	0.0183086	0.0230384	0.0171036	0.0302187	0.0348117	0.0391095	0.0501895	0.0411785	0.042701	0.0421495	0.0503284	0.0591519	0.059318	0.0523168	0.0455643	0.0535217	0.0545563	0.0902122
la	0.0220253	0.0218982	0.0224129	0.0224472	0.022494	0.022528	0.0225648	0.0223042	0.0220355	0.0217337	0.0206957	0.0156921	0.0139931	0.0124673	0.0148125	0.0129027	0.0130326	0.0104614	0.012194	0.0135052	0.0189499	0.0228402	0.0227059	0.0252557	0.0337774	0.0475447	0.0502419	0.055266	0.06411	0.0721905	0.0726572	0.0715433	0.0807167
braise	0.0246548	0.0244603	0.0336371	0.0249106	0.0214888	0.0254059	0.0289245	0.0219626	0.0412447	0.0299016	0.0234883	0.01683	0.0172014	0.0167692	0.0130406	0.0138201	0.0140131	0.020591	0.0280063	0.0208594	0.0197436	0.0215072	0.0188849	0.0139035	0.019913	0.0271614	0.0540645	0.0414796	0.0684348	0.0493248	0.0337318	0.0529852	0.117656
