 	n	g	ó	o	á	b	ó	m	b	i	e	k	ώ	ώ	s	á	l	e	n	g	ó	l	ó	</S>
la	0.200527	0.170506	0.200064	0.0569344	0.0210848	0.012849	0.00889308	0.0132043	0.0175667	0.015623	0.0213039	0.0186725	0.0293595	0.0111016	0.0383423	0.0194624	0.0158454	0.0150135	0.0134188	0.0155957	0.0163081	0.017526	0.0265409	0.0242581
mère	0.246082	0.106819	0.072205	0.120742	0.0588934	0.0396163	0.051874	0.0199813	0.0439405	0.0394186	0.0321572	0.0188745	0.0102257	0.0155602	0.0267127	0.0286386	0.0182866	0.0177953	0.0141863	0.010809	0.00311174	0.00247873	0.000828012	0.000762754
a	0.0278652	0.0228798	0.0299012	0.0514154	0.0476892	0.0253001	0.0208801	0.0414424	0.064913	0.0448077	0.0838388	0.0838464	0.049472	0.0466545	0.0349061	0.0565999	0.047424	0.0413402	0.0405164	0.0413171	0.0207625	0.0211649	0.0300819	0.0249809
gardé	0.0472624	0.0355452	0.0223476	0.0185672	0.0166	0.0157026	0.0195907	0.0279257	0.0401002	0.0466924	0.0377892	0.0443044	0.0454061	0.052866	0.0369433	0.0328581	0.0240068	0.0449285	0.0496464	0.0401505	0.0452332	0.0648384	0.0794647	0.11123
le	0.0494228	0.0275964	0.0314806	0.037027	0.0395707	0.0373001	0.0384262	0.0412125	0.0413849	0.0311041	0.0340305	0.0390228	0.035448	0.0288693	0.0145409	0.0125495	0.0174007	0.0296591	0.0367172	0.0491695	0.0519866	0.0680833	0.0631692	0.144828
manioc	0.0275238	0.0269414	0.0169488	0.0140766	0.0116669	0.0107539	0.0102162	0.00968442	0.0109312	0.0190542	0.0181446	0.0193437	0.0161352	0.0222484	0.0257185	0.0458998	0.0746387	0.0826646	0.0852566	0.0742687	0.0907201	0.0932517	0.0829117	0.111
dans	0.025375	0.0204923	0.0192107	0.0161383	0.0137395	0.0125962	0.0116306	0.01085	0.0100307	0.00966482	0.0137584	0.016985	0.0124807	0.0155492	0.0158761	0.0250188	0.0581577	0.0876415	0.100341	0.0892128	0.0897551	0.112607	0.090908	0.12198
le	0.076495	0.0433756	0.0393759	0.0377745	0.0307066	0.0274983	0.023616	0.0259248	0.0218618	0.0158316	0.0201024	0.0173267	0.0114458	0.00775552	0.00870038	0.0116546	0.0222382	0.0318065	0.0397894	0.0437939	0.0698223	0.0973999	0.0988224	0.176882
panier	0.0406225	0.0242233	0.0210554	0.0194345	0.0167682	0.0155321	0.0111077	0.00702982	0.0067586	0.00783104	0.00586684	0.00623979	0.00473877	0.00545609	0.00874907	0.014462	0.0279536	0.0373963	0.0504542	0.0511203	0.101241	0.156408	0.150957	0.208594
de	0.111457	0.0412201	0.0498896	0.042326	0.0364064	0.0383698	0.031444	0.0385268	0.0320208	0.0220644	0.0197472	0.0285291	0.0205543	0.0188807	0.0133821	0.0129549	0.0196044	0.0255483	0.0375982	0.0368624	0.033054	0.0605037	0.0675069	0.161548
pêche	0.0859709	0.0451595	0.0467109	0.0422053	0.0355099	0.030738	0.0210123	0.0141457	0.0118693	0.00966086	0.00680059	0.00690337	0.00729068	0.00632625	0.00977897	0.0115736	0.0207259	0.0320373	0.0390747	0.0407341	0.0589631	0.0967126	0.108352	0.211744
</S>	0.100001	0.063167	0.0721801	0.0536613	0.0410755	0.038502	0.0208256	0.0289866	0.0267709	0.0253866	0.0146018	0.0199724	0.0166216	0.0187084	0.0125282	0.0228196	0.0345969	0.0365492	0.0405279	0.0443196	0.0555235	0.0658869	0.0694585	0.0773284
