 	b	v	ú	ε	ó	y	ε	i	n	g	á	l	i	b	ε	ε	l	á	n	g	ω	s	í	</S>
mon	0.0177657	0.0164762	0.0149104	0.00911508	0.00875668	0.0147855	0.0267566	0.0303146	0.0551126	0.0734887	0.114686	0.117015	0.0956085	0.0939319	0.0704675	0.0545557	0.0208563	0.0218297	0.0266999	0.0199428	0.018887	0.0197544	0.0288669	0.0294167
beau	0.0573459	0.0583016	0.0270459	0.0312975	0.0156096	0.0100543	0.0205497	0.023412	0.0386402	0.0596484	0.106376	0.131	0.138377	0.103709	0.065091	0.035215	0.0303953	0.0141315	0.0166684	0.00414344	0.00578333	0.00387309	0.00207274	0.00125957
frère	0.0440763	0.0442847	0.0435393	0.0681194	0.0390308	0.0537462	0.0423581	0.0537826	0.0391633	0.0361676	0.024235	0.0207309	0.033482	0.0589376	0.0942057	0.0579453	0.0733514	0.0417663	0.0469961	0.0250693	0.0209683	0.01332	0.0158589	0.00886519
m'	0.0576945	0.0574325	0.0483829	0.0738773	0.0729462	0.0528622	0.036773	0.0462601	0.0490176	0.0446764	0.0371816	0.0345967	0.040763	0.0308626	0.0219337	0.0102615	0.0233929	0.0170184	0.0164789	0.033291	0.0322119	0.0300195	0.0490698	0.0829961
a	0.119367	0.0960069	0.0821061	0.0826224	0.0485658	0.0339626	0.0328012	0.0275733	0.0262192	0.0284242	0.0207001	0.0182188	0.0169339	0.017035	0.0214565	0.025692	0.0406874	0.0259384	0.0367208	0.0251598	0.0286064	0.0264532	0.0454115	0.0733379
apporté	0.24201	0.166934	0.07653	0.0573154	0.0406475	0.0104671	0.0149521	0.0175302	0.0164731	0.0152523	0.0182403	0.0148075	0.0138845	0.0144515	0.0193385	0.01442	0.0313014	0.0208165	0.0253208	0.0217852	0.0376934	0.0240981	0.0295077	0.0562227
un	0.0653515	0.0617466	0.0535444	0.0494638	0.0740743	0.0412138	0.0246607	0.0206017	0.0194334	0.0156331	0.0139704	0.009104	0.00690184	0.00508386	0.00709488	0.00973714	0.0248564	0.0258263	0.0373411	0.0700923	0.0605432	0.0664618	0.101896	0.135368
paquet	0.0431204	0.0349093	0.0311675	0.0289215	0.0372551	0.0349198	0.0253706	0.00960585	0.0117629	0.00902313	0.00616401	0.00485594	0.00540543	0.00868456	0.0190503	0.0249695	0.0369228	0.0693546	0.0529083	0.0757104	0.0920476	0.104555	0.108088	0.125228
de	0.0560067	0.0566751	0.0606655	0.0581588	0.104029	0.0793493	0.0437618	0.0336219	0.0256448	0.0128559	0.00879596	0.00611671	0.00580303	0.00478727	0.00653012	0.00757803	0.0158865	0.0204316	0.0207158	0.0429277	0.0562818	0.0590551	0.0667082	0.147614
lianes	0.0746123	0.0700753	0.05689	0.0510929	0.0381937	0.0159024	0.00952371	0.0058065	0.00674247	0.00475897	0.00323875	0.00267879	0.0022278	0.00241215	0.00500421	0.00974454	0.0211777	0.0320605	0.0320505	0.0479969	0.0815359	0.0884816	0.1406	0.197192
</S>	0.0909949	0.0860937	0.0644663	0.0507202	0.0553236	0.0426655	0.0239224	0.0179092	0.0158771	0.010707	0.004343	0.00268303	0.0036338	0.00425529	0.0103727	0.0125302	0.0293708	0.037167	0.0298897	0.0471829	0.0620371	0.066747	0.0877725	0.143335
