 	n	g	á	í	y	u	r	u	i	p	a	m	b	í	s	a	ó	k	ó	ó	y	e	k	y	e	m	b	é	</S>
on	0.147476	0.257238	0.171228	0.183128	0.0429409	0.0112853	0.00692474	0.00590331	0.00692702	0.0081545	0.00844248	0.00919094	0.00853425	0.0104827	0.0127231	0.0105563	0.00978292	0.00828892	0.00858999	0.00802077	0.00709658	0.0071267	0.00630811	0.00646815	0.00568892	0.00765305	0.0077523	0.00745709	0.00863057
m'	0.0188177	0.0118265	0.0122034	0.0402056	0.0590667	0.0826464	0.125973	0.0778744	0.108099	0.0475081	0.0542801	0.0505976	0.0306239	0.0279132	0.0230472	0.0291646	0.0379267	0.0421693	0.0266621	0.0183154	0.0183883	0.011796	0.0108474	0.00777273	0.00629267	0.00479539	0.00426374	0.00471286	0.00620969
a	0.0353776	0.0241684	0.01799	0.029449	0.0206607	0.0240524	0.0304796	0.0505863	0.0566444	0.0364205	0.0353311	0.0470432	0.0534779	0.0584805	0.0541793	0.0694242	0.0360523	0.0339968	0.034007	0.0339941	0.0259593	0.0242887	0.0219077	0.0190096	0.0271016	0.020589	0.025025	0.0345258	0.0197778
beaucoup	0.0445539	0.0205045	0.0140984	0.0157589	0.0192479	0.0220413	0.0349315	0.0359775	0.0625885	0.0296906	0.036559	0.0438835	0.0707012	0.103456	0.0811968	0.109678	0.0326139	0.0258709	0.0232352	0.0230739	0.020645	0.018893	0.0164512	0.0138185	0.0145813	0.0113698	0.0141796	0.0144291	0.0259713
effrayé	0.0183394	0.0116504	0.00645847	0.0161289	0.0653126	0.0778768	0.0991989	0.0885498	0.126833	0.0307132	0.0380031	0.0366789	0.0270928	0.0147606	0.0185157	0.0150883	0.0144835	0.0200411	0.0150854	0.0128193	0.0148979	0.0225212	0.0217985	0.026626	0.0290052	0.0244105	0.0327316	0.0323381	0.0420415
sur	0.00881787	0.00662928	0.0109726	0.0143289	0.017341	0.0236418	0.0256284	0.0306821	0.0243705	0.0208782	0.0130999	0.016112	0.0122498	0.00802717	0.0146669	0.0180394	0.0404222	0.0498035	0.0502111	0.050105	0.0538151	0.0581239	0.0603424	0.0639637	0.0616509	0.0584845	0.0616198	0.0605449	0.0654271
la	0.0230571	0.0174165	0.0113505	0.0123175	0.0120515	0.0162203	0.0265085	0.0320009	0.0320669	0.0253809	0.0257562	0.0312633	0.0177944	0.0174916	0.0207802	0.027541	0.0447199	0.0509423	0.0474907	0.0480007	0.0449116	0.0623194	0.0477136	0.0512751	0.0435648	0.0402907	0.0467431	0.0456739	0.0773569
route	0.012435	0.0124217	0.0131489	0.0158399	0.012808	0.01534	0.00886214	0.00782899	0.00941961	0.00636407	0.0062397	0.00871785	0.00707179	0.0106617	0.00943963	0.0176724	0.0261646	0.0330678	0.0447184	0.0556016	0.0559749	0.098686	0.0661672	0.0799074	0.0659353	0.0633068	0.0729358	0.0705518	0.0927109
d'	0.0214767	0.020291	0.00822859	0.0195475	0.0181062	0.0278681	0.0318847	0.0329251	0.025334	0.0214256	0.0188504	0.0161366	0.00978644	0.00913467	0.00902549	0.0106228	0.0196518	0.0319989	0.0188619	0.0301414	0.0219786	0.0477819	0.0386322	0.0535358	0.0653578	0.0628117	0.0876775	0.0775265	0.1434
ekyembe	0.0261367	0.0256701	0.022989	0.0252239	0.0199087	0.0201242	0.0133287	0.0123849	0.0158487	0.0112169	0.0116583	0.0129216	0.0122181	0.0118295	0.0143457	0.0191347	0.0298775	0.0326576	0.0289514	0.0258942	0.0283709	0.0417935	0.043308	0.0574774	0.0759885	0.0847854	0.0889839	0.0897163	0.0972557
</S>	0.0364557	0.023629	0.0126182	0.0133679	0.0362008	0.0482001	0.0486528	0.0461784	0.050788	0.0205197	0.0218518	0.0197613	0.0224407	0.0143113	0.0134376	0.0162574	0.016921	0.0208148	0.0216655	0.0248817	0.0203267	0.0259899	0.0243228	0.0362938	0.0463952	0.0652356	0.0708954	0.0688299	0.112757
