 	n	g	ó	o	á	s	é	m	i	é	t	έ	í	w	a	n	g	á	l	í	i	s	á	l	a	</S>
ma	0.145843	0.0742211	0.0165242	0.0159334	0.0120606	0.00874467	0.0080627	0.0132811	0.0172026	0.0243271	0.0404743	0.0481006	0.053078	0.0350773	0.0515603	0.0620649	0.0435868	0.0616726	0.032979	0.0627727	0.0525529	0.0331934	0.0302002	0.0218528	0.0231887	0.0114454
mère	0.224689	0.112462	0.301495	0.158987	0.027142	0.0186607	0.0113794	0.00714635	0.00464511	0.00381241	0.00429448	0.00722167	0.00488659	0.0093203	0.0105869	0.0092475	0.00685889	0.00907095	0.0089706	0.0147628	0.0151555	0.00919211	0.00630187	0.0115028	0.00172792	0.000479074
a	0.0295324	0.0196072	0.0529643	0.0727274	0.0209217	0.0275937	0.0202481	0.0121997	0.0242706	0.0531444	0.0945558	0.0947734	0.126358	0.0865362	0.0946517	0.0465194	0.0247929	0.0204165	0.0130147	0.0193912	0.00756852	0.00904991	0.0102358	0.00544707	0.00954796	0.00393163
lancé	0.037044	0.0207057	0.0228031	0.0342351	0.0826494	0.0722965	0.0615032	0.0549675	0.0349115	0.0304385	0.0414466	0.0574022	0.0361401	0.0331814	0.0186831	0.0178449	0.0283278	0.019804	0.0307826	0.0256003	0.0239997	0.0262063	0.0261365	0.0363956	0.0539232	0.0725713
un	0.0411268	0.0196312	0.0254713	0.0348606	0.037797	0.0433528	0.0438186	0.0279076	0.0269014	0.0267118	0.0243046	0.026803	0.0217207	0.0290215	0.0252963	0.0292108	0.0262611	0.0257705	0.0403731	0.0442943	0.0373856	0.0569898	0.0475323	0.0565745	0.0573269	0.123556
cri	0.0464591	0.0311076	0.0399924	0.0456399	0.0495939	0.059769	0.0457514	0.0382714	0.0347826	0.0398375	0.0601098	0.0262564	0.0411334	0.04262	0.023601	0.0269541	0.0283996	0.0381931	0.0279928	0.0385217	0.0267435	0.0316151	0.0296563	0.0347237	0.0320934	0.0601813
d'	0.0253726	0.0225223	0.022319	0.0213219	0.0291902	0.0424905	0.0437721	0.0425211	0.0282169	0.0526557	0.0546186	0.0248536	0.0366721	0.018982	0.0130383	0.0285851	0.0423039	0.0450626	0.0430893	0.041164	0.0428353	0.0380745	0.0379146	0.0532723	0.0567998	0.0923515
étonnement	0.0166126	0.0213179	0.0258644	0.028668	0.0343952	0.0263925	0.0217547	0.0231352	0.0178985	0.025492	0.0231377	0.0172625	0.0145804	0.0116147	0.00915773	0.0141663	0.0459419	0.0256801	0.0456154	0.042596	0.0825158	0.0702956	0.0717895	0.0895155	0.083344	0.111256
en	0.0542287	0.0429353	0.0458236	0.0463637	0.0559853	0.0820085	0.076903	0.0761661	0.0467044	0.0444371	0.0257348	0.0117327	0.0104489	0.00764579	0.00182097	0.00803855	0.0339491	0.0127628	0.0531615	0.022917	0.0348312	0.0319137	0.021927	0.0338817	0.0363611	0.0813173
me	0.0756769	0.042108	0.0210528	0.0317534	0.0360054	0.0381607	0.038584	0.0412445	0.0440772	0.0780059	0.0429877	0.0352342	0.029122	0.0146149	0.0176507	0.0134062	0.0326664	0.0134413	0.0297669	0.0232505	0.0484132	0.0408379	0.0379447	0.0578009	0.0604237	0.0557701
voyant	0.0602199	0.040545	0.0393914	0.0403111	0.0504542	0.0369859	0.0210658	0.020735	0.0179013	0.0196643	0.0144641	0.0122065	0.00534076	0.00330469	0.00186169	0.00331977	0.0262266	0.00844814	0.0390429	0.0167179	0.0744359	0.0720642	0.0498798	0.0915356	0.0822377	0.15164
travailler	0.0400519	0.0365032	0.0345737	0.0210948	0.0215277	0.0115087	0.00970974	0.00858895	0.00819007	0.0102435	0.00931701	0.00674973	0.00841165	0.00723175	0.00377383	0.00884144	0.0266013	0.0177784	0.0448382	0.044303	0.129608	0.0816614	0.0940738	0.130945	0.0899391	0.0939342
</S>	0.0471612	0.0447009	0.0430358	0.0291237	0.0295071	0.0253913	0.0221657	0.0189765	0.0144069	0.0164185	0.00904709	0.00657407	0.0045857	0.00476239	0.00628781	0.0068187	0.0189231	0.0165717	0.0417224	0.030479	0.089606	0.0666207	0.0801186	0.106144	0.11181	0.109041
