 	a	b	a	a	b	ó	b	á	a	d	z	w	a	s	ó	y	w	e	m	á	k	y	e	b	h	é	k	y	e	b	h	é	</S>
les	0.0342149	0.0327162	0.029281	0.0213335	0.00857621	0.00785628	0.00886427	0.0112053	0.0177189	0.0120653	0.0245667	0.0184288	0.0337788	0.103629	0.135023	0.108112	0.0376298	0.040246	0.0247135	0.0243039	0.0305199	0.0317354	0.0271159	0.0179717	0.0229107	0.0182388	0.0238968	0.0141103	0.0183969	0.0189412	0.0157667	0.0142408	0.0118907
hommes	0.081027	0.104817	0.0911242	0.121678	0.13154	0.142154	0.0545395	0.0337261	0.0165885	0.0258556	0.0170576	0.0118472	0.0165793	0.0145149	0.0129764	0.0225954	0.0124128	0.00669754	0.00591375	0.0069098	0.00679521	0.00274399	0.00186664	0.00147817	0.00245088	0.00346384	0.00728745	0.00699634	0.00903347	0.0100422	0.00566998	0.00702296	0.00459378
se	0.0318319	0.0470814	0.047999	0.0405684	0.0407936	0.0429727	0.0407117	0.0456869	0.0330081	0.0534074	0.0508968	0.0248238	0.0243667	0.0347735	0.0200334	0.0484981	0.111892	0.0458933	0.0460565	0.0333473	0.0332959	0.0147195	0.0125004	0.00640803	0.0034134	0.00627063	0.00547977	0.00691907	0.00916039	0.00386347	0.00558567	0.0107731	0.0169681
rendent	0.0225887	0.0412958	0.0515829	0.0402647	0.0297421	0.0323283	0.0421804	0.0470129	0.0363516	0.0301891	0.0364851	0.031803	0.0688495	0.0506317	0.0547011	0.0475129	0.0471941	0.0314425	0.0207696	0.0338531	0.0166622	0.0144694	0.0158204	0.0148921	0.0127432	0.0192771	0.01457	0.0225583	0.0144241	0.0128427	0.0111939	0.0153031	0.0184644
dans	0.0330825	0.0250795	0.023042	0.023175	0.0208806	0.025989	0.0230437	0.0219335	0.0192478	0.0227304	0.0202868	0.0194992	0.0239077	0.0193663	0.0140488	0.0179014	0.0150528	0.0211921	0.0255969	0.0225741	0.0292236	0.0223785	0.0247092	0.027852	0.0557442	0.030138	0.0479434	0.0448022	0.0417974	0.0384567	0.0462462	0.0502079	0.10287
le	0.0238143	0.0188966	0.0231921	0.0157752	0.0192159	0.0172271	0.0182749	0.0184368	0.0438663	0.0247203	0.0509629	0.0326248	0.0450634	0.0675907	0.0813561	0.0308571	0.0272933	0.0259262	0.0168614	0.0192941	0.0189215	0.0206994	0.0167612	0.023265	0.0385679	0.0227474	0.0269673	0.0280803	0.0303517	0.0361749	0.0338258	0.0396025	0.0427855
sanctuaire	0.014143	0.0107009	0.0108539	0.0109002	0.0111886	0.0132361	0.0152928	0.0125085	0.0159839	0.0160472	0.0190473	0.0173795	0.0184309	0.01621	0.0211882	0.0141184	0.0126992	0.0374777	0.0428389	0.0319217	0.0423564	0.0255511	0.0318402	0.0302025	0.0585271	0.0427292	0.0659592	0.0502127	0.0697886	0.0625439	0.053122	0.0497575	0.055243
du	0.0163035	0.0167297	0.0163927	0.0183674	0.0219998	0.0264226	0.0234598	0.0211475	0.0176269	0.0183882	0.0153181	0.0215706	0.0303484	0.0260596	0.0254886	0.0137916	0.00715109	0.0157745	0.0185548	0.0100447	0.0148982	0.0229581	0.0341294	0.0374754	0.0302454	0.0234121	0.0218083	0.0279711	0.0291129	0.0479455	0.0600263	0.077001	0.192076
kyebhe-kyebhe	0.055725	0.048388	0.050238	0.0444766	0.0375053	0.0256033	0.0205679	0.0198584	0.0176767	0.0196424	0.0214453	0.027298	0.0298859	0.0238528	0.0244137	0.0206118	0.0229276	0.0184171	0.0273598	0.0264285	0.0213755	0.0194164	0.0144437	0.0154874	0.0136139	0.0216205	0.0203397	0.0227684	0.0272267	0.0414156	0.0339786	0.0426361	0.123355
</S>	0.0480542	0.0292741	0.0291619	0.0275997	0.0265541	0.0295073	0.0220138	0.0256606	0.0117306	0.0181378	0.0124207	0.0138224	0.0200475	0.0128659	0.00953077	0.00786728	0.00879424	0.0160091	0.0179838	0.0134668	0.0175876	0.0205666	0.0238978	0.0395822	0.0335533	0.0282355	0.0289358	0.0412191	0.0290102	0.0397667	0.0589847	0.0810298	0.157128
