 	a	y	ú	r	u	á	m	i	p	ε	l	έ	a	t	ω	ώ	ó	e	b	é	e	y	á	n	d	ω	ω	</S>
les	0.153719	0.118837	0.063072	0.0242347	0.00914006	0.0310804	0.0310739	0.0364151	0.0375603	0.0679325	0.0692707	0.0706965	0.0445065	0.0332885	0.0352125	0.0245078	0.0230036	0.0177381	0.0120378	0.0156945	0.010206	0.00784519	0.00850004	0.0101215	0.0101008	0.00935074	0.0105394	0.0143145
femmes	0.0277886	0.0274249	0.048127	0.0651589	0.133889	0.133449	0.137425	0.098825	0.0649558	0.0464352	0.0686595	0.0369264	0.0171216	0.00296633	0.00385088	0.00333415	0.00668562	0.00449935	0.00719001	0.00881224	0.012641	0.0114646	0.00987175	0.00680955	0.0052456	0.00447729	0.00269809	0.00326759
ont	0.0171875	0.0111292	0.00886818	0.0121482	0.0113263	0.0127506	0.0246083	0.0402851	0.0304673	0.0457903	0.0678782	0.0811207	0.100742	0.0421818	0.0762271	0.0792734	0.0789201	0.0326361	0.0310186	0.0265804	0.0414198	0.0341562	0.0185597	0.0207645	0.0142435	0.015158	0.0125729	0.0119862
étalé	0.00945621	0.0117749	0.0206889	0.025074	0.0316571	0.047155	0.0398399	0.0440584	0.0716193	0.0527234	0.0218431	0.0236401	0.0279882	0.0302798	0.034555	0.0497536	0.0417083	0.0344998	0.0516097	0.0620105	0.0482666	0.0373751	0.0270929	0.0231134	0.0220931	0.0257051	0.0393917	0.0450269
des	0.0318789	0.0266249	0.0231094	0.0229027	0.0193755	0.0168283	0.0129462	0.0117077	0.0120007	0.00924149	0.00964301	0.0161087	0.0234052	0.0173636	0.0303778	0.0342901	0.0394892	0.047699	0.0664269	0.0578761	0.0800221	0.0719493	0.0581331	0.0440657	0.0441777	0.0547696	0.0496947	0.0678924
nattes	0.0104637	0.00901034	0.00860494	0.00857394	0.00815125	0.00661329	0.00422642	0.00415249	0.00463102	0.00459871	0.00479083	0.00928771	0.0106116	0.0331202	0.0274407	0.0422741	0.0551766	0.0651648	0.0660917	0.0719613	0.0699838	0.0724739	0.0541696	0.0604255	0.0738866	0.0806251	0.0602843	0.0732055
là	0.0114393	0.00905755	0.00939271	0.0114403	0.0105332	0.00931497	0.00806387	0.00772198	0.00663687	0.00831935	0.00816621	0.0147166	0.0121502	0.0268058	0.0245995	0.028742	0.032318	0.0395827	0.0380228	0.0712069	0.0691034	0.0796909	0.0633169	0.0709935	0.0845023	0.08984	0.0708144	0.0835076
où	0.0529675	0.0305009	0.0258927	0.0175662	0.0161031	0.0148662	0.00949966	0.00799545	0.0107949	0.00938736	0.011205	0.0206782	0.0210608	0.0159672	0.0157158	0.0182173	0.0247163	0.0293718	0.0358103	0.0634095	0.0676517	0.0715941	0.0709025	0.0672836	0.0584249	0.0606971	0.0804261	0.0712937
il	0.0540332	0.0427825	0.0359686	0.0291262	0.0227042	0.0157437	0.00789423	0.00455169	0.00575627	0.00605797	0.00726951	0.0118008	0.020116	0.0142895	0.0107364	0.0143346	0.0225554	0.0305651	0.0382503	0.0409911	0.045637	0.0514938	0.059446	0.0574017	0.0502589	0.0701442	0.101927	0.128164
y	0.047348	0.0430726	0.0313173	0.0257997	0.0183779	0.0140231	0.00672816	0.00260697	0.00318681	0.00425374	0.00520351	0.00635805	0.00983366	0.00788756	0.00849526	0.00698089	0.0120016	0.0167465	0.0232265	0.040169	0.048836	0.0606817	0.0800849	0.0907373	0.0656438	0.0826696	0.0954521	0.142278
a	0.02752	0.0237989	0.021107	0.0226156	0.0202609	0.0115976	0.00682022	0.00518168	0.00567254	0.00433762	0.00570326	0.00884609	0.0108326	0.0098871	0.010223	0.0115554	0.0186556	0.0284371	0.0486729	0.046648	0.0592102	0.0750176	0.0862246	0.0961433	0.0668894	0.0714396	0.0939396	0.102763
la	0.0325832	0.0260148	0.0219016	0.0200177	0.0157585	0.00958396	0.00519307	0.00304362	0.00336898	0.00434925	0.00668317	0.0128367	0.0160836	0.0148658	0.013214	0.0155123	0.0243547	0.0332885	0.0554908	0.0430988	0.0550634	0.0656257	0.0779063	0.0898136	0.0658259	0.0694047	0.0959019	0.103215
veillée	0.0402104	0.0364479	0.0307948	0.0284483	0.0199766	0.00523746	0.00286559	0.00303804	0.00318693	0.00338927	0.00611134	0.0106484	0.00820029	0.0137192	0.00814624	0.0130553	0.0229488	0.0352451	0.0305568	0.0299352	0.0261268	0.0310072	0.0602301	0.0843456	0.0915787	0.0876672	0.122153	0.144729
mortuaire	0.0204066	0.0279217	0.0313278	0.0419897	0.0280317	0.0194729	0.0217565	0.0237388	0.0203901	0.0197608	0.0184461	0.0167178	0.0169436	0.0211288	0.0213199	0.0215048	0.0266042	0.0302781	0.0228479	0.0248865	0.0245033	0.0273805	0.0338081	0.0393184	0.0578698	0.0730063	0.0595642	0.209075
</S>	0.0358671	0.0382864	0.027469	0.026139	0.0212815	0.0169083	0.0199387	0.0178291	0.0203239	0.0234553	0.0254952	0.0367962	0.0377765	0.0231961	0.024785	0.0208536	0.0277825	0.021267	0.0225401	0.0386913	0.0412261	0.047447	0.0494394	0.051754	0.0439027	0.0538568	0.0593076	0.126385
