 	n	z	ω	i	l	á	a	b	ó	r	á	á	k	á	a	m	w	á	n	a	o	p	ω	ώ	o	t	o	</S>
l'	0.011548	0.00520009	0.00377254	0.00659646	0.00900463	0.0202455	0.017704	0.0382877	0.0418946	0.0462765	0.0659477	0.0467656	0.0607887	0.0628304	0.0404345	0.0540878	0.0608568	0.0517513	0.0444159	0.041719	0.035191	0.0334904	0.0346266	0.0395624	0.0358735	0.0282854	0.0303923	0.0324506
éléphant	0.152821	0.296661	0.212403	0.149232	0.0274891	0.0167347	0.0228516	0.0105232	0.00825558	0.00726579	0.0227728	0.0179575	0.012732	0.0130267	0.00585398	0.00310665	0.00474948	0.00353372	0.0034818	0.00193235	0.000697135	0.00200041	0.00154496	0.000797818	0.000404812	0.000519586	0.000374229	0.00027759
ne	0.0945856	0.106984	0.0905602	0.040286	0.0571479	0.0223462	0.039424	0.0378303	0.0408793	0.0472074	0.0397401	0.0164967	0.0481859	0.0398858	0.0324934	0.0173096	0.0318604	0.0368968	0.0235425	0.0219858	0.026627	0.0218358	0.0208142	0.0102335	0.00916048	0.00968119	0.00804999	0.00794965
met	0.148728	0.0937279	0.0770113	0.0777942	0.0836718	0.0977737	0.0693848	0.0486939	0.0308229	0.0269257	0.0112565	0.0120154	0.0114	0.0128996	0.0173503	0.0152049	0.0173845	0.0290268	0.0235027	0.0259333	0.0114413	0.0102586	0.009307	0.0111969	0.00883212	0.00410861	0.00521076	0.00913627
bas	0.0276404	0.0292959	0.0350603	0.0282195	0.0527125	0.0486279	0.0765015	0.0562199	0.042327	0.0427247	0.0384138	0.0323105	0.03646	0.0335349	0.0284525	0.0229417	0.0265416	0.0388941	0.0418979	0.0429332	0.024031	0.0263029	0.0236052	0.0174262	0.0246766	0.0284372	0.0422254	0.0315857
qu'	0.0309312	0.0264143	0.0271461	0.0277462	0.0282442	0.0331654	0.0389596	0.0332585	0.0341074	0.0306861	0.028259	0.0263074	0.0355593	0.0347607	0.0409575	0.027123	0.0346016	0.0372199	0.0207169	0.0281691	0.0273705	0.0311215	0.0269797	0.0258744	0.0427635	0.0582535	0.0851965	0.0781067
un	0.104539	0.0769528	0.0500762	0.0290339	0.015293	0.0208738	0.0145202	0.0159525	0.0256569	0.0205069	0.0243859	0.0158625	0.0171984	0.0130364	0.0129973	0.00925448	0.0080902	0.0106978	0.00617994	0.00756573	0.0173063	0.0215687	0.0341127	0.0306578	0.0454292	0.0763721	0.134301	0.141578
seul	0.0472647	0.090385	0.0651632	0.0265092	0.0188711	0.0226254	0.0175965	0.0116367	0.0170414	0.0146103	0.0196889	0.0142363	0.0122519	0.0109957	0.0124716	0.0143307	0.0224124	0.0214397	0.014453	0.0155494	0.0266949	0.0263478	0.0429388	0.0403667	0.0415367	0.0534196	0.104821	0.174341
petit	0.0354823	0.0313817	0.0153718	0.0237149	0.0178773	0.0125254	0.0137471	0.0139559	0.0129412	0.0106396	0.0116193	0.00834374	0.0133584	0.0100737	0.0152854	0.0212836	0.037982	0.0429735	0.0377466	0.0386889	0.0672659	0.0412302	0.0523582	0.0663999	0.0735418	0.0768294	0.0904229	0.106959
</S>	0.0602606	0.0473936	0.020595	0.027597	0.0224838	0.0177743	0.0188447	0.0101297	0.011905	0.00975867	0.00698372	0.00707936	0.00914556	0.00616352	0.00906387	0.0106453	0.01689	0.0114797	0.015378	0.0226872	0.0470941	0.0300212	0.0767333	0.0639471	0.0763201	0.0867465	0.120105	0.136774
