 	o	k	o	n	d	z	i	y	a	t	s	ε	n	g	ε	l	á	a	s	u	n	d	á	ó	m	b	o	n	d	z	i	p	á	b	h	a	</S>
le	0.00996029	0.0181599	0.0149486	0.023428	0.0299437	0.0146723	0.0247674	0.0271267	0.0246646	0.0194047	0.026237	0.0321487	0.0306849	0.0588899	0.042491	0.0416369	0.0216152	0.0128503	0.0200235	0.0196118	0.0215096	0.0254995	0.0255938	0.0262813	0.0159088	0.0226122	0.019869	0.0204281	0.0285644	0.0230698	0.0327533	0.0303748	0.0357104	0.0445445	0.0440592	0.0384804	0.0314756
président	0.0105827	0.0441796	0.0737488	0.115039	0.141061	0.0979999	0.0524449	0.0691858	0.0320713	0.0318729	0.0384702	0.0304404	0.0563694	0.0326327	0.0246996	0.0196013	0.015888	0.00728145	0.0099049	0.00579183	0.00758816	0.00214219	0.0035031	0.00513972	0.00398739	0.00344783	0.00663468	0.00411267	0.00907652	0.00726822	0.0156842	0.0081829	0.00426802	0.00521543	0.00244297	0.00112563	0.000914735
de	0.044818	0.0333566	0.0298037	0.0248857	0.0382649	0.0306525	0.0370809	0.0420777	0.0303175	0.0257056	0.0275493	0.0286325	0.0284224	0.0367448	0.0284403	0.0575513	0.065961	0.0808494	0.071391	0.0365248	0.0375463	0.0056251	0.0111137	0.0152042	0.0114308	0.004465	0.0123729	0.00634682	0.0103275	0.0128744	0.0135528	0.0157078	0.00864099	0.0109834	0.00753106	0.00649138	0.0107558
la	0.0185434	0.0292631	0.0276144	0.0412028	0.0381106	0.0385898	0.0408772	0.0330066	0.0367643	0.0322261	0.047053	0.0489891	0.0467953	0.0514892	0.049709	0.0427578	0.0386578	0.0375467	0.0276699	0.0297561	0.0225534	0.0209173	0.016465	0.00773523	0.0141819	0.00934476	0.0105702	0.00922935	0.00845691	0.00697375	0.00523418	0.0121377	0.00844476	0.0089758	0.0101058	0.0224017	0.04965
république	0.00883836	0.00869715	0.00933343	0.0124409	0.0126992	0.0127126	0.0155596	0.0188894	0.0153659	0.0203894	0.0241552	0.018208	0.0201317	0.0221163	0.0301754	0.0277509	0.0402263	0.0254195	0.0209684	0.027261	0.0295165	0.0275828	0.0431126	0.0489094	0.0467377	0.0337212	0.0612419	0.0310318	0.0595872	0.0421125	0.0369078	0.0354343	0.0259143	0.031888	0.0234497	0.0170316	0.0144821
arrive	0.0187299	0.0139623	0.0155696	0.0138148	0.0173969	0.020596	0.0316203	0.027728	0.0310008	0.0350031	0.0364347	0.0306801	0.0339636	0.0262829	0.0304372	0.0340156	0.0427411	0.0769021	0.0459958	0.0466858	0.0329001	0.0216346	0.0198149	0.0150776	0.0190548	0.0255473	0.0156144	0.019876	0.00702314	0.0213154	0.0132365	0.0234663	0.0215651	0.0237743	0.0221924	0.0231222	0.0452245
aujourd'	0.0183125	0.0121248	0.0118753	0.0144437	0.0171315	0.0191028	0.0271414	0.0259029	0.0251867	0.0255259	0.0181609	0.014941	0.0129943	0.0133951	0.0110258	0.0151906	0.0201137	0.0325519	0.04048	0.056254	0.0413785	0.0467366	0.0477249	0.0386247	0.0414221	0.0493159	0.0391366	0.0402323	0.0206002	0.0320115	0.0282806	0.0242127	0.0232486	0.0238032	0.0178991	0.0197909	0.0337269
hui	0.0640347	0.032063	0.0256921	0.0154529	0.0108162	0.00961891	0.0100931	0.0102769	0.0112188	0.0116322	0.00953075	0.00724282	0.00766264	0.0123444	0.0150081	0.0212749	0.031755	0.0472545	0.0457943	0.0529864	0.0300249	0.0324118	0.0323641	0.0286082	0.0252658	0.0154347	0.0224118	0.0360339	0.0141362	0.0192889	0.0314276	0.0345404	0.0153704	0.0317434	0.0261444	0.0687637	0.0842774
à	0.0300349	0.0202367	0.016226	0.0109085	0.00953011	0.00944455	0.0131169	0.0104718	0.0153004	0.0170194	0.0155914	0.0117737	0.0110997	0.0204461	0.0275833	0.0449065	0.0492455	0.0673401	0.0435288	0.0823128	0.0264155	0.0567411	0.0498087	0.0233395	0.0302227	0.0260287	0.025111	0.0295811	0.0126813	0.00702141	0.00765296	0.00910883	0.00845074	0.00977109	0.0140045	0.0365038	0.10144
boundji	0.0376385	0.0250914	0.0234907	0.0195755	0.0128763	0.00805229	0.00539928	0.00459383	0.00697711	0.00912648	0.00930445	0.00669953	0.00698602	0.00928433	0.0136326	0.0144864	0.0189849	0.0309761	0.0243259	0.0412661	0.0278384	0.0390786	0.040226	0.0295277	0.0393058	0.0378171	0.0290483	0.0459461	0.0161534	0.0286016	0.0274499	0.0421131	0.0339102	0.0417193	0.0457199	0.0617955	0.0849816
</S>	0.046849	0.0281927	0.0264095	0.0192003	0.00879181	0.00735852	0.00546667	0.00400358	0.00507277	0.00603262	0.00593811	0.00479926	0.00569298	0.00890519	0.00948734	0.0129655	0.0173101	0.0352148	0.0312551	0.0469661	0.0323732	0.0374143	0.0306627	0.0207958	0.0336248	0.0273407	0.0177617	0.0296145	0.0137944	0.023621	0.0217817	0.0507002	0.033496	0.0545175	0.0503214	0.0785789	0.107689
