 	o	b	a	l	e	b	ó	l	á	a	l	é	á	ó	l	έ	n	g	έ	</S>
le	0.00628845	0.00993467	0.0138812	0.0402963	0.0413072	0.0499512	0.0457893	0.053861	0.0418241	0.0329674	0.0202833	0.0232547	0.0353401	0.0654319	0.0637117	0.103857	0.133533	0.116597	0.0722028	0.0296869
récolteur	0.0267387	0.0524984	0.0902532	0.157827	0.0918677	0.160128	0.0873776	0.0519184	0.0396411	0.0429107	0.0433074	0.0294653	0.0204649	0.0206804	0.0230109	0.0152112	0.0169668	0.0107382	0.010476	0.00851838
du	0.0644134	0.048181	0.0568197	0.0386222	0.0346365	0.0281224	0.058992	0.0559024	0.0577701	0.0576006	0.0299474	0.0366201	0.0387108	0.0361284	0.0487418	0.0739486	0.0601008	0.0521073	0.0631106	0.0595238
vin	0.0850193	0.0650267	0.0909007	0.106292	0.0815164	0.0338887	0.0289041	0.0248216	0.0251771	0.0242464	0.0255076	0.0236634	0.0379649	0.0513587	0.0350308	0.0203362	0.0229412	0.0402178	0.0585657	0.118621
de	0.140837	0.0651442	0.0555138	0.0708677	0.0499263	0.0288832	0.0384967	0.0366904	0.0363603	0.0383012	0.0323173	0.0362756	0.0366104	0.036455	0.0247161	0.0160523	0.0139206	0.0163178	0.0360706	0.190244
palme	0.0694	0.0524116	0.0487055	0.0548839	0.0546225	0.034736	0.0476751	0.045472	0.0477292	0.0269882	0.0250965	0.0260405	0.0270392	0.0297477	0.0326279	0.0240065	0.0362721	0.0654038	0.0849135	0.166228
grimpe	0.117336	0.06056	0.042324	0.0337146	0.0330877	0.0175118	0.0201941	0.0173929	0.0197134	0.0110288	0.0112211	0.0121571	0.0121208	0.00935124	0.0170653	0.0276969	0.0467883	0.0986251	0.143785	0.248325
sur	0.157387	0.100581	0.071868	0.0638335	0.0542639	0.0203732	0.0168311	0.0121814	0.0142114	0.0110009	0.0114986	0.011826	0.012415	0.0131698	0.0223648	0.0303371	0.047387	0.101085	0.0868769	0.140508
le	0.104684	0.0684796	0.0480136	0.0411158	0.0261874	0.0164218	0.0215717	0.0213734	0.0144476	0.00641975	0.0075661	0.00705741	0.00815254	0.010192	0.0152498	0.0264134	0.0474808	0.112689	0.134074	0.262411
palmier	0.0741184	0.0394337	0.0295643	0.0303301	0.0237152	0.0148482	0.021212	0.0201429	0.0137432	0.0089932	0.0061405	0.00921426	0.0111173	0.0107468	0.0149969	0.0185607	0.0532436	0.0928076	0.182323	0.324748
</S>	0.110953	0.0431585	0.0398049	0.0404166	0.0339907	0.0194686	0.0273198	0.0258398	0.0178706	0.00745744	0.00481201	0.0056085	0.00809765	0.00868511	0.0131004	0.0206124	0.0423624	0.0876917	0.173077	0.269673
