 	e	k	y	é	n	á	á	y	á	t	o	m	b	o	á	b	h	i	á	a	k	ώ	k	a	á	e	k	í	i	d	z	a	a	i	b	o	n	g	í	</S>
il	0.00926346	0.0102825	0.00675423	0.00839972	0.021756	0.0235416	0.0361397	0.0336616	0.0751619	0.0456703	0.0836536	0.0440103	0.0327049	0.033537	0.0349308	0.0285714	0.028861	0.0373101	0.0322095	0.0217895	0.0270678	0.0303574	0.0287318	0.0201994	0.00826036	0.00913161	0.00629792	0.00872196	0.0082627	0.00801537	0.0101796	0.013744	0.0143985	0.0142393	0.0118527	0.0128275	0.0187163	0.0349558	0.0398137	0.0260173
n'	0.111596	0.0993673	0.0999019	0.0675402	0.0335468	0.033003	0.0236307	0.0183599	0.0108263	0.0187679	0.0196803	0.0152093	0.0223495	0.0229258	0.025461	0.0204004	0.0318186	0.0325373	0.0427369	0.023059	0.0325774	0.0223369	0.0142468	0.0226669	0.00897352	0.0284521	0.00911834	0.0122205	0.00990078	0.00653561	0.00522991	0.0083069	0.00794439	0.0124179	0.00547107	0.00750961	0.0022607	0.0035867	0.0033491	0.00417636
y	0.0573068	0.0681517	0.0475529	0.0481169	0.033637	0.0372607	0.0403175	0.0442075	0.0339491	0.0469783	0.0481504	0.029824	0.0459079	0.0327811	0.0447512	0.0258855	0.0383441	0.0292181	0.0177643	0.00938208	0.00700767	0.0047048	0.00542518	0.00835568	0.00990791	0.00946923	0.0110451	0.0129994	0.0193309	0.0194827	0.013057	0.0158486	0.0143312	0.0144774	0.0099096	0.00713371	0.00559594	0.00927319	0.0129251	0.0102326
a	0.0447781	0.04887	0.034313	0.0275699	0.0227033	0.0169817	0.016905	0.0132724	0.0101798	0.0171928	0.0151868	0.0146784	0.0147968	0.027547	0.0414968	0.0424035	0.0737328	0.0467895	0.0415236	0.0509193	0.0540474	0.0781908	0.0241968	0.0216049	0.0188418	0.0237829	0.0214208	0.0205763	0.0125019	0.0088667	0.00591566	0.00500673	0.00452727	0.0054087	0.00626539	0.00892544	0.0130099	0.0117118	0.0114796	0.0218785
plus	0.0229651	0.0199443	0.0264953	0.0249144	0.0121443	0.0116006	0.00814856	0.00402104	0.00568285	0.00347793	0.005303	0.0073586	0.00576683	0.00734369	0.00820522	0.0171604	0.0335909	0.0582672	0.0699687	0.0531293	0.0399073	0.0494209	0.0384922	0.047146	0.101324	0.0776452	0.0688623	0.0331213	0.0113565	0.0116348	0.00861048	0.0110517	0.0110344	0.00891027	0.00898749	0.00959798	0.015641	0.015223	0.0145908	0.0119537
de	0.0245594	0.0249597	0.0238373	0.0193093	0.0133452	0.0141793	0.00974658	0.00852055	0.0101327	0.012324	0.0111128	0.0163127	0.0173575	0.0263272	0.0223672	0.0406103	0.0428133	0.0676998	0.0582223	0.0852743	0.0851758	0.0568352	0.0559885	0.0265003	0.0211295	0.0170154	0.0198035	0.00842926	0.006753	0.0067531	0.00533043	0.00725777	0.00939168	0.00882786	0.00959961	0.0116301	0.0174706	0.0219574	0.0200058	0.0351338
forêts	0.0266214	0.0201465	0.0200437	0.0220088	0.00770497	0.00942976	0.0087413	0.00616569	0.00661554	0.00592194	0.0059544	0.00909073	0.00789061	0.0111643	0.0108461	0.0194612	0.0267333	0.0888113	0.075673	0.0990283	0.10087	0.0714144	0.0764057	0.033094	0.0312922	0.0187722	0.0361352	0.0114065	0.00901064	0.0088317	0.00540708	0.00584255	0.00584869	0.00608461	0.00690252	0.00734173	0.0170556	0.0202955	0.0166191	0.0233172
dans	0.0152139	0.0143725	0.0133361	0.0198196	0.0129976	0.0162299	0.0121049	0.0143103	0.018709	0.0206309	0.0182192	0.0252311	0.0239086	0.0273226	0.0279973	0.0296477	0.0320067	0.044156	0.0546243	0.0701523	0.0876771	0.0681799	0.0815423	0.0362981	0.0131662	0.0189711	0.00937466	0.0102705	0.00468596	0.00475451	0.00498724	0.00792251	0.00792149	0.0108884	0.00945087	0.00933876	0.0123493	0.0226805	0.0223165	0.0462337
le	0.0361107	0.0241774	0.021571	0.0304502	0.0247125	0.0209482	0.0163658	0.0109464	0.0109727	0.00897632	0.0113029	0.0104541	0.00792077	0.00989185	0.0099034	0.0138128	0.0171017	0.0337302	0.0555272	0.0821333	0.073937	0.0922401	0.0621632	0.0434225	0.0175952	0.0244677	0.0128618	0.00589779	0.00569306	0.0052105	0.00511781	0.00947267	0.0125702	0.017907	0.0186613	0.0176427	0.0248636	0.0293749	0.0290349	0.0348566
secteur	0.0263238	0.0183289	0.0171057	0.010068	0.00734978	0.0038153	0.00314112	0.00437505	0.00608915	0.00633547	0.00778806	0.00823461	0.00634853	0.00717873	0.00827979	0.0101667	0.0143114	0.0213755	0.0317365	0.0450451	0.0606681	0.0761841	0.0600043	0.0513863	0.0392117	0.0454546	0.0422734	0.02814	0.0270992	0.0256597	0.0248224	0.0246053	0.0241256	0.025034	0.0267484	0.0231615	0.0241779	0.0230626	0.0304672	0.0543167
