 	e	b	h	ó	y	á	k	á	a	é	y	a	a	b	a	á	n	g	á	í	d	z	w	a	i	t	ó	a	</S>
que	0.00884616	0.0120573	0.00992137	0.0108427	0.0142287	0.0170096	0.0235447	0.0373758	0.037597	0.0394124	0.0395316	0.0403054	0.044071	0.0503863	0.0552151	0.0463238	0.051676	0.0406333	0.0549399	0.0464262	0.0520705	0.0452608	0.0434535	0.0263174	0.0309133	0.0361787	0.0294727	0.0269857	0.0290028
la	0.136114	0.0475959	0.0362186	0.0271149	0.0241513	0.0257226	0.0194973	0.0164749	0.0139154	0.016821	0.022876	0.0449425	0.0593526	0.0781149	0.0773817	0.104781	0.0668947	0.0405071	0.0444107	0.0199149	0.00670727	0.00698462	0.00548251	0.0149317	0.022316	0.0080679	0.00277918	0.00379768	0.00613143
saison	0.0201778	0.0162036	0.0108252	0.0111108	0.00719434	0.00339369	0.00269168	0.00341528	0.00452766	0.00683905	0.00732258	0.0186197	0.0290003	0.0407383	0.0411124	0.0424362	0.0587136	0.0448467	0.0930513	0.0909699	0.094111	0.119964	0.0848215	0.0378659	0.0422361	0.0270017	0.0173179	0.012738	0.0107542
sèche	0.0812533	0.0478097	0.0435877	0.0281236	0.0254401	0.0206651	0.0201678	0.023267	0.0233365	0.0346547	0.0310487	0.0183663	0.0168599	0.0115163	0.0142534	0.0143044	0.0212984	0.0167779	0.0482848	0.0339887	0.0158436	0.0407512	0.0298319	0.0417523	0.0523717	0.0387446	0.0256423	0.0433845	0.136673
arrive	0.027715	0.0514268	0.0567788	0.0559969	0.0705535	0.0603484	0.0509017	0.0480597	0.044367	0.066924	0.0438192	0.0268535	0.0403211	0.0417012	0.0152051	0.0158205	0.0218536	0.00990326	0.0113477	0.0094243	0.00818329	0.0225587	0.0184188	0.0167264	0.0247888	0.0259082	0.0253752	0.022974	0.0657451
pour	0.0604115	0.0501584	0.0474212	0.0457848	0.0436087	0.0394443	0.0273296	0.0251792	0.0257567	0.0206695	0.020128	0.0214603	0.028747	0.028346	0.0259538	0.0274736	0.0399364	0.0137939	0.0135228	0.0199893	0.0334764	0.0607387	0.0307204	0.0279661	0.0255248	0.0271907	0.0262085	0.032259	0.1108
que	0.0784954	0.0563054	0.0456854	0.0366078	0.0203206	0.0147093	0.0148067	0.0193057	0.0217684	0.0401378	0.0353864	0.0275974	0.0363848	0.0526091	0.0547183	0.0512992	0.0773802	0.0432975	0.0346745	0.0240073	0.02072	0.0214182	0.0116109	0.0106815	0.00984965	0.0160751	0.0157199	0.0252301	0.0831973
je	0.0437557	0.0356517	0.0357762	0.0332072	0.0275723	0.0246616	0.0301891	0.0374452	0.0378343	0.0437152	0.0334668	0.0315354	0.0346198	0.0332035	0.0244759	0.016237	0.0322798	0.0224075	0.024074	0.0365441	0.0281851	0.0439922	0.011747	0.00470196	0.00476042	0.00854563	0.00824639	0.016341	0.234828
parte	0.0581644	0.0458002	0.0424391	0.0403916	0.0353224	0.0281284	0.015073	0.0196124	0.0277398	0.0540906	0.0425113	0.0267489	0.0347325	0.0379221	0.0278111	0.0253503	0.0300356	0.0103736	0.0154419	0.0248268	0.0311194	0.0751227	0.0213594	0.0166802	0.0170261	0.0196913	0.0194416	0.0247072	0.132336
pêcher	0.132371	0.101478	0.0738913	0.0610896	0.0564414	0.0327752	0.0233944	0.0193407	0.0206201	0.0302199	0.023389	0.0200667	0.0175337	0.0230741	0.0230721	0.0124999	0.0288934	0.00671168	0.014316	0.0164035	0.0172164	0.0324392	0.0128333	0.00918445	0.0103233	0.0142169	0.0184252	0.0313801	0.116399
à	0.061526	0.0302953	0.0271082	0.0229682	0.0219181	0.0293439	0.0448576	0.0575684	0.067805	0.0714868	0.0687983	0.0592619	0.0546544	0.0489432	0.0269119	0.0209133	0.0332623	0.0143267	0.0198431	0.0244028	0.0220462	0.031217	0.01639	0.00971235	0.00959104	0.0125116	0.0131893	0.0166387	0.0625084
l'	0.0570559	0.0318644	0.0271447	0.0251606	0.0257084	0.0273321	0.0248373	0.0182474	0.0206516	0.0187589	0.0196634	0.0220254	0.0253086	0.0261108	0.0234265	0.0206111	0.0294433	0.0132678	0.0135752	0.0191577	0.0299337	0.06019	0.054244	0.0512137	0.0561536	0.0609689	0.0627128	0.0622152	0.073017
écope	0.0766817	0.0533822	0.0550439	0.0437284	0.0371781	0.0150288	0.0105264	0.00871478	0.00893933	0.00971854	0.0110155	0.0136772	0.0144121	0.0139687	0.0141546	0.0133431	0.018884	0.0106322	0.0185826	0.0227806	0.0263344	0.0474539	0.0353204	0.0269521	0.032897	0.0425662	0.0670264	0.0949891	0.156068
</S>	0.0497428	0.0355291	0.0336395	0.0330359	0.0339965	0.0373743	0.0485741	0.0440461	0.0563759	0.0652935	0.0486834	0.036309	0.0342913	0.0324949	0.0179591	0.0160188	0.0207876	0.017554	0.019871	0.0240801	0.0240489	0.0434315	0.0264118	0.0162932	0.0154145	0.0198063	0.0208724	0.0313587	0.0967059
