 	m	w	á	n	a	o	y	ú	r	u	w	ó	a	d	i	p	í	í	d	i	a	b	v	ú	u	n	ω	k	á	a	l	ó	o	b	a	n	d	á	w	a	</S>
cette	0.00527488	0.0082515	0.00634777	0.00313582	0.00150949	0.00207781	0.00149142	0.00172652	0.0021663	0.00363281	0.00495637	0.00890443	0.0200016	0.0445509	0.0386122	0.0389111	0.0605637	0.0414969	0.0944281	0.034304	0.0725592	0.053708	0.0348405	0.0419529	0.0173592	0.0187653	0.0140537	0.0128863	0.0197647	0.013977	0.0239851	0.0238882	0.0216411	0.0271996	0.0272345	0.0265939	0.0292975	0.0265945	0.0307305	0.0216955	0.0189294
fille	0.0508554	0.072702	0.031527	0.0756311	0.260016	0.11789	0.163818	0.0535024	0.0513886	0.0165108	0.0138542	0.0124201	0.012955	0.00476426	0.00443459	0.00231511	0.00200601	0.00245045	0.0015582	0.00273619	0.00255805	0.000599755	0.000303267	0.000273762	0.000214374	0.000538918	0.000490558	0.0015638	0.00459369	0.00209204	0.00591331	0.00462422	0.00400627	0.00589986	0.00427542	0.00247785	0.000806742	0.00137262	0.002938	0.000792069	0.000329211
est	0.0371857	0.0586614	0.025364	0.0298785	0.0217543	0.0269861	0.020994	0.0349602	0.0310103	0.03044	0.0216524	0.0160411	0.0167568	0.0312035	0.0246165	0.0455983	0.0310081	0.0364527	0.0159259	0.0248204	0.0177867	0.013978	0.0126618	0.0166951	0.0202271	0.0246506	0.0246176	0.0247064	0.0189199	0.0213372	0.0277533	0.032896	0.0182822	0.0375023	0.0284943	0.0275105	0.0112921	0.011497	0.0140862	0.00826593	0.0055294
calme	0.0127691	0.0112087	0.00547078	0.00619236	0.0052739	0.00924844	0.00658389	0.0178771	0.0194753	0.052864	0.0414629	0.0435501	0.0184049	0.0569103	0.0265052	0.0356335	0.0257862	0.0313425	0.017964	0.0266376	0.0137083	0.0133973	0.0181908	0.0174674	0.0256065	0.02351	0.0179718	0.0288002	0.0305958	0.0389318	0.0401004	0.0432635	0.0441262	0.036133	0.0315369	0.0213085	0.0208029	0.0138144	0.0217667	0.0110341	0.0167727
si	0.0481039	0.0428884	0.0187153	0.0128219	0.00827853	0.0103202	0.00925268	0.0107944	0.009167	0.00973428	0.0088324	0.00883522	0.00662346	0.0130759	0.0123313	0.0136969	0.00975881	0.0126435	0.0112549	0.0199391	0.0186372	0.0306529	0.0326379	0.0340008	0.0481049	0.0395207	0.0664878	0.0749248	0.0421526	0.0746195	0.0373914	0.0236901	0.0228011	0.0104306	0.0119786	0.0121954	0.0143267	0.0147213	0.0155937	0.0212791	0.0567849
bien	0.0164067	0.00953527	0.00724262	0.00561852	0.0126149	0.0072409	0.00583878	0.00591905	0.00565821	0.00664024	0.00933317	0.0102327	0.00885502	0.0127272	0.015987	0.0167853	0.0158343	0.0180194	0.0199239	0.0399414	0.0324892	0.0703778	0.0456744	0.0339181	0.0437166	0.0330247	0.0777137	0.086967	0.0578171	0.0748598	0.0480447	0.021726	0.0244004	0.0158104	0.013638	0.0111485	0.0116362	0.0074094	0.00943817	0.0072947	0.0225406
qu'	0.0677926	0.0263386	0.0191449	0.0150506	0.0138935	0.0186645	0.0164325	0.0212309	0.0106799	0.0162859	0.00852109	0.00868376	0.00940448	0.0104143	0.0100756	0.0196101	0.0119123	0.0160887	0.0104067	0.0268323	0.0175964	0.0210088	0.0282571	0.0241532	0.031059	0.0289395	0.0379619	0.0354633	0.0251202	0.024919	0.0256955	0.0282567	0.0238952	0.047969	0.0446349	0.0328919	0.0233771	0.0157632	0.0370026	0.0310938	0.0574785
il	0.0706097	0.0429883	0.0347885	0.0282324	0.0177753	0.0244195	0.0229873	0.0264641	0.0218864	0.0340737	0.0264642	0.0186424	0.00924586	0.0104944	0.00700068	0.0101493	0.00780995	0.00691642	0.00512495	0.0119835	0.010278	0.0172727	0.0238739	0.0240892	0.0354563	0.0175402	0.0313578	0.0408207	0.044328	0.0394543	0.0446765	0.0325613	0.0249346	0.023193	0.0154242	0.0138833	0.0167816	0.0146475	0.00936866	0.0132229	0.0687784
te	0.097522	0.036993	0.030391	0.0253738	0.0221942	0.014557	0.0100659	0.0107943	0.00579787	0.00763156	0.00668341	0.00769887	0.00667396	0.0078941	0.00942482	0.00992101	0.0123575	0.0166297	0.0122791	0.0242047	0.0173838	0.0264365	0.0358323	0.0247728	0.0408616	0.0258895	0.0567658	0.047958	0.0455089	0.0363181	0.0368097	0.0353374	0.0163793	0.0187991	0.0138537	0.0155814	0.0139612	0.0119028	0.0131658	0.0151728	0.0762217
faut	0.0955465	0.0456341	0.0346368	0.0276384	0.012451	0.00943726	0.00664501	0.00754674	0.00432166	0.00654154	0.00558489	0.00785374	0.00549438	0.00845782	0.0108265	0.0111243	0.00994134	0.0134977	0.00869113	0.0157994	0.0123476	0.0228366	0.0257909	0.0201132	0.037059	0.0266853	0.0496534	0.0466713	0.041944	0.0447818	0.0386735	0.0343802	0.0238844	0.0218124	0.0224481	0.0198549	0.0210949	0.0187983	0.0181425	0.020538	0.0848198
