 	i	s	i	m	i	l	í	i	p	é	n	d	á	o	t	ω	ω	o	y	í	í	o	n	d	ω	n	g	ώ	</S>
l'	0.0262418	0.0172097	0.0136224	0.0136534	0.0222927	0.0203476	0.0294073	0.0546703	0.0699161	0.0411845	0.034699	0.0594444	0.0372266	0.0405715	0.0517331	0.0611647	0.0548913	0.0302552	0.036037	0.035047	0.023751	0.0214935	0.020169	0.0199453	0.0213941	0.02351	0.0416543	0.0424079	0.0360592
herbe	0.0700954	0.0686477	0.136926	0.167694	0.150651	0.058965	0.0780843	0.0511186	0.0739776	0.00976786	0.00318475	0.00263426	0.00294355	0.00201146	0.00605028	0.00517017	0.00728158	0.00718631	0.0112753	0.014573	0.0132466	0.0148431	0.0118082	0.0150276	0.00950457	0.00300929	0.00211544	0.00137316	0.000833853
qui	0.0306945	0.0418504	0.0470278	0.0383948	0.0353645	0.0388562	0.030335	0.0276464	0.0292799	0.0291637	0.0249045	0.0256479	0.0343172	0.0363398	0.0629471	0.051907	0.0480557	0.0399716	0.0554319	0.0548099	0.0386615	0.0338814	0.0238864	0.0325697	0.0287351	0.0140435	0.017961	0.0165937	0.0107219
pousse	0.0129946	0.0430306	0.069339	0.0399091	0.0222081	0.0178258	0.0238841	0.0274849	0.0271275	0.0381041	0.0306995	0.0170049	0.0151386	0.0263885	0.0343664	0.0320974	0.03898	0.056396	0.0441309	0.0655957	0.0444555	0.0409645	0.0346577	0.0412222	0.0213582	0.0139883	0.0295669	0.0366989	0.054382
le	0.0497999	0.0989617	0.109866	0.0979614	0.0721889	0.0551059	0.052665	0.0363426	0.0274271	0.0276859	0.019834	0.0148403	0.0137549	0.0049689	0.00905909	0.00940268	0.00834666	0.0110359	0.0128148	0.0134662	0.0143719	0.0158214	0.0287412	0.0227452	0.0366426	0.0231382	0.0215163	0.0282019	0.0632939
plus	0.036397	0.080841	0.0537567	0.0667137	0.0403598	0.0317724	0.0292186	0.0235688	0.0222342	0.023937	0.0162601	0.0113318	0.014918	0.00669132	0.0161608	0.0212112	0.0204113	0.0263491	0.0262423	0.0254551	0.0325928	0.0360647	0.063108	0.0520608	0.059947	0.0305703	0.0282927	0.0383478	0.0651857
dans	0.0126568	0.0114931	0.0103244	0.0102965	0.0108365	0.0141795	0.0113705	0.0172919	0.0167289	0.0166808	0.0124647	0.0130831	0.0161906	0.0163622	0.0281444	0.027887	0.036493	0.057529	0.0811007	0.0770429	0.0693913	0.0681464	0.076155	0.0868352	0.058367	0.0373496	0.0323521	0.0277047	0.0455422
un	0.0302175	0.0247179	0.0316223	0.0365631	0.0398976	0.0281055	0.0299012	0.023854	0.0159347	0.0124871	0.0110367	0.00983701	0.0228622	0.0228069	0.0255325	0.0232973	0.0272357	0.0343879	0.0366163	0.0304641	0.0394178	0.0366892	0.0449571	0.0493061	0.0486861	0.0453927	0.0543105	0.0682757	0.0955872
terrain	0.0444657	0.0300632	0.0240376	0.0160675	0.0115859	0.00623328	0.00427263	0.00245991	0.00203296	0.0016324	0.000784881	0.00114422	0.00360299	0.0131828	0.0113043	0.0260361	0.0265079	0.0403989	0.0418509	0.0376807	0.0832102	0.0864226	0.0785974	0.0730274	0.0597577	0.0532777	0.0556904	0.0520122	0.11266
favorable	0.0558145	0.0314935	0.022144	0.0158178	0.0103186	0.00747966	0.00837751	0.00621701	0.00507301	0.00453567	0.00243763	0.00391503	0.0125616	0.0170463	0.0157235	0.0215715	0.0240224	0.0475153	0.0300459	0.0300227	0.0419973	0.0573218	0.0655287	0.0580792	0.0496524	0.0663129	0.0558146	0.0657376	0.167422
