 	i	b	v	e	l	í	í	p	í	m	b	í	n	g	á	m	b	v	á	n	d	é	í	p	ώ	r	i	i	w	a	</S>
la	0.0230689	0.0232408	0.0205061	0.0201493	0.0277448	0.0392087	0.0517591	0.049237	0.0418106	0.0372474	0.047169	0.0337561	0.0597252	0.062385	0.0529379	0.0282806	0.0207857	0.0156147	0.0162185	0.0181318	0.0247809	0.0175008	0.0264633	0.0274518	0.0352607	0.0311792	0.0417134	0.0285944	0.0319704	0.023595	0.0225129
pierre	0.0609172	0.0663013	0.100948	0.108428	0.0823823	0.0994529	0.0431634	0.0369812	0.0360315	0.00849099	0.00647519	0.00952427	0.00751416	0.00551689	0.00505583	0.0104848	0.0143198	0.0124795	0.0105421	0.0139538	0.0229771	0.0092436	0.0252369	0.0173854	0.045116	0.0183838	0.0696782	0.0292064	0.0126796	0.0044171	0.00671265
que	0.105332	0.0622908	0.0340336	0.0166929	0.015919	0.0112077	0.00757448	0.00637587	0.00455868	0.00371122	0.00892681	0.0187154	0.0209758	0.026985	0.0522225	0.0519888	0.0762344	0.0512637	0.0530801	0.064416	0.0432359	0.0424767	0.0321928	0.0279002	0.0299985	0.0298365	0.0195032	0.0287821	0.00963367	0.0211178	0.0228176
j'	0.0214126	0.0179619	0.0151189	0.012623	0.0156829	0.0188645	0.0198461	0.022244	0.0201279	0.0198713	0.0413223	0.0372968	0.0455856	0.0890007	0.0691188	0.0539345	0.0615131	0.0332773	0.0348902	0.0412772	0.0215827	0.030844	0.0268976	0.0294378	0.0238215	0.0177851	0.0362978	0.0246456	0.0232151	0.0274278	0.0470753
ai	0.0453778	0.039165	0.036198	0.0319531	0.0261267	0.0253654	0.022868	0.0282826	0.0216856	0.0177143	0.0111822	0.0101656	0.00960441	0.0186647	0.0251314	0.0379392	0.0622944	0.0450638	0.0536374	0.0643032	0.0416968	0.0422967	0.0342242	0.0298577	0.0249171	0.0310508	0.0261456	0.0271666	0.0156182	0.0255225	0.0687808
lancée	0.026406	0.0236727	0.0215361	0.0226049	0.0186909	0.0206167	0.0176934	0.0216264	0.0222693	0.0143659	0.0104276	0.00848591	0.00820055	0.010942	0.0143317	0.0260362	0.05801	0.0598534	0.0744499	0.0889355	0.0782513	0.0572359	0.0534459	0.0410159	0.0284799	0.0287348	0.0264023	0.0244272	0.0214408	0.0185934	0.0528177
au	0.0476521	0.0756623	0.0658242	0.0413016	0.0257774	0.0203219	0.0164056	0.0165177	0.0155801	0.0141134	0.0205361	0.0312336	0.0282166	0.0252023	0.0223422	0.0268755	0.0244297	0.0288046	0.0277397	0.0320769	0.029416	0.0277186	0.0358393	0.0385149	0.027518	0.0373965	0.0368354	0.0279718	0.0152355	0.0223498	0.094591
chien	0.0427269	0.0344419	0.0245967	0.0230843	0.0223692	0.0193638	0.0129035	0.00937703	0.00948649	0.00459878	0.00731314	0.00848429	0.0103682	0.0129224	0.0151813	0.0189611	0.0238565	0.0200046	0.0252826	0.031453	0.0281219	0.036433	0.0529	0.051852	0.0513957	0.0579788	0.0624018	0.0639725	0.0527833	0.0400667	0.125319
l'	0.0298179	0.0213961	0.0173508	0.016234	0.0125782	0.0121546	0.00893548	0.00788137	0.00812234	0.00376718	0.0051297	0.00640781	0.00740068	0.01139	0.0106158	0.0213831	0.0432561	0.0446934	0.0920809	0.11219	0.0891904	0.0583801	0.0569446	0.0396444	0.0427	0.0263314	0.0246596	0.0307482	0.0195811	0.0340808	0.0849539
a	0.0661159	0.0324926	0.0290216	0.0368467	0.0279472	0.0210105	0.0152765	0.0157002	0.0150597	0.0104834	0.0102454	0.00875064	0.00790512	0.0090503	0.00987202	0.0151533	0.0259741	0.0339848	0.0573509	0.0629771	0.0562911	0.0475929	0.0424123	0.0400957	0.0514244	0.041786	0.0468405	0.0465674	0.025968	0.0290809	0.0607226
atteint	0.0610602	0.053556	0.0581462	0.0497459	0.0382637	0.0283334	0.0169872	0.011487	0.0113378	0.00745794	0.00946579	0.0153709	0.0210124	0.0229132	0.0136235	0.0227471	0.0222914	0.0321928	0.033672	0.0349536	0.0267347	0.0163325	0.0187547	0.0178292	0.0477588	0.0360403	0.0316712	0.0559543	0.0218422	0.0452747	0.117189
</S>	0.132018	0.0772583	0.09246	0.055919	0.030423	0.0191752	0.012452	0.0107598	0.0133374	0.0155355	0.0186056	0.0175291	0.0166029	0.0241331	0.017587	0.0236992	0.0232963	0.0172203	0.0157878	0.0164602	0.0132395	0.0234045	0.0146072	0.0144603	0.0222054	0.0269783	0.0290311	0.0347208	0.0445324	0.046802	0.0797594
