 	m	v	u	l	u	l	á	a	b	v	a	s	é	k	u	l	ú	ú	</S>
l'	0.0107498	0.0152439	0.0410773	0.0413266	0.0325719	0.0451689	0.0818378	0.0926187	0.0871714	0.045773	0.110118	0.0472143	0.0830036	0.100528	0.0423397	0.0245424	0.0374359	0.0319465	0.0293321
antilope	0.0293675	0.0718741	0.100007	0.0826567	0.0869101	0.0638994	0.0465333	0.107018	0.088112	0.13575	0.0978395	0.0401112	0.0168052	0.0104108	0.00716162	0.0053106	0.00627458	0.00256834	0.00139016
dort	0.0248662	0.0426294	0.0729223	0.0964673	0.118765	0.0894221	0.115568	0.0801284	0.0685692	0.0670185	0.0756497	0.0438256	0.0341611	0.0190898	0.01672	0.0135022	0.00996262	0.00517847	0.00555424
à	0.052114	0.046527	0.0627081	0.0618561	0.0475647	0.0266509	0.0369921	0.0529438	0.0488069	0.103505	0.0638765	0.0556577	0.0385892	0.0592726	0.0660997	0.0496303	0.0331354	0.029437	0.0646338
l'	0.0814406	0.0562164	0.0485346	0.0457744	0.0393829	0.0338271	0.0313011	0.024432	0.0213167	0.0231022	0.0296551	0.0238594	0.0357406	0.0655551	0.0773226	0.0774168	0.0833569	0.0899507	0.111815
abri	0.0397429	0.0287302	0.0168074	0.0155476	0.0147057	0.0171259	0.0260336	0.0381587	0.0439786	0.0517911	0.0444862	0.0798634	0.0619269	0.0508434	0.0750342	0.0960016	0.0865379	0.084588	0.128097
de	0.104171	0.0422724	0.0211958	0.0192688	0.0181415	0.017096	0.0242624	0.0276039	0.0311632	0.0305843	0.0322747	0.0217271	0.0262019	0.0387168	0.076246	0.098811	0.109834	0.11958	0.140849
l'	0.051394	0.0372489	0.0569019	0.0477849	0.0488742	0.0329694	0.0252892	0.0244503	0.0323773	0.0238075	0.0344463	0.0218	0.0235698	0.0458874	0.054666	0.0943826	0.0897379	0.0992128	0.1552
arbre	0.0822824	0.0587876	0.0331962	0.0248935	0.0107586	0.00836247	0.00968971	0.00770594	0.00810232	0.0126282	0.0140415	0.0210472	0.0197788	0.0325857	0.0684075	0.100876	0.118809	0.140724	0.227322
tombé	0.0554284	0.0356608	0.0318178	0.0237605	0.0170479	0.0168122	0.017045	0.0182208	0.0174529	0.0265728	0.0253666	0.0195923	0.022185	0.0421564	0.0755906	0.116967	0.125058	0.135504	0.177761
</S>	0.133557	0.101526	0.0764306	0.0491464	0.021358	0.0158104	0.0175316	0.00501785	0.00410217	0.00625842	0.00924152	0.00966417	0.0177087	0.0272931	0.0559962	0.0536132	0.103237	0.132937	0.159571
