 	k	ó	l	ó	y	e	e	t	í	m	í	b	í	s	í	á	d	z	e	e	k	a	a	m	i	</S>
le	0.0206605	0.0180049	0.0220109	0.0206228	0.0247429	0.0304333	0.0311443	0.0419049	0.0375631	0.0425657	0.056805	0.0616938	0.0766903	0.0674082	0.0529267	0.0402625	0.0593214	0.0546481	0.0379481	0.0333083	0.0340528	0.0365271	0.034445	0.0244322	0.0216014	0.018276
terrier	0.0391469	0.038805	0.0997132	0.0868315	0.0773563	0.0748535	0.0502442	0.0800076	0.0623664	0.0267222	0.0289585	0.0208134	0.0220926	0.0308428	0.0309054	0.022219	0.0226668	0.0114689	0.0172357	0.018001	0.029635	0.0372243	0.0391579	0.0233445	0.00482266	0.00456487
du	0.0392054	0.0407043	0.0301595	0.0391793	0.039627	0.0306108	0.031695	0.0642872	0.0515393	0.0538281	0.0607536	0.0501075	0.0635149	0.0443122	0.0445102	0.0167293	0.0186634	0.0658915	0.0215748	0.0427026	0.0543351	0.0401041	0.017846	0.0216398	0.0118639	0.00461533
blaireau	0.0393694	0.0383449	0.034361	0.0567288	0.0687309	0.0542304	0.0439424	0.0698982	0.0631711	0.0707502	0.0747955	0.0457131	0.0169854	0.0158706	0.00922096	0.00932102	0.0159356	0.0254774	0.0214496	0.0472976	0.0411539	0.0252308	0.0252686	0.0285377	0.0122055	0.0460094
que	0.089216	0.051179	0.0505178	0.0498175	0.0494315	0.0541749	0.0416521	0.0474432	0.0308293	0.0253535	0.0320946	0.0255228	0.0147672	0.008063	0.0115085	0.0141911	0.0275434	0.0244986	0.0199415	0.0482448	0.0547318	0.0448159	0.0436051	0.052258	0.0212225	0.0673763
nous	0.0965108	0.123637	0.107752	0.0599571	0.0283761	0.0216879	0.0273676	0.0339535	0.0332382	0.0273036	0.0402957	0.0267386	0.0238057	0.0279488	0.0276797	0.0253109	0.0130009	0.0148826	0.0168211	0.0244317	0.0275469	0.0287097	0.0311172	0.0276513	0.0161509	0.0681243
avons	0.0957055	0.077337	0.0751683	0.0965729	0.0824291	0.0651732	0.05518	0.0473846	0.0453805	0.0199499	0.0161393	0.0136677	0.0143564	0.0121583	0.0114889	0.00977169	0.00755597	0.0317697	0.0161801	0.0249818	0.0307151	0.0326039	0.0267358	0.0230798	0.0240458	0.0444689
suivi	0.213529	0.118035	0.0690102	0.0414752	0.0279912	0.0287471	0.0176766	0.0144263	0.0132124	0.0102848	0.0132657	0.0141392	0.0130382	0.00613421	0.00997773	0.0110704	0.0134071	0.0204459	0.0153888	0.0292334	0.0277235	0.0213109	0.0262851	0.0347471	0.0412134	0.148232
était	0.350712	0.198017	0.136865	0.0543696	0.0240699	0.00844395	0.00815287	0.018453	0.0178269	0.0207577	0.0372215	0.0181405	0.00472309	0.00207208	0.00194159	0.00218814	0.00244198	0.00431164	0.00240252	0.00288631	0.0035385	0.00426405	0.0124824	0.0133913	0.0144611	0.0358663
déjà	0.16947	0.139113	0.0827441	0.0396004	0.0218361	0.0147563	0.0124895	0.0140333	0.0140314	0.012975	0.0133544	0.0213197	0.020366	0.0169717	0.0206799	0.0254143	0.0313246	0.0330038	0.0230422	0.0223858	0.0259118	0.0173213	0.0248408	0.0291287	0.0467193	0.107166
abandonné	0.124971	0.102786	0.114348	0.0777917	0.0497698	0.0208313	0.0126407	0.00924347	0.0108604	0.0109221	0.00739485	0.00767236	0.00612912	0.00573046	0.00636177	0.00802013	0.0103328	0.0105695	0.0104136	0.013135	0.0158833	0.0151673	0.0336991	0.0662182	0.109373	0.139736
</S>	0.0957892	0.0854889	0.08863	0.0604692	0.0362624	0.0260242	0.0174563	0.0110817	0.0110491	0.00834098	0.00735829	0.00564233	0.00433074	0.00318135	0.00328839	0.00396219	0.00395619	0.00694929	0.0120332	0.0147221	0.0178351	0.0178526	0.0393024	0.0730986	0.106326	0.23957
