 	o	k	y	έ	s	i	n	y	a	m	a	b	ó	l	á	a	p	y	é	r	á	i	b	á	á	</S>
le	0.00776222	0.00804379	0.00767982	0.00687203	0.00735747	0.00860746	0.0164737	0.0175627	0.042451	0.0518661	0.0715842	0.0658904	0.0656044	0.0651016	0.0695147	0.0661003	0.0522864	0.0373479	0.0423885	0.0366749	0.0408779	0.0381174	0.0613081	0.040132	0.0421923	0.0302027
dépeceur	0.0562197	0.106252	0.0961722	0.0648645	0.0533025	0.0204305	0.0326858	0.0269035	0.0338816	0.0655302	0.0871842	0.0528803	0.0389717	0.045023	0.04411	0.0364611	0.0239778	0.0191381	0.0258793	0.0136729	0.0119268	0.0119992	0.00850501	0.00952337	0.00906647	0.005438
est	0.0786778	0.0507166	0.0445616	0.0469107	0.0370482	0.0304085	0.0262064	0.0245658	0.0374605	0.0362832	0.0342587	0.0306693	0.017782	0.0214599	0.0267192	0.0559028	0.0530891	0.0527414	0.0625391	0.0595071	0.058968	0.0300141	0.0260984	0.022661	0.0180943	0.0166563
en	0.0430665	0.0546158	0.0502689	0.0601024	0.0639131	0.078645	0.0234063	0.0130443	0.0134887	0.0168607	0.0178637	0.0244488	0.0239754	0.0236376	0.0214761	0.0238673	0.0455493	0.0903132	0.0777981	0.0452339	0.0474705	0.0135308	0.0174059	0.0259869	0.0344035	0.0496276
train	0.0577565	0.0390761	0.0350484	0.0237608	0.0261927	0.0262825	0.0511866	0.034784	0.0478923	0.0395045	0.0425223	0.0317305	0.0298077	0.0287512	0.0392189	0.0565084	0.0485668	0.0567872	0.0597901	0.0394882	0.0397328	0.0326836	0.0264756	0.0283672	0.0317643	0.0263207
d'	0.0327446	0.0260271	0.0143135	0.0113091	0.0101207	0.0122579	0.0147047	0.0131469	0.0224235	0.0269258	0.0259445	0.0237164	0.0188288	0.0232697	0.0251361	0.0151898	0.0149615	0.0241744	0.0317964	0.0347657	0.0327311	0.0438205	0.0543841	0.0486399	0.0757093	0.322958
aiguiser	0.0411139	0.0422232	0.0308143	0.0283396	0.0229054	0.0249164	0.0254064	0.0309755	0.0391962	0.0429631	0.0441271	0.0461352	0.0299502	0.0297727	0.023427	0.0276485	0.0475235	0.0829455	0.0589386	0.0520915	0.0541739	0.0461717	0.0409911	0.0297201	0.0244751	0.0330541
son	0.0543096	0.0523485	0.0504929	0.0419943	0.0441035	0.0330316	0.0292047	0.0344105	0.0466464	0.0367309	0.0425063	0.0374341	0.0229204	0.0263211	0.0227085	0.0245546	0.0297935	0.0290647	0.0366263	0.0267581	0.0191484	0.0278022	0.0268617	0.0303779	0.0426326	0.131217
couteau	0.0723079	0.0788914	0.0766414	0.0475579	0.0306108	0.0184603	0.0161717	0.019206	0.0186814	0.0175504	0.0175837	0.0177252	0.0188874	0.0166501	0.0158207	0.0131333	0.019433	0.0159974	0.0191527	0.0160915	0.00948781	0.0403084	0.0285761	0.0460145	0.10889	0.200169
</S>	0.173817	0.102894	0.0600876	0.0513875	0.0399735	0.0288699	0.0177841	0.0236225	0.0228678	0.0167945	0.0157995	0.0217503	0.0151297	0.0179319	0.0248253	0.0224381	0.020191	0.0156069	0.0222394	0.024131	0.0195744	0.0229253	0.0173329	0.0249627	0.0291995	0.147864
