 	m	w	á	n	a	y	é	a	w	á	b	á	l	á	a	y	é	á	i	t	á	n	g	a	l	ώ	k	ω	n	y	i	</S>
cet	0.0103966	0.0106045	0.0134077	0.00989639	0.0170037	0.0171268	0.0153429	0.0114495	0.0223386	0.0244774	0.0242109	0.0330195	0.0403727	0.0541714	0.0370311	0.0270253	0.0532858	0.0387899	0.0413057	0.0555311	0.0391226	0.0461589	0.046018	0.041889	0.0386965	0.0419064	0.0331194	0.0419577	0.0418198	0.027474	0.0220262	0.0230238
enfant	0.0361632	0.0863606	0.0575499	0.132701	0.116489	0.0630662	0.116061	0.0876488	0.0565723	0.0245048	0.0310602	0.0237537	0.0139276	0.0234193	0.00889329	0.00607242	0.0107453	0.0119892	0.0128961	0.015076	0.0136403	0.00910777	0.00244845	0.00298885	0.00361646	0.00313817	0.00750568	0.00821906	0.00543431	0.00544995	0.00268988	0.000811515
est	0.013221	0.0195522	0.0157756	0.0104756	0.0218333	0.0317462	0.0414882	0.0490309	0.157402	0.0417811	0.0245295	0.116082	0.0644486	0.0334463	0.0650825	0.0457411	0.0271001	0.0495186	0.0228406	0.0252839	0.0147667	0.0195732	0.00928676	0.0110152	0.0146616	0.007163	0.0127011	0.0101068	0.007747	0.00683705	0.00621405	0.00354883
en	0.0129801	0.0122296	0.0097129	0.0127895	0.0151771	0.0153153	0.0251827	0.0245775	0.0772764	0.0529092	0.0272399	0.0554449	0.0305333	0.0350083	0.0363351	0.0308445	0.0459328	0.0328724	0.0430673	0.0540104	0.0450731	0.0323499	0.0307494	0.0265553	0.0208319	0.024134	0.023954	0.0263333	0.0250887	0.0247819	0.033362	0.0373472
train	0.025889	0.0365613	0.0400162	0.0447845	0.0245633	0.0192531	0.023779	0.0317865	0.035923	0.0248876	0.0249438	0.0232625	0.0185995	0.0261461	0.0240191	0.0417917	0.0422828	0.0355015	0.0313007	0.0297215	0.0308742	0.0324487	0.0282541	0.0318296	0.0339251	0.0290866	0.0339543	0.0348961	0.0336699	0.0334676	0.0314878	0.0410934
d'	0.0914987	0.0979271	0.0449403	0.0281375	0.0261811	0.0197696	0.0245785	0.0181658	0.0180705	0.0049284	0.00968609	0.0141908	0.0226261	0.022675	0.0222549	0.0336635	0.0276043	0.024143	0.0389883	0.0222818	0.0249778	0.0232783	0.0322396	0.0197996	0.0279987	0.0287054	0.0253972	0.0235651	0.0289019	0.0219245	0.0359876	0.0949129
apprendre	0.0707745	0.0264418	0.016984	0.019457	0.0223095	0.0351911	0.03016	0.04123	0.0289638	0.0384024	0.0586448	0.0418107	0.0356295	0.0366355	0.0300839	0.0256093	0.0207864	0.0174549	0.019271	0.0258669	0.0353996	0.0311107	0.0264633	0.0148656	0.0195157	0.018722	0.0285092	0.0341141	0.0347703	0.0303069	0.0295328	0.0549827
à	0.0823668	0.0399746	0.031602	0.0351007	0.0241553	0.0273203	0.0281549	0.0296219	0.0268992	0.0255184	0.0329982	0.0408485	0.0329999	0.0533335	0.0339588	0.0313583	0.035684	0.0256541	0.0306825	0.0204823	0.0232675	0.0220985	0.0305689	0.0228971	0.017459	0.0221891	0.0169948	0.0231076	0.0283393	0.0247803	0.0173311	0.0622527
fabriquer	0.0854676	0.0355622	0.0249233	0.029094	0.0245812	0.0257062	0.0238487	0.018455	0.0118013	0.00890656	0.0113656	0.0140748	0.0119369	0.0230546	0.017674	0.0349238	0.0354219	0.0238284	0.0227282	0.00970813	0.0241548	0.0288003	0.0375933	0.0336736	0.036644	0.0359716	0.0317085	0.0344311	0.0513168	0.0564823	0.0348825	0.101279
la	0.0432182	0.0254416	0.0213324	0.022198	0.0197305	0.0190931	0.0155795	0.0138576	0.0139462	0.00829301	0.00824678	0.0130171	0.0107872	0.0176678	0.0146943	0.019893	0.0195057	0.016499	0.0179944	0.0165971	0.0305671	0.0276441	0.0440299	0.0418682	0.0351299	0.0570407	0.0538378	0.0654516	0.0468344	0.0786511	0.0486667	0.112686
nasse	0.0234713	0.0141837	0.0123483	0.0127236	0.0095334	0.0113197	0.0173537	0.019339	0.0245169	0.0160272	0.0152976	0.024576	0.0174888	0.0158553	0.0149197	0.0229341	0.0331054	0.0345713	0.0335781	0.0312272	0.039286	0.0322668	0.0412361	0.0408773	0.0365071	0.0403511	0.0505092	0.0476749	0.037908	0.0577263	0.0778267	0.0934603
</S>	0.112783	0.0755489	0.045373	0.0395846	0.0311007	0.0373403	0.0397521	0.0374607	0.0358605	0.0077766	0.0056272	0.00645847	0.00599328	0.00435435	0.00431581	0.0105194	0.0190102	0.0134199	0.0250009	0.021562	0.0259354	0.0342611	0.0463312	0.0334423	0.0262672	0.04112	0.0287559	0.0310357	0.0418492	0.0327082	0.0256344	0.0538172
