 	e	f	ú	n	g	ú	l	ú	y	á	n	g	u	ú	n	g	u	ú	y	é	e	p	έ	n	g	á	b	ώ	m	ώ	</S>
la	0.00727731	0.00930341	0.010799	0.0139598	0.00922931	0.00792999	0.0061706	0.00989257	0.017324	0.0294256	0.053284	0.0667289	0.0575973	0.0513215	0.0642503	0.0565762	0.0535442	0.048463	0.0458015	0.0423559	0.0324216	0.0271846	0.0253436	0.0312148	0.0272834	0.0287268	0.0330763	0.0322886	0.0286142	0.0344936	0.038118
manière	0.111628	0.0649686	0.108611	0.0626675	0.0118602	0.019531	0.0125094	0.026426	0.0225709	0.0280737	0.102746	0.0953492	0.0599272	0.0790474	0.0463915	0.0216238	0.0267492	0.0162648	0.00730217	0.0119884	0.0095381	0.00512215	0.0098778	0.00447435	0.00730292	0.00809278	0.00637545	0.00585471	0.00395016	0.00196601	0.00120963
de	0.127756	0.0564502	0.0435655	0.0358096	0.0343218	0.0410865	0.0319797	0.0265745	0.0166545	0.0192184	0.0219054	0.0224212	0.0336525	0.0567172	0.0491762	0.0560415	0.0641755	0.0385424	0.039181	0.0244256	0.0181519	0.0210907	0.0171168	0.0155465	0.0126856	0.0149434	0.0139481	0.0105918	0.011508	0.0103414	0.0144208
rugir	0.0965281	0.0815087	0.0650826	0.0372134	0.0328519	0.0353587	0.0358681	0.0337072	0.0333038	0.0331841	0.0277569	0.0295075	0.035489	0.0380741	0.0386728	0.0720401	0.0572406	0.0295749	0.0439561	0.0172674	0.0108531	0.0120152	0.0123234	0.00619594	0.00758735	0.00675207	0.00454829	0.00736105	0.00792999	0.0119726	0.0382753
du	0.0584883	0.0783009	0.0733518	0.0534593	0.0558344	0.0395479	0.0186825	0.0137177	0.0124981	0.0224651	0.0181878	0.0162092	0.0122049	0.0143727	0.0127973	0.0273902	0.0352855	0.0430423	0.0372798	0.0185436	0.0214707	0.0270777	0.0214763	0.027744	0.0213699	0.0191348	0.0180897	0.0207434	0.0209513	0.0312153	0.109068
lion	0.0352749	0.036965	0.0349322	0.0354483	0.0342653	0.0449041	0.0506646	0.0456179	0.0221987	0.0263009	0.027136	0.0112573	0.00935679	0.0136144	0.0169859	0.028496	0.0358538	0.0367395	0.0359988	0.0311783	0.0332919	0.0329867	0.044424	0.0301373	0.0288104	0.0274232	0.0336686	0.0304054	0.027073	0.0351734	0.0634174
me	0.0307247	0.0436426	0.0417458	0.0343901	0.030457	0.038131	0.0396423	0.0314286	0.0427051	0.0595494	0.0516453	0.0246161	0.0145088	0.010471	0.0118635	0.0206108	0.0292409	0.0225537	0.0333264	0.0121235	0.0190605	0.0269746	0.0320477	0.0244977	0.0213088	0.024919	0.0220405	0.0299159	0.0254509	0.0515711	0.0988368
fait	0.048335	0.0436902	0.0310291	0.0201465	0.016814	0.0199569	0.00820025	0.0070142	0.00551629	0.0124616	0.0137726	0.00917978	0.00655437	0.0089668	0.017663	0.0444382	0.0546475	0.0505189	0.057503	0.0357815	0.039131	0.0482274	0.041528	0.0556911	0.029796	0.0366771	0.0328209	0.0347135	0.0403749	0.0535629	0.0752875
peur	0.0716001	0.058344	0.0344568	0.0244546	0.0176729	0.0207985	0.00705168	0.00664222	0.00714228	0.0116401	0.0113804	0.00872358	0.00614639	0.00769365	0.0124631	0.0355326	0.0367839	0.0458935	0.0484798	0.0419472	0.038836	0.0468026	0.035046	0.0433102	0.0323826	0.0357172	0.038527	0.0398099	0.049454	0.0520003	0.073267
</S>	0.0685452	0.049067	0.0444796	0.0143664	0.0130572	0.0119141	0.00675555	0.00783893	0.00633279	0.0165706	0.0215726	0.00744645	0.00840298	0.0106111	0.0128282	0.0228017	0.0317149	0.0332056	0.0357097	0.0273897	0.0314719	0.0353774	0.038742	0.0379362	0.0222121	0.0313456	0.0365503	0.0516428	0.0525122	0.0602018	0.151397
