 	n	g	ó	o	y	a	b	í	s	í	á	k	ú	m	b	u	s	u	n	d	z	ú	n	g	u	é	s	í	í	w	a	o	s	o	s	á	y	í	a	</S>
notre	0.0376199	0.0415798	0.00950578	0.00419015	0.00283845	0.00228775	0.00286979	0.0114159	0.0162659	0.0350727	0.0466971	0.0842871	0.084282	0.0610214	0.0422971	0.0549379	0.0328749	0.0312622	0.0294626	0.0215265	0.020842	0.0166409	0.0149118	0.0241422	0.0169497	0.0152544	0.0168834	0.0173891	0.0109743	0.012517	0.0111252	0.0155305	0.0158892	0.0137888	0.0155513	0.0257935	0.0220005	0.0252334	0.0191147	0.0171734
maman	0.0317439	0.0977291	0.31116	0.33537	0.0830572	0.0525287	0.0151275	0.0127202	0.0071758	0.00274	0.0021315	0.00305415	0.00391011	0.000858654	0.000502177	0.000415321	0.000270921	0.000236529	0.000274765	0.000386693	0.00036326	0.000976116	0.00165389	0.00359915	0.00404455	0.00296339	0.00366219	0.00724798	0.00269565	0.00120058	0.00182524	0.00198735	0.00200856	0.00170353	0.00104071	0.000472101	0.000432869	0.000230816	0.000383379	0.000116088
a	0.0441785	0.032782	0.0286307	0.0230812	0.0245737	0.0328443	0.048068	0.0824167	0.0710681	0.0478305	0.0469917	0.0495434	0.0338735	0.0334128	0.0318906	0.0179272	0.0113094	0.0127156	0.0201089	0.0209791	0.0262413	0.0227817	0.0171926	0.0226816	0.0163694	0.0143211	0.0140387	0.0160739	0.0118923	0.00692261	0.0091389	0.0124409	0.0158073	0.015407	0.0134308	0.0140732	0.00937208	0.00910394	0.0140136	0.00447129
renversé	0.0331349	0.0203575	0.04986	0.0485849	0.0311381	0.0171328	0.0153486	0.0167007	0.0128803	0.0146167	0.0152638	0.0121584	0.023273	0.0218839	0.0252041	0.0294536	0.030869	0.0232215	0.0231478	0.0342482	0.0293805	0.0180353	0.0249571	0.0358037	0.0240831	0.0219672	0.0148274	0.00964873	0.0133651	0.0238694	0.0189633	0.0209354	0.0209275	0.0253061	0.0211199	0.0295198	0.0333737	0.0287156	0.0406631	0.0460602
la	0.0237799	0.00974369	0.0106405	0.0102098	0.0124712	0.0147812	0.0203802	0.0172758	0.0179302	0.0152716	0.0158359	0.0170764	0.0159059	0.0184613	0.0184428	0.0118108	0.0172284	0.0189235	0.0104618	0.0172289	0.0258603	0.0262623	0.0403393	0.0561725	0.0535467	0.0716998	0.0903108	0.0384616	0.0270272	0.0189377	0.0206983	0.0178457	0.0197396	0.0186291	0.01727	0.0170102	0.0217179	0.01904	0.0287998	0.0567715
marmite	0.018704	0.0100059	0.00835085	0.00915178	0.0116436	0.0102719	0.0103997	0.00952861	0.0107584	0.00651634	0.00622046	0.00593494	0.00965827	0.0112823	0.0163348	0.0254927	0.0289788	0.0235363	0.016696	0.0280227	0.0218892	0.02433	0.0429992	0.0508451	0.0489901	0.0490859	0.0501405	0.0409451	0.0405105	0.0223411	0.0273171	0.0343815	0.0333296	0.0407424	0.0372037	0.0259458	0.0320752	0.0305394	0.0307034	0.0381967
après	0.0226754	0.0124579	0.0103018	0.0104327	0.0104105	0.00878302	0.00945338	0.00912255	0.0106344	0.00946575	0.010484	0.0102196	0.0182154	0.015153	0.0154589	0.0215757	0.0254862	0.0249586	0.0213194	0.0300609	0.0309934	0.0239312	0.0383867	0.0436317	0.0418259	0.0426683	0.0343294	0.0241236	0.0336734	0.035322	0.0290209	0.0360965	0.0305679	0.0341103	0.0352447	0.0291863	0.0373127	0.0300007	0.0382515	0.0446537
l'	0.016867	0.00888427	0.0117561	0.0140672	0.0194669	0.0202635	0.0162461	0.0136699	0.0121068	0.00982113	0.00992714	0.00984489	0.0135217	0.0105525	0.012527	0.0166496	0.0192068	0.0246157	0.0130761	0.0298093	0.0480445	0.0492601	0.0605665	0.0494318	0.0493245	0.0616942	0.0356596	0.0173151	0.0149137	0.0219573	0.0176632	0.0196805	0.0194547	0.0193189	0.0259382	0.0279175	0.0293029	0.0380485	0.0344174	0.0572112
avoir	0.023379	0.0126836	0.0118832	0.0110195	0.0109216	0.00604028	0.00543315	0.0046271	0.00439086	0.00324788	0.00305265	0.00314498	0.00337955	0.00543534	0.00774089	0.0151766	0.0229041	0.025423	0.020236	0.0317679	0.0374863	0.0527133	0.0476214	0.0407413	0.0539401	0.0655809	0.0344492	0.0208208	0.0134985	0.0242781	0.0101899	0.0291868	0.0244704	0.034802	0.0467128	0.0234149	0.0379483	0.0234329	0.0473683	0.0994565
lavée	0.0339673	0.0172426	0.0149059	0.0132668	0.0167561	0.0185196	0.019423	0.0160963	0.0144264	0.0109353	0.00784361	0.00469991	0.0050422	0.0062577	0.00893074	0.0107507	0.0168578	0.0125426	0.00934799	0.023386	0.0343972	0.0481103	0.054296	0.0448894	0.0566795	0.0562363	0.042905	0.0264104	0.0234966	0.0219663	0.0178813	0.0262541	0.0227118	0.0224315	0.0267955	0.018605	0.0271101	0.0185269	0.0316264	0.0974719
</S>	0.0407972	0.0277069	0.0255273	0.0247036	0.0167724	0.00776685	0.00678101	0.006596	0.00748059	0.00640295	0.00754214	0.00696396	0.00470839	0.00728397	0.00731673	0.00891603	0.0116961	0.00711467	0.00659923	0.0100992	0.0125205	0.0169736	0.0241406	0.0234268	0.0323232	0.0407175	0.0283197	0.0205905	0.014465	0.0333277	0.0293686	0.0383065	0.0421266	0.0402049	0.0462047	0.0463224	0.0561945	0.0538706	0.0600361	0.0917848
