 	m	ó	l	a	a	l	á	i	t	ω	ώ	b	a	á	o	k	ω	n	í	ó	d	z	e	e	m	a	b	ω	</S>
déballe	0.00577906	0.00717783	0.00887881	0.00796913	0.00519833	0.00732335	0.0242133	0.0512223	0.0608227	0.12599	0.147383	0.0670586	0.0846229	0.0918685	0.0401585	0.0345759	0.0288346	0.0263288	0.0151788	0.0183955	0.016344	0.0138145	0.0131054	0.0148094	0.0132418	0.0151161	0.0153022	0.0128723	0.0264145
la	0.0722653	0.0365666	0.0898597	0.05942	0.0910385	0.0427099	0.0703554	0.0543977	0.0346368	0.0380432	0.0824265	0.0535953	0.0606046	0.0653388	0.0424347	0.00785211	0.00711293	0.00637554	0.00907203	0.00774826	0.00808914	0.00792636	0.00746346	0.00867921	0.00948155	0.00781659	0.00729308	0.00589204	0.00550477
natte	0.13371	0.0918997	0.0598108	0.0641347	0.0260962	0.0371538	0.0352128	0.0357181	0.0225289	0.0179904	0.0181692	0.0124194	0.0128494	0.0139983	0.0221282	0.0302161	0.0290275	0.0256738	0.0230662	0.0241219	0.0249271	0.0276708	0.025585	0.0275066	0.0266058	0.0289994	0.027452	0.0251478	0.0501802
pour	0.103922	0.0562373	0.0516406	0.0532116	0.0246993	0.0197435	0.0197747	0.0179076	0.0174306	0.0168878	0.0179292	0.010172	0.0122838	0.0190035	0.0284835	0.0355335	0.0474006	0.052479	0.0457195	0.0441349	0.0317562	0.0382201	0.0280912	0.0247171	0.0233121	0.0263066	0.0290661	0.0496616	0.0542741
que	0.0318896	0.0207824	0.0112931	0.0118206	0.0163188	0.0156495	0.0142161	0.0113524	0.00982318	0.00719998	0.00674436	0.00611613	0.00806419	0.0123265	0.0204685	0.0297315	0.0399864	0.0515433	0.0531338	0.0515717	0.0406044	0.0539983	0.0691466	0.0600361	0.0703014	0.0720713	0.0678915	0.052379	0.0835392
le	0.02848	0.0143061	0.0188004	0.0140993	0.0154107	0.0133044	0.0129373	0.0162479	0.0141358	0.0100173	0.0092105	0.0155363	0.0187146	0.0206262	0.0426436	0.0469471	0.0628144	0.068734	0.0643476	0.0530697	0.0367952	0.050066	0.0493076	0.0452058	0.0491296	0.0409952	0.042678	0.0501864	0.075253
malade	0.0467643	0.0253062	0.0285136	0.0164387	0.0112446	0.0108778	0.0144504	0.0184843	0.0172603	0.0134403	0.0131216	0.0234522	0.0280318	0.0242635	0.0193713	0.0167286	0.0224245	0.0332591	0.046679	0.0532805	0.0664794	0.0423782	0.0514821	0.0524715	0.0535748	0.0412404	0.0453681	0.0599971	0.103615
puisse	0.0585723	0.0376069	0.030862	0.0279615	0.0229715	0.0195359	0.0176431	0.0209729	0.0115779	0.0105864	0.00917406	0.0198375	0.033651	0.0323781	0.0333248	0.0411231	0.0383638	0.0136562	0.0465366	0.0462671	0.0430565	0.0348417	0.0507436	0.0541099	0.0441602	0.0199714	0.0299506	0.0318404	0.118723
se	0.12816	0.0426103	0.0272382	0.0173227	0.0117857	0.00892413	0.00991961	0.0099917	0.0110823	0.0117168	0.0123368	0.0130065	0.0175987	0.0310136	0.0378507	0.0254983	0.0269964	0.0104013	0.054963	0.0462842	0.0789049	0.0319532	0.0415669	0.0560448	0.0508827	0.0229179	0.0332026	0.0415095	0.0883169
coucher	0.0440644	0.0190774	0.0152445	0.010533	0.00713612	0.00509863	0.00671251	0.00621586	0.00737836	0.00841174	0.0148307	0.0100963	0.0094561	0.015019	0.017642	0.0111943	0.0184666	0.0139643	0.0682851	0.0652636	0.0777401	0.0488152	0.0597556	0.0670638	0.0555345	0.0366251	0.0567788	0.0864492	0.137147
</S>	0.103236	0.0540631	0.0314736	0.0183171	0.0135089	0.0184898	0.0242327	0.0170914	0.0121229	0.0115779	0.0126165	0.0146963	0.0126629	0.0116598	0.0218758	0.0131004	0.0180563	0.0165235	0.0188952	0.0231971	0.0238231	0.0233659	0.0450924	0.0405826	0.0408922	0.049501	0.0565364	0.0908803	0.161929
