 	b	á	n	a	b	á	y	ú	r	u	b	á	á	d	í	l	o	t	ω	ω	</S>
il	0.0147287	0.0310202	0.0920007	0.0532683	0.0371659	0.0565958	0.0340429	0.0479075	0.0536232	0.0651036	0.0446274	0.0432571	0.0638277	0.0772027	0.107215	0.0637077	0.0311084	0.0259035	0.0198268	0.0194897	0.0183775
y	0.174849	0.113801	0.089222	0.0583589	0.0400459	0.0375321	0.0342736	0.0226086	0.0166456	0.0153714	0.0111005	0.0102559	0.0193128	0.0314605	0.05285	0.0479697	0.050595	0.0479275	0.0439457	0.0269365	0.0549376
a	0.146912	0.0634974	0.0347011	0.0338504	0.0244479	0.0295385	0.0373841	0.0447034	0.0606762	0.0624646	0.0651882	0.0598127	0.0455293	0.0385647	0.036241	0.0240376	0.0343466	0.0291289	0.0356734	0.0409122	0.0523899
une	0.0657585	0.0402276	0.0315559	0.0304488	0.0330045	0.0194418	0.034531	0.0228153	0.0245017	0.0140474	0.0375891	0.0342581	0.0408198	0.0750927	0.0748769	0.0396523	0.0591411	0.0854359	0.064634	0.0674935	0.104674
querelle	0.0844728	0.0569896	0.0322305	0.0364783	0.0433616	0.0585865	0.0567856	0.0452071	0.0507112	0.0650461	0.0529053	0.0340261	0.033988	0.0341582	0.029294	0.0363555	0.0443389	0.0506336	0.0503808	0.0458702	0.0581801
entre	0.060956	0.032802	0.0255542	0.0344878	0.0357298	0.0395214	0.0406391	0.0435259	0.048316	0.0436869	0.0446445	0.0271908	0.0213722	0.0386435	0.0364592	0.0334779	0.0553464	0.061894	0.06098	0.0788588	0.135914
ces	0.0450849	0.0286344	0.0241059	0.0253564	0.0299956	0.0350057	0.0317107	0.0241339	0.0300756	0.0280196	0.0292847	0.0286191	0.0194257	0.0333329	0.0407735	0.0519934	0.070402	0.0890222	0.0906093	0.0808624	0.163552
jeunes	0.0607586	0.0544085	0.0444811	0.0453358	0.0349762	0.0287245	0.0254709	0.0179812	0.0163218	0.0167467	0.0197584	0.0290448	0.0140536	0.021159	0.0290096	0.044918	0.0868595	0.101931	0.0972901	0.0861948	0.124576
filles	0.161509	0.101446	0.0486215	0.0460807	0.0272004	0.0189177	0.0200445	0.0154995	0.0148361	0.0166542	0.0231819	0.0349616	0.0227746	0.0254432	0.030622	0.0369816	0.078329	0.0730274	0.0689399	0.0482562	0.0866734
</S>	0.159286	0.0926095	0.0729835	0.0718859	0.0474954	0.0336709	0.0297724	0.0177829	0.0209876	0.0112485	0.0172402	0.016031	0.00936959	0.0137287	0.0165185	0.023037	0.0488094	0.060707	0.0681194	0.0709056	0.0978108
