 	e	p	a	a	y	í	b	v	ú	a	é	d	í	l	a	t	a	n	d	e	</S>
l'	0.0298044	0.033978	0.0355112	0.0374099	0.0279026	0.0308696	0.0319238	0.0269669	0.0282214	0.0333746	0.0325726	0.0511303	0.0406224	0.088424	0.0882041	0.0827043	0.0746739	0.0598406	0.0468829	0.0503594	0.068623
écorce	0.0208325	0.018543	0.0266163	0.064574	0.0771658	0.155824	0.231166	0.211697	0.0575787	0.0279293	0.0134826	0.00927661	0.0152673	0.0176348	0.0129477	0.0141373	0.0110167	0.0048203	0.00503035	0.00192341	0.00253676
de	0.114197	0.100516	0.0777904	0.0789627	0.0407747	0.034838	0.0201124	0.00983312	0.0104321	0.0108546	0.0241516	0.0319334	0.041923	0.0419994	0.0473005	0.0501506	0.04467	0.058865	0.0651926	0.0681173	0.0273859
l'	0.0515802	0.0935217	0.0666736	0.0821935	0.0496021	0.0378123	0.0216068	0.0393977	0.0399219	0.0818327	0.0345776	0.0435936	0.077466	0.0456068	0.0303007	0.0329601	0.0205718	0.0174148	0.0254922	0.0366912	0.0711828
arbre	0.0467643	0.035323	0.0406142	0.0694408	0.0699956	0.0592525	0.0518465	0.0565606	0.0580006	0.0653377	0.0591813	0.0359771	0.026966	0.0435688	0.0350975	0.0532525	0.0297756	0.0326014	0.0280501	0.0320048	0.0703889
contient	0.0581117	0.0607498	0.058685	0.0504322	0.0393511	0.0397318	0.0349133	0.0344603	0.0277889	0.0303494	0.0173888	0.0294082	0.0293348	0.046063	0.0313957	0.0493647	0.0304833	0.0338734	0.042896	0.0712804	0.183938
de	0.0760468	0.0750932	0.0914163	0.0531256	0.0312963	0.0219834	0.0177418	0.00915836	0.00626613	0.00406828	0.00586371	0.0134245	0.0196094	0.0293418	0.027595	0.04091	0.0471169	0.0660455	0.0916192	0.0877518	0.184526
la	0.0313705	0.0307104	0.0305073	0.0220495	0.0147975	0.0135668	0.0102845	0.00850039	0.00363182	0.00252486	0.00241328	0.00444223	0.0129336	0.0304449	0.0543741	0.0706923	0.107783	0.109677	0.127782	0.142828	0.168686
sève	0.04672	0.0338628	0.0277927	0.0226248	0.0202828	0.0285688	0.0201058	0.0188213	0.00654424	0.00350277	0.00321876	0.00513102	0.012802	0.0173189	0.0180842	0.0452218	0.0407458	0.0743881	0.147256	0.153622	0.253386
</S>	0.074681	0.0456225	0.0477224	0.0242833	0.0238181	0.0320767	0.0256023	0.0264012	0.0165439	0.0161498	0.0121446	0.0147988	0.0205922	0.0303059	0.0307054	0.0426685	0.035831	0.0669617	0.0992591	0.115347	0.198485
