 	b	e	a	t	s	á	á	n	y	i	l	á	a	b	h	í	n	y	á	a	b	έ	ε	o	b	o	s	ó	b	í	p	έ	ε	l	á	m	w	á	n	a	</S>
beatsanyi	0.0227308	0.00777308	0.00923547	0.0107033	0.0149166	0.0383326	0.0208778	0.0211	0.0399981	0.0419723	0.0356365	0.0526419	0.0476016	0.0561193	0.0633805	0.0422119	0.0354138	0.0489138	0.0372904	0.035686	0.0299845	0.0117656	0.0150761	0.00693995	0.00912264	0.00687786	0.00826424	0.00869607	0.008749	0.00867198	0.00833769	0.0109923	0.0178529	0.0186793	0.0193699	0.0228406	0.0177637	0.0272073	0.0279721	0.0191067	0.0131937
presse	0.0238927	0.065198	0.0558716	0.0589518	0.0451217	0.0391259	0.0324337	0.0231861	0.012152	0.0134131	0.0116885	0.0157901	0.00613415	0.0051	0.00369614	0.00630954	0.0117658	0.0142837	0.0172124	0.0172016	0.017844	0.0281089	0.0230056	0.0178128	0.0256188	0.016485	0.0276493	0.027428	0.0525041	0.0547013	0.0437436	0.0338625	0.0214081	0.0218507	0.022624	0.0133656	0.0143407	0.0230171	0.0155245	0.0120623	0.00851464
les	0.10488	0.103582	0.0286296	0.0205046	0.0116381	0.0312153	0.0287169	0.0349295	0.0256516	0.0398563	0.0369286	0.027986	0.0183183	0.0306335	0.0300113	0.0260586	0.020048	0.0151375	0.0150209	0.0172495	0.0220902	0.0341484	0.0321969	0.0265546	0.0396771	0.0144191	0.0108652	0.0110257	0.0138006	0.0130291	0.0108394	0.0146686	0.0184609	0.0121113	0.00692899	0.0180547	0.0105372	0.00907212	0.00787288	0.00368049	0.00297101
mamelles	0.0197037	0.0321668	0.0292608	0.0310279	0.0217534	0.0225871	0.020074	0.0195771	0.0210199	0.0239051	0.0196396	0.0277466	0.0175451	0.0186886	0.0143863	0.0163966	0.01947	0.0217892	0.0309016	0.0428855	0.0349213	0.0702634	0.0581477	0.0401886	0.0446887	0.0428878	0.0372786	0.0258516	0.0324733	0.0324176	0.0203657	0.0163635	0.0139811	0.0129474	0.00842243	0.00914002	0.00496221	0.00353118	0.00373175	0.0065327	0.0103783
avant	0.0500361	0.0457482	0.0343512	0.0255981	0.0163583	0.0144394	0.0198647	0.0237567	0.0237707	0.0275418	0.0258747	0.0349737	0.0309573	0.0269264	0.0220481	0.0216744	0.0170932	0.0190632	0.0221042	0.0343695	0.0313413	0.0284017	0.0487983	0.029153	0.0239788	0.0323725	0.0254405	0.0252762	0.0154385	0.0238084	0.0197704	0.0134668	0.0178575	0.0268992	0.0219681	0.0208909	0.00745525	0.00389814	0.00889777	0.00997102	0.0283659
de	0.0141573	0.017802	0.0150285	0.0217199	0.017622	0.0284693	0.0261639	0.0312149	0.0551015	0.0445034	0.0364229	0.034361	0.0359758	0.0288263	0.023644	0.0176619	0.0112714	0.0133125	0.012559	0.0180593	0.0122169	0.0154559	0.0140715	0.0122601	0.0222368	0.0148143	0.0318694	0.0270453	0.0336596	0.0272316	0.026949	0.0220502	0.0270657	0.0242817	0.0293965	0.0382041	0.027158	0.0206264	0.0208165	0.0169929	0.0317208
faire	0.028533	0.0245642	0.0223609	0.0223776	0.0206135	0.0216786	0.0211809	0.0166804	0.0115045	0.0120913	0.0106912	0.0112533	0.0106674	0.0103132	0.0103617	0.0106721	0.0104321	0.0111728	0.0118698	0.0141138	0.0159133	0.0192297	0.027518	0.0246733	0.0323764	0.038286	0.0404967	0.0381542	0.0415719	0.0351652	0.0353342	0.0294832	0.0274956	0.0303626	0.0352869	0.0325477	0.0306081	0.0316306	0.030064	0.0396676	0.0510025
têter	0.026046	0.0251517	0.0185667	0.021631	0.016706	0.0169879	0.0138277	0.00863284	0.00955581	0.0109495	0.00861706	0.0106149	0.0104024	0.00946014	0.00983364	0.00954895	0.00967345	0.00763308	0.00832235	0.0111419	0.0103315	0.0140023	0.0155928	0.0192105	0.0297981	0.0288619	0.0465561	0.0483613	0.0549942	0.0389992	0.0450409	0.0335493	0.0374794	0.0397604	0.0434053	0.038473	0.037107	0.0343377	0.0365869	0.0398292	0.04442
l'	0.0224859	0.0242229	0.0150978	0.0124299	0.00925724	0.0107693	0.0103483	0.0101135	0.00886983	0.00915774	0.00638479	0.00885341	0.00813224	0.00601308	0.00613919	0.0068429	0.00599871	0.00500638	0.00430799	0.00600782	0.0118138	0.0145413	0.0308464	0.039413	0.0386852	0.0494173	0.0419083	0.0411192	0.0445932	0.0425545	0.0456887	0.0451325	0.043686	0.0448221	0.0453397	0.0322157	0.0263791	0.0236599	0.0267804	0.0372	0.0777648
enfant	0.0271824	0.025585	0.020337	0.016021	0.00955457	0.00646469	0.00475045	0.00497474	0.00600032	0.00568876	0.00474678	0.00556375	0.00528292	0.00449153	0.00422462	0.00344031	0.00427089	0.00442149	0.00481183	0.00601748	0.0081589	0.014066	0.0156637	0.0184751	0.0172469	0.0250187	0.0233827	0.0268092	0.0275257	0.0248465	0.0260691	0.033359	0.0348463	0.0448971	0.0504388	0.0457362	0.0434067	0.0374265	0.0661369	0.095215	0.147444
</S>	0.0444805	0.0373315	0.032072	0.0251251	0.0173025	0.0155836	0.0147634	0.0113518	0.00675327	0.00772294	0.00617569	0.00381921	0.00350168	0.00325714	0.00363998	0.00346632	0.0039532	0.00484454	0.00441638	0.00620102	0.00946803	0.0130922	0.0292532	0.0218533	0.0217497	0.0304587	0.0199097	0.0205447	0.0181929	0.025987	0.0252716	0.0286452	0.0264958	0.0426983	0.0513993	0.0282886	0.0453178	0.0462055	0.0478353	0.0705556	0.121016
