 	m	á	m	a	r	é	m	á	i	b	o	ó	b	v	ú	a	m	á	m	á	i	f	ú	n	d	ú	b	v	ú	a	</S>
ceux-ci	0.0117847	0.0232364	0.0134347	0.0142744	0.010343	0.0133242	0.0192432	0.042789	0.048658	0.11006	0.0388646	0.0726565	0.046553	0.0368078	0.0232347	0.0227736	0.0212425	0.0255373	0.0294818	0.0451639	0.0285021	0.0285681	0.0283022	0.0290582	0.025095	0.025208	0.0358276	0.0346389	0.0356812	0.0284102	0.0312454
sont	0.064525	0.0470503	0.03002	0.0273785	0.0214081	0.0211382	0.0254174	0.0386946	0.0464009	0.0626823	0.103712	0.0860118	0.084611	0.0473234	0.0558393	0.0218143	0.0237642	0.0115871	0.0196022	0.0354355	0.02692	0.0168349	0.00950186	0.01336	0.00895259	0.0105304	0.00796816	0.00549374	0.00635063	0.0125747	0.00709711
des	0.134907	0.0802175	0.0829342	0.0753703	0.10429	0.0858256	0.061282	0.0641405	0.0397337	0.0373558	0.0170412	0.0106917	0.00682025	0.0104181	0.0120495	0.00665929	0.00598267	0.00513935	0.00665784	0.0075231	0.011423	0.0130091	0.0124027	0.0122194	0.00776837	0.00699083	0.0105166	0.00939648	0.00696627	0.0116253	0.0426422
médicaments	0.0498045	0.0483831	0.05185	0.0665698	0.0784112	0.0652129	0.025802	0.011041	0.0108777	0.0204564	0.0144439	0.0230648	0.0292645	0.0283768	0.0278108	0.0212592	0.0136818	0.0147975	0.0151351	0.0150718	0.0117581	0.0183814	0.0200496	0.0253028	0.0240041	0.0308987	0.0419132	0.0374869	0.0329496	0.0498345	0.0761065
contre	0.0332582	0.0232298	0.0176731	0.0177296	0.0184241	0.0245776	0.029929	0.0359742	0.0241082	0.0199006	0.0212282	0.0226294	0.0274505	0.0385705	0.035348	0.0260609	0.0324397	0.0435478	0.0415677	0.048097	0.0490444	0.048991	0.0410831	0.0391416	0.0263492	0.0222256	0.0187414	0.0180225	0.0323901	0.0322163	0.0900509
les	0.0261862	0.0353654	0.0358431	0.0394095	0.0389845	0.0392038	0.0499734	0.0572082	0.0262064	0.0270463	0.030676	0.0297033	0.040097	0.0615529	0.0604521	0.0650805	0.0486694	0.0535404	0.0385649	0.0296898	0.0138887	0.0102677	0.0083072	0.012626	0.01313	0.0119041	0.0137506	0.0158836	0.0161095	0.019546	0.0311338
maux	0.0409721	0.0503685	0.0479855	0.0472785	0.0456331	0.0362344	0.025116	0.022954	0.0197636	0.024024	0.0375754	0.0365194	0.0259165	0.0257945	0.0231093	0.0198104	0.0164406	0.0136747	0.0131512	0.0148391	0.0156746	0.0210154	0.0257084	0.0324783	0.0363188	0.0366805	0.0270416	0.0327891	0.0390215	0.0441449	0.101966
de	0.0425503	0.0634118	0.0575339	0.060956	0.0525549	0.0416431	0.0286855	0.0276623	0.0263099	0.0308101	0.0371797	0.0360803	0.0229447	0.0190551	0.0256582	0.0216011	0.0261297	0.0157696	0.0274391	0.0180939	0.0164994	0.00858078	0.0109724	0.0182437	0.0261145	0.0455573	0.0305448	0.0216155	0.0214557	0.036582	0.0817648
têtes	0.0520188	0.0406212	0.0334247	0.0305068	0.0234473	0.0134036	0.00626184	0.00565214	0.00503716	0.00760412	0.0159013	0.0169666	0.0127998	0.0134695	0.0174596	0.0152642	0.0298254	0.0226749	0.0328506	0.0333982	0.0434678	0.0275778	0.0269301	0.0387769	0.0506133	0.0723577	0.0525536	0.039067	0.0598719	0.0685597	0.0916364
ceux-là	0.0510756	0.035015	0.0287577	0.0247099	0.0138516	0.00878888	0.00505353	0.00401563	0.00330215	0.00465182	0.00836937	0.0085239	0.00668934	0.00683262	0.0086291	0.00875158	0.0212839	0.0185552	0.0222223	0.0333866	0.0419335	0.0670844	0.0647893	0.0660436	0.0582248	0.0581886	0.0464936	0.0488966	0.0666035	0.058745	0.100532
contre	0.0207967	0.0132344	0.0101033	0.00982669	0.0084833	0.00803024	0.00864538	0.0103445	0.00740583	0.00867897	0.00979304	0.0127999	0.0111297	0.013751	0.0180978	0.0183653	0.0250135	0.0277299	0.0347958	0.0401177	0.0701419	0.0700134	0.0872638	0.0776946	0.0677366	0.0471204	0.0448352	0.06254	0.0556462	0.0510555	0.0488095
les	0.052523	0.0247526	0.0142495	0.00985555	0.00677187	0.00535537	0.00392801	0.00298127	0.00280685	0.00398443	0.00546279	0.00737942	0.00684729	0.00586606	0.00754257	0.00977747	0.0203222	0.0233025	0.0263591	0.043882	0.0505645	0.0758643	0.100357	0.084065	0.0665193	0.0517032	0.0418612	0.0546297	0.0534391	0.0594085	0.0776381
maux	0.0589925	0.0275445	0.0181921	0.0138527	0.00794046	0.00537222	0.00521237	0.00484501	0.00482454	0.00694185	0.00922452	0.0096867	0.00914125	0.00870715	0.0114038	0.0180887	0.0472209	0.0423073	0.0520412	0.0677873	0.0715384	0.0637021	0.0673341	0.0542454	0.0402991	0.0341738	0.0302548	0.0471064	0.0402394	0.054666	0.0671135
de	0.0590391	0.0353922	0.0255728	0.0212054	0.0140278	0.00816098	0.00688906	0.00777291	0.00847387	0.0121283	0.0162578	0.0187805	0.017205	0.0118128	0.0144295	0.0144681	0.0285414	0.0227671	0.0404867	0.0392937	0.0619327	0.0251501	0.0339579	0.0386051	0.0427778	0.0465439	0.0477238	0.0600705	0.0519412	0.0779219	0.0906701
ventre	0.0153607	0.0185202	0.017029	0.015131	0.0115725	0.00813251	0.00694759	0.00749597	0.00756694	0.00888704	0.0106423	0.0122718	0.0139128	0.014466	0.0211814	0.0220713	0.0241159	0.0224986	0.0346172	0.0287982	0.0525168	0.0345195	0.0488257	0.0528295	0.0515463	0.0545061	0.0445125	0.0832054	0.0638839	0.106512	0.0859234
</S>	0.0102008	0.00920436	0.00808744	0.0080767	0.00681554	0.00601191	0.00606534	0.00729245	0.00766806	0.00806264	0.00966029	0.00980853	0.0124773	0.0126883	0.0197429	0.0221911	0.035793	0.036408	0.0676483	0.0498091	0.0874332	0.0399016	0.0428047	0.0502876	0.0714538	0.0921535	0.0634305	0.0660283	0.0333277	0.057774	0.0416929
