 	l	e	n	g	y	ε	m	b	í	í	d	í	p	a	n	y	á	m	é	t	á	b	h	e	y	í	b	v	ú	a	</S>
la	0.0188735	0.0322831	0.0283768	0.0240646	0.0193757	0.0275417	0.0133082	0.0165125	0.0185408	0.0217956	0.0434648	0.0360693	0.0953853	0.0937551	0.0484251	0.0403049	0.0345387	0.0388966	0.0243067	0.0313174	0.032325	0.0323222	0.0219427	0.0212605	0.0270817	0.0252298	0.0334449	0.0210602	0.0246035	0.0292274	0.0243654
roussette	0.0190737	0.0143475	0.0271695	0.0413858	0.0475479	0.108466	0.0663824	0.0650557	0.0396017	0.0499356	0.0294471	0.0347903	0.0136616	0.0202198	0.0299083	0.0258654	0.0488885	0.0269394	0.0177244	0.0300566	0.0195455	0.033334	0.0289971	0.0421428	0.0292802	0.0323763	0.0262262	0.015672	0.00899502	0.00389464	0.00306924
est	0.111134	0.0519177	0.03619	0.019333	0.0186958	0.00715887	0.013306	0.0218423	0.00975671	0.0078203	0.00932653	0.016239	0.0237727	0.0322883	0.0409778	0.0480577	0.0621007	0.0461746	0.0572782	0.0428432	0.0529115	0.0269244	0.029234	0.0238005	0.0258304	0.0167753	0.0282458	0.0318768	0.0335195	0.0272037	0.0274649
accrochée	0.0804577	0.0506715	0.105229	0.0937077	0.0873652	0.0664081	0.0605582	0.0644713	0.0670095	0.03668	0.0313687	0.030196	0.035	0.028655	0.0227411	0.0145917	0.0143771	0.00985411	0.00903188	0.00875014	0.00953301	0.0077201	0.00747159	0.00612078	0.00481424	0.00393386	0.00475374	0.00520592	0.00680987	0.00643297	0.0200799
sur	0.0358498	0.0255287	0.0490177	0.0437161	0.0387896	0.0482135	0.0582758	0.0541053	0.0382164	0.0281292	0.0202134	0.0175718	0.017074	0.0178449	0.0124358	0.0174092	0.0389114	0.0367156	0.0390757	0.0360402	0.0423686	0.0316485	0.0280985	0.0234109	0.0243518	0.022681	0.0242441	0.0275306	0.028383	0.0319827	0.0421662
une	0.0595897	0.0399767	0.0204883	0.0432212	0.0323781	0.0372177	0.0411606	0.0468718	0.0585555	0.0432836	0.0271048	0.0245954	0.0331106	0.0281158	0.0236231	0.022313	0.0180332	0.0133066	0.0149651	0.0138025	0.019808	0.0224364	0.0181205	0.0222432	0.0210457	0.0305797	0.0369891	0.0398982	0.0415752	0.0284438	0.0771468
branche	0.0265595	0.0253968	0.0173502	0.0262156	0.0186773	0.0165922	0.0144556	0.00920457	0.00726904	0.00621299	0.00871193	0.00790205	0.00938567	0.0080653	0.0111791	0.0196899	0.0258468	0.0290229	0.033715	0.0389407	0.0449982	0.0434029	0.0513498	0.0538179	0.0521134	0.0535429	0.0609108	0.0701101	0.0705205	0.0483621	0.0904781
d'	0.0756248	0.0685339	0.0325378	0.0429615	0.03648	0.0301342	0.0227009	0.0151453	0.0243093	0.012324	0.00850554	0.00714436	0.00845186	0.00959961	0.0176263	0.0301408	0.0283083	0.0322878	0.0565784	0.0459642	0.0519735	0.0251268	0.0193026	0.0252639	0.0222391	0.0258264	0.0296783	0.0376717	0.0431664	0.0399667	0.074426
arbre	0.0759739	0.0480648	0.0317329	0.0241044	0.0154824	0.0115153	0.00907473	0.00725176	0.00674828	0.00767059	0.00907205	0.00973572	0.00981834	0.00972257	0.0108528	0.0161476	0.0200093	0.029398	0.0326138	0.0296409	0.0318337	0.0264304	0.0246083	0.0377349	0.0512968	0.0476903	0.0532202	0.0701339	0.072834	0.0683673	0.10122
</S>	0.111185	0.0571235	0.037634	0.0276864	0.0142958	0.0105886	0.00774743	0.00656811	0.00616276	0.00604533	0.00525016	0.00684046	0.00893565	0.00915343	0.012362	0.0152753	0.0139719	0.0225117	0.0221816	0.0191684	0.018783	0.0177896	0.0194943	0.0297569	0.0400803	0.0435722	0.0491465	0.0744369	0.0800824	0.072441	0.133729
