 	l	a	k	a	l	a	i	n	a	n	g	a	i	y	í	í	á	d	z	á	l	i	l	ε	n	g	έ	</S>
autrefois	0.015826	0.028743	0.0323658	0.0215804	0.0187035	0.0143459	0.0510295	0.0348778	0.0592248	0.0807532	0.0535584	0.0519772	0.045622	0.0342313	0.0166555	0.0347512	0.0296967	0.0388467	0.0499004	0.0504238	0.0438443	0.0331943	0.0288353	0.0402522	0.0251451	0.018158	0.0186168	0.0288409
la	0.0346927	0.0299284	0.0247861	0.0267667	0.043546	0.0356449	0.0311745	0.0581216	0.0260458	0.0319539	0.0158414	0.0162942	0.0272732	0.0390333	0.0603163	0.134328	0.0805831	0.0521795	0.0591022	0.0248429	0.017238	0.01203	0.0218808	0.0158691	0.0168112	0.025165	0.0171447	0.0214069
plupart	0.0920914	0.0616502	0.0465304	0.0291948	0.0232588	0.0303368	0.0355058	0.0476647	0.0752673	0.0696873	0.0531198	0.04474	0.0440965	0.0173168	0.0398924	0.0347977	0.0328927	0.0282715	0.0265579	0.0355513	0.0297876	0.0181229	0.0148028	0.0148124	0.0112296	0.00985132	0.0130624	0.0199071
des	0.0469892	0.0467556	0.0365589	0.0476877	0.024715	0.0262608	0.0177093	0.0272472	0.0398171	0.0245554	0.029251	0.0354444	0.0255051	0.0154301	0.0216441	0.0238998	0.0137515	0.0211744	0.0333179	0.0331987	0.0420792	0.0467945	0.0372454	0.0525835	0.0541849	0.0554351	0.0461637	0.0746007
hommes	0.0287642	0.0332093	0.0382225	0.0437185	0.0469199	0.0509664	0.0565696	0.0643338	0.0636783	0.063417	0.0597938	0.0639349	0.0527482	0.0302889	0.0328006	0.021818	0.0259673	0.0193583	0.0206771	0.0170237	0.018819	0.0137411	0.0147921	0.01587	0.0169804	0.022068	0.0231565	0.0403626
riches	0.0210734	0.0161556	0.0167795	0.0244758	0.0195891	0.029454	0.0346127	0.0445522	0.0482859	0.0405743	0.032208	0.0229597	0.0186386	0.0129797	0.0193205	0.0238723	0.0246501	0.0202329	0.0359983	0.0371106	0.0531678	0.0453519	0.0441331	0.0522377	0.050862	0.0556498	0.0602804	0.0947941
avaient	0.0256497	0.0175494	0.0199776	0.0253276	0.0228086	0.0346092	0.0397035	0.0516934	0.0495876	0.0369348	0.031231	0.0233162	0.0204895	0.0167445	0.0203847	0.0236462	0.0223418	0.0203875	0.0281195	0.0279365	0.0373221	0.0466152	0.046168	0.0485079	0.0535418	0.0589367	0.0539389	0.0965306
des	0.0156718	0.0160042	0.0182946	0.0226466	0.027322	0.0273858	0.024403	0.0354297	0.0295821	0.0230006	0.0195129	0.0173282	0.0161314	0.0135055	0.0122659	0.0320211	0.0385103	0.0320664	0.0340233	0.0342754	0.0409697	0.0500006	0.0498381	0.0557539	0.0563284	0.0701184	0.0721398	0.11547
esclaves	0.0141119	0.0140004	0.0133438	0.0159329	0.0134677	0.00868353	0.00918793	0.0120118	0.0123079	0.0109607	0.0120725	0.0103529	0.0124592	0.0153083	0.00971727	0.0127436	0.0207889	0.0350752	0.0677479	0.0738619	0.0534904	0.0680728	0.0624114	0.0695378	0.0692748	0.0896354	0.0865432	0.106898
</S>	0.046012	0.0331621	0.037995	0.0514234	0.0254414	0.0317295	0.0127349	0.01627	0.0129861	0.00833348	0.00717154	0.00638939	0.00654725	0.00464748	0.0097501	0.0177379	0.0143203	0.0168921	0.0330332	0.0365695	0.0461603	0.060242	0.068825	0.07733	0.0654412	0.0760014	0.0762751	0.100578
