 	b	ε	έ	b	ε	έ	l	a	p	o	o	é	d	í	l	a	n	g	o	n	d	a	y	á	a	k	ω	</S>
a	0.0228633	0.0113457	0.00734118	0.00635253	0.00542024	0.0109928	0.0189483	0.0252656	0.0291355	0.0265341	0.0442025	0.0444072	0.0658078	0.0594559	0.0371824	0.0529481	0.0463059	0.0489167	0.0508606	0.03767	0.0386362	0.0558358	0.0620512	0.0413922	0.0400424	0.0304814	0.0337168	0.0458876
côté	0.0178215	0.0141819	0.0132419	0.0135183	0.0117674	0.00977857	0.0078253	0.00372052	0.00693141	0.00373657	0.00103787	0.00788372	0.0175921	0.0384468	0.0488155	0.0803661	0.0943474	0.0776983	0.0945	0.101421	0.0991421	0.0593316	0.0632652	0.037435	0.0217569	0.0231199	0.0153906	0.0159267
du	0.0267074	0.0243154	0.0236431	0.0267353	0.0153034	0.0172894	0.0162497	0.0158878	0.0176216	0.0122692	0.0183567	0.0408791	0.0277354	0.0592089	0.0738202	0.0856668	0.0713267	0.0912125	0.0664507	0.0516199	0.0505767	0.0465705	0.0319983	0.0267826	0.0171191	0.0161011	0.0152663	0.0132858
village	0.0170032	0.0194403	0.0168086	0.0163667	0.0139667	0.0134283	0.0166917	0.0108369	0.0182155	0.0322275	0.0328552	0.0393456	0.0356403	0.0271767	0.0510365	0.054076	0.0624262	0.0607477	0.0791152	0.0778472	0.0708327	0.0729279	0.0515778	0.0335745	0.0230207	0.0185164	0.0148877	0.0194103
il	0.0361235	0.0350859	0.0504791	0.0791087	0.0731776	0.0693852	0.055442	0.0438022	0.047806	0.0355213	0.0263234	0.027189	0.013826	0.0229045	0.0171169	0.0162245	0.0132984	0.0210915	0.0109013	0.0139434	0.0197719	0.0204289	0.0320699	0.0241518	0.0299212	0.0366313	0.0366764	0.0915985
y	0.0614732	0.0592345	0.0677326	0.0707496	0.0573709	0.0586832	0.0547389	0.0302315	0.0241366	0.0157872	0.0153309	0.0166065	0.00885934	0.0182112	0.0265411	0.0219937	0.0327956	0.0423728	0.0185013	0.0167092	0.0312578	0.0253125	0.0449908	0.0257314	0.0241594	0.0218076	0.0374011	0.0712794
a	0.104404	0.0603445	0.0439457	0.042704	0.030879	0.0266122	0.0284015	0.0146819	0.0184267	0.0144812	0.0101215	0.0178755	0.0182794	0.0279243	0.0324983	0.0374388	0.0369419	0.0416024	0.0268477	0.0175	0.0329597	0.0262223	0.0439489	0.0249225	0.0203545	0.0240755	0.0530601	0.122546
une	0.0800271	0.0517395	0.043643	0.0451567	0.0256235	0.0223733	0.0197904	0.00897297	0.00971491	0.00921535	0.00784714	0.0160809	0.0153386	0.0195666	0.0175046	0.0180973	0.0186123	0.0281968	0.0177882	0.0144068	0.035543	0.0275679	0.0561208	0.0520626	0.0476666	0.0522328	0.0775682	0.161542
grande	0.20583	0.120018	0.0924164	0.0617972	0.0174773	0.010371	0.00785757	0.00416269	0.00892554	0.0100923	0.0070574	0.0184073	0.0406031	0.0452267	0.0156053	0.0229882	0.0158848	0.0277781	0.0122113	0.00780331	0.0105234	0.00817896	0.0181069	0.0109829	0.0197882	0.0417877	0.0462632	0.0918549
bananeraie	0.229478	0.128215	0.115014	0.0900558	0.0445438	0.0266147	0.0164559	0.00705282	0.0113695	0.0111603	0.0093659	0.0127272	0.0163762	0.0220758	0.015812	0.0140584	0.013089	0.0116266	0.0122796	0.0124555	0.0151373	0.0113259	0.0176334	0.0111467	0.0163456	0.0335782	0.029748	0.0452595
</S>	0.0946183	0.0852622	0.093033	0.102402	0.0504052	0.0333235	0.0296407	0.0132484	0.0119935	0.00825182	0.00537021	0.00855357	0.014541	0.0201703	0.0124749	0.0122806	0.0116878	0.0212395	0.00711121	0.0050134	0.00730938	0.00585413	0.0119881	0.0281229	0.0335271	0.0537697	0.0661525	0.152655
