 	i	k	i	n	y	i	l	í	i	n	y	a	á	a	k	i	s	í	s	a	a	m	ó	n	y	a	m	a	</S>
la	0.0213896	0.0188272	0.00913431	0.0075531	0.00808651	0.00837933	0.0127876	0.0152921	0.0128522	0.0310256	0.0613128	0.0765726	0.0432186	0.0461802	0.0604192	0.0305478	0.0372576	0.0375245	0.0359633	0.041909	0.0440784	0.0411502	0.0447176	0.0514115	0.0568984	0.0502079	0.0379902	0.0344971	0.0228157
mou-	0.0360404	0.0346213	0.107087	0.22988	0.151441	0.0750233	0.0680175	0.0562245	0.0765119	0.037038	0.0151505	0.00534205	0.0050367	0.00504886	0.00702	0.0154965	0.00673974	0.0169238	0.0076862	0.00789874	0.00513426	0.00641636	0.00465257	0.00596564	0.00487426	0.00335006	0.00216512	0.00198092	0.0012327
che	0.0540102	0.0549555	0.0445611	0.032631	0.0240131	0.021506	0.0213833	0.013415	0.0242016	0.0170475	0.0298614	0.0175271	0.0419567	0.025207	0.024729	0.030729	0.0356997	0.0387533	0.0355124	0.0417123	0.0405613	0.0432568	0.0594849	0.0575827	0.0429249	0.0497775	0.039087	0.0271747	0.0107379
dépose	0.0242469	0.0656239	0.104983	0.0942287	0.0685334	0.0711449	0.091635	0.0646989	0.0621494	0.0570283	0.0491345	0.0301858	0.0101781	0.0146486	0.0113433	0.00632964	0.00690297	0.00587046	0.00769509	0.00878518	0.00789564	0.00584654	0.00746523	0.0111552	0.0150159	0.0151666	0.0113995	0.0172982	0.0534114
les	0.0201078	0.0235981	0.0376551	0.0477651	0.0398058	0.0475642	0.0515385	0.0371475	0.0259763	0.0346156	0.0369202	0.0322451	0.0277123	0.0197616	0.0169339	0.0156069	0.0187185	0.0163285	0.0247491	0.0258892	0.0307178	0.0269714	0.0259769	0.0297524	0.029086	0.034498	0.0526006	0.0548502	0.114908
asticots	0.0285653	0.0284696	0.038066	0.0403407	0.0448767	0.0504484	0.0740295	0.079842	0.077489	0.0666497	0.0541887	0.0219701	0.0103893	0.00777933	0.00994354	0.0137974	0.0174163	0.0175454	0.0210708	0.0174419	0.0196295	0.0192038	0.021476	0.0218557	0.0274201	0.0313596	0.0318447	0.0352514	0.0716394
sur	0.0418219	0.0337779	0.0333056	0.0375086	0.054669	0.0580049	0.0556224	0.0561247	0.0564135	0.0566528	0.053875	0.0423848	0.026391	0.015543	0.00895579	0.0231718	0.0177382	0.0177223	0.0266117	0.0221792	0.0171124	0.0211414	0.0268026	0.0213257	0.0258327	0.0277258	0.0290006	0.0344278	0.0581569
la	0.0260741	0.025716	0.0288576	0.0325428	0.0446551	0.0467765	0.0468678	0.0490443	0.0502918	0.0478474	0.0370001	0.0196323	0.00868709	0.00989851	0.00841077	0.0129857	0.0147367	0.0168641	0.0295921	0.0195961	0.0217976	0.0273073	0.0236046	0.0289766	0.0314146	0.038979	0.053034	0.0673295	0.13148
viande	0.0276482	0.0296745	0.0325649	0.0268703	0.0258873	0.0201758	0.0148419	0.013187	0.0131169	0.0135771	0.00945255	0.0053042	0.00243423	0.0127953	0.0133801	0.0192057	0.0357611	0.0227404	0.0196179	0.0225063	0.0260683	0.0622185	0.046285	0.0263563	0.0329154	0.0357723	0.0585537	0.0893614	0.241728
</S>	0.105405	0.070614	0.0615781	0.0580439	0.0632484	0.0656492	0.0591062	0.0358848	0.0422849	0.0311023	0.022599	0.0171865	0.00826041	0.0130303	0.0141084	0.0218951	0.0219774	0.0143956	0.0224421	0.0184283	0.0146962	0.0131395	0.013157	0.00644193	0.00915948	0.0104151	0.0127563	0.0189649	0.13403
