 	n	g	ó	o	á	k	a	n	i	d	ω	n	g	ώ	d	ω	n	g	ω	s	á	n	d	z	ú	n	g	u	</S>
la	0.0198712	0.0326444	0.0224905	0.00955647	0.00608854	0.00756122	0.0100255	0.0139882	0.0480779	0.0566215	0.120774	0.0875232	0.103202	0.046479	0.0472754	0.0310734	0.0215188	0.0279007	0.0145541	0.0168496	0.0199563	0.0225474	0.0181924	0.0221989	0.0251702	0.0273797	0.0370849	0.0361764	0.0472178
maman	0.210612	0.181627	0.17254	0.164621	0.119534	0.0409357	0.0105154	0.010464	0.00719006	0.00565246	0.00669269	0.00156986	0.00301845	0.00872436	0.00509865	0.0057755	0.00357246	0.00455421	0.00442881	0.00514654	0.00889893	0.00668591	0.0063928	0.00303825	0.00109023	0.000743314	0.000403415	0.000300948	0.000173055
a	0.0178458	0.0197007	0.0237247	0.0311829	0.0460563	0.0487048	0.0468433	0.0702227	0.0384443	0.0434436	0.0343208	0.0168433	0.059382	0.0391422	0.0575593	0.0304791	0.0278694	0.0528386	0.0257962	0.0296468	0.0526553	0.0566874	0.0359298	0.0291855	0.018876	0.0139803	0.0137636	0.01249	0.00638537
mis	0.0273439	0.0151134	0.0253884	0.0389385	0.0366486	0.037158	0.0450524	0.0471866	0.0791961	0.0643444	0.053222	0.0400196	0.019517	0.0234026	0.0134116	0.0156184	0.0224147	0.0222544	0.0181272	0.0200256	0.0176316	0.0196313	0.0232058	0.0221538	0.0286338	0.0242829	0.056278	0.0536982	0.0901012
du	0.0461649	0.0252086	0.0432669	0.0469802	0.041384	0.0367064	0.0301521	0.0284223	0.0205882	0.0204277	0.0176008	0.0153817	0.0161234	0.0208072	0.0173675	0.0172837	0.0278698	0.0199052	0.0277359	0.0225021	0.0220693	0.024327	0.023685	0.0374434	0.0524009	0.0536576	0.071451	0.0768626	0.0962244
gombo	0.0123663	0.0114026	0.0111999	0.0111685	0.0101171	0.00940328	0.00812352	0.00728743	0.00812843	0.00822966	0.0129037	0.0142201	0.0134511	0.0290186	0.0453475	0.0470385	0.054406	0.0553939	0.0601167	0.0713332	0.0515885	0.0660462	0.0640523	0.0846691	0.0793161	0.0516113	0.0367204	0.0319605	0.0333797
dans	0.030047	0.0166448	0.0114337	0.010467	0.0108736	0.0140409	0.0168355	0.0131902	0.014696	0.0158588	0.015129	0.0181387	0.0160043	0.0232855	0.0261182	0.0275392	0.0422308	0.0271059	0.0427301	0.0348387	0.0330821	0.0406358	0.0449658	0.0662201	0.0741858	0.0709428	0.0788439	0.0765894	0.0873261
la	0.0278902	0.0167424	0.0224928	0.0246572	0.0240665	0.0270469	0.0303242	0.0209622	0.015016	0.0133243	0.0136306	0.0137582	0.0124472	0.0180354	0.017706	0.019025	0.024957	0.0174788	0.0272231	0.0284385	0.0253805	0.0304552	0.041898	0.0565489	0.0581412	0.0743643	0.0781539	0.0901012	0.129734
marmite	0.0170154	0.014657	0.0135919	0.0132858	0.0134549	0.00967312	0.00810432	0.00391304	0.00411928	0.00351922	0.00506077	0.00579136	0.00519947	0.00961697	0.0129635	0.0149903	0.0292893	0.0287391	0.0487279	0.0433423	0.066153	0.0632769	0.0549221	0.0665572	0.0741384	0.0943388	0.0825335	0.0866885	0.106337
</S>	0.0775562	0.0324605	0.0438891	0.0433622	0.0351248	0.0350375	0.0367243	0.0220465	0.0213888	0.0191161	0.0185693	0.0125484	0.0100547	0.0134151	0.00943191	0.0096543	0.0221504	0.0144601	0.0196753	0.0222255	0.0204188	0.022374	0.0268532	0.0299788	0.0471696	0.0516122	0.0712716	0.0625494	0.148881
