 	m	o	r	o	w	ó	á	m	i	k	ώ	n	d	ώ	o	k	y	é	n	á	i	b	v	u	a	d	í	</S>
cet	0.0199194	0.0111592	0.00870598	0.0125784	0.0232534	0.0131866	0.0123581	0.0119311	0.0099209	0.0219793	0.0432967	0.0389887	0.0802687	0.0701758	0.0576462	0.0653449	0.0353227	0.0350278	0.043318	0.0336255	0.0274673	0.0295701	0.0439162	0.0365819	0.0334689	0.0450383	0.0681065	0.0678433
homme-ci	0.125906	0.152938	0.161191	0.0457853	0.0373502	0.0849435	0.0759805	0.109055	0.0596448	0.0808908	0.0313732	0.0072221	0.00342336	0.00130444	0.00186431	0.0016804	0.0011652	0.00198751	0.00109002	0.00331032	0.00176679	0.00202273	0.001581	0.00190259	0.00323911	0.000519591	0.000570655	0.000290687
n'	0.077866	0.0705031	0.0816756	0.0624465	0.0501529	0.0363657	0.037018	0.0279032	0.0224984	0.0421832	0.0503765	0.0541756	0.0370147	0.0511207	0.0401368	0.0490955	0.027266	0.027616	0.0249476	0.0170223	0.0123878	0.013966	0.0142843	0.0142368	0.00950056	0.0132813	0.0148584	0.0201002
a	0.0336393	0.0330917	0.0559952	0.0423475	0.0357353	0.0220992	0.0101394	0.0148816	0.010552	0.0127344	0.0153642	0.0155641	0.0110443	0.0183045	0.0144659	0.0357469	0.0617522	0.0717536	0.0993678	0.0666859	0.0564992	0.060817	0.0438274	0.0291953	0.0498475	0.0226006	0.0380602	0.0178878
pas	0.0819604	0.0504042	0.0321975	0.0334689	0.0375198	0.0257713	0.0228773	0.0231142	0.025941	0.0280836	0.0363257	0.0258734	0.0496855	0.0192269	0.072337	0.0598255	0.0259359	0.0565869	0.0423235	0.0539033	0.036461	0.0301346	0.0217854	0.0201231	0.0205887	0.0220943	0.0205746	0.0248762
pu	0.0224884	0.0187575	0.0155323	0.0147195	0.0238489	0.0123312	0.0196224	0.017111	0.0203338	0.0131913	0.0118279	0.01596	0.020164	0.0131999	0.0382145	0.042011	0.0358773	0.0829398	0.0688428	0.0887975	0.0655831	0.0606593	0.0440201	0.0539708	0.0425596	0.0419597	0.0447234	0.0507529
couper	0.0377696	0.0166864	0.0142968	0.0149782	0.014598	0.011247	0.0134548	0.0107756	0.0168744	0.0135018	0.00868623	0.0124222	0.00912357	0.031048	0.0448842	0.0651445	0.0879388	0.096406	0.106333	0.0989425	0.0699386	0.0515958	0.0300294	0.0303631	0.0227148	0.0266199	0.014943	0.0286839
cet	0.0240496	0.0153542	0.0146749	0.0172472	0.0138674	0.00992	0.0135905	0.00926291	0.0178014	0.0122435	0.0135515	0.0113131	0.0148957	0.0178866	0.0295716	0.0332975	0.0473831	0.0864939	0.0756752	0.0842035	0.0794124	0.0751274	0.0655494	0.0403537	0.0366128	0.0404538	0.0414579	0.0587495
arbre	0.0667972	0.0415878	0.0329198	0.0212651	0.0120801	0.00583357	0.00306155	0.00313596	0.00424633	0.00308612	0.0032808	0.0072523	0.0054069	0.0126926	0.0131484	0.0290633	0.0428364	0.0478971	0.0446055	0.055468	0.0620017	0.0588655	0.0545152	0.0371465	0.0748432	0.0587737	0.0818468	0.116343
</S>	0.0966583	0.0540292	0.0386512	0.0352022	0.0194562	0.0142044	0.00537801	0.00664131	0.00789103	0.00586685	0.00613932	0.0101995	0.0090924	0.0147837	0.0204592	0.0406843	0.04328	0.0258141	0.0216637	0.0221102	0.02418	0.0332294	0.0411177	0.031319	0.0780623	0.0624419	0.10914	0.122304
