 	n	d	é	e	y	ó	p	i	t	á	á	l	e	é	d	i	s	í	f	u	ú	</S>
le	0.0263738	0.0426265	0.0385264	0.03357	0.0242229	0.0291639	0.0419425	0.0505962	0.057966	0.0470888	0.0619083	0.106595	0.127793	0.0950597	0.0614344	0.0260892	0.0202987	0.0193449	0.0218745	0.0213779	0.0247831	0.0213644
bâtiment	0.0243775	0.0633872	0.0801597	0.049156	0.0163151	0.0144329	0.0194604	0.0950251	0.0973009	0.0826259	0.149284	0.103794	0.0540039	0.0436058	0.0217148	0.0251669	0.0151435	0.015851	0.0144535	0.00739466	0.00428303	0.00306479
de	0.0693819	0.0264583	0.0213164	0.0243835	0.0328076	0.0602473	0.0503037	0.0544638	0.0520783	0.0614581	0.0426874	0.0454827	0.090199	0.0442058	0.0982645	0.0683468	0.0475742	0.0354906	0.0250964	0.0191395	0.0179889	0.0126255
l'	0.0329988	0.0420048	0.0671573	0.0654092	0.0456646	0.0274438	0.0324731	0.0437625	0.0457356	0.0256245	0.0328013	0.0185337	0.036137	0.0376772	0.0500909	0.0369003	0.0356535	0.0385568	0.0551178	0.0646934	0.0764076	0.089156
hôpital	0.0486855	0.060478	0.0788118	0.0527766	0.0326495	0.0350837	0.0326909	0.0513995	0.0221248	0.0253494	0.0226321	0.0165784	0.0178682	0.0146532	0.0155619	0.0185354	0.0272866	0.0315664	0.0610695	0.096713	0.104881	0.132605
est	0.0798426	0.062655	0.0510081	0.0403092	0.0629954	0.130299	0.117916	0.0756613	0.0615811	0.0574803	0.0442968	0.0185424	0.00730675	0.00440812	0.00727574	0.00786117	0.00827072	0.0122583	0.0165833	0.0191352	0.0383206	0.0759929
au	0.115511	0.0887854	0.0700969	0.0673725	0.033885	0.0219318	0.0176634	0.0166168	0.00808492	0.00530959	0.00568363	0.00585032	0.00806325	0.00969569	0.0100196	0.0154802	0.0290991	0.0368871	0.0564871	0.087132	0.111753	0.178591
milieu	0.104761	0.114591	0.0649376	0.0493602	0.026027	0.0117578	0.0123424	0.00957347	0.00979396	0.00752629	0.0067437	0.00617344	0.0118994	0.0151044	0.0163103	0.0188873	0.019053	0.0324476	0.0357418	0.0574311	0.0848632	0.284674
des	0.16459	0.074858	0.0472231	0.0557413	0.0543442	0.0476205	0.0401032	0.0265133	0.0240687	0.0168735	0.00992208	0.00734509	0.0152823	0.014799	0.0206406	0.0263996	0.0241126	0.0250265	0.0227885	0.0446641	0.0540099	0.183074
touffes	0.1548	0.0872845	0.0676567	0.0587717	0.0355868	0.0164388	0.00995886	0.0095715	0.00532353	0.00230805	0.00235072	0.00162878	0.00535347	0.00630341	0.00570546	0.0112791	0.0145621	0.0238402	0.0536791	0.0878822	0.117618	0.222097
d'	0.161405	0.088634	0.0676283	0.0579145	0.04469	0.0424019	0.0358443	0.0196008	0.0129274	0.00562216	0.00204559	0.000886711	0.00265773	0.0049004	0.0096723	0.0142633	0.0341066	0.0462853	0.0552562	0.0657016	0.086328	0.141228
herbes	0.119954	0.0532424	0.0531575	0.0394872	0.0262096	0.0125362	0.010903	0.00886983	0.0095314	0.00816462	0.00850399	0.00288699	0.00609511	0.00986343	0.0197524	0.017998	0.0197667	0.0315805	0.0618162	0.0981293	0.152499	0.229053
</S>	0.0826408	0.0469002	0.0552101	0.057267	0.0547132	0.0511127	0.0371237	0.0232733	0.0199039	0.0145274	0.00942002	0.0055017	0.00671786	0.00713132	0.0142504	0.0225944	0.0310915	0.0524549	0.0806089	0.0768154	0.102066	0.148675
