 	n	g	á	i	s	á	a	o	d	i	á	a	k	ú	r	ú	m	á	n	d	é	e	y	é	é	t	ó	n	g	á	n	g	á	y	é	k	a	á	</S>
je	0.197984	0.230714	0.175218	0.0433798	0.0133961	0.0170589	0.0064694	0.00896822	0.00428526	0.00663133	0.0055815	0.0061859	0.0108516	0.00788101	0.00539403	0.00538068	0.00517691	0.00475966	0.00573929	0.00609394	0.00547615	0.00707449	0.00678191	0.00887048	0.00795732	0.00597283	0.0093953	0.00919746	0.0123768	0.0109595	0.0147247	0.0150387	0.015977	0.0205934	0.0164948	0.0150103	0.0187967	0.0174491	0.0147028
n'	0.044635	0.0203426	0.0205977	0.0211295	0.033695	0.0590758	0.0402753	0.0709854	0.0343144	0.0792479	0.0643647	0.0661123	0.0516293	0.0368089	0.0321311	0.0272642	0.0268612	0.0396812	0.021853	0.0419114	0.033253	0.0222159	0.0139896	0.00561883	0.00563673	0.00635157	0.00708359	0.00506517	0.00331164	0.00483232	0.00317936	0.00763552	0.00728941	0.00548743	0.00434044	0.0048159	0.00345478	0.00922176	0.0143009
ai	0.0312502	0.0122522	0.00852929	0.015263	0.0218723	0.0177852	0.0388357	0.0215003	0.0477987	0.022306	0.0466884	0.0308451	0.0577124	0.0681311	0.041898	0.0212884	0.0430873	0.0264229	0.0428968	0.0341016	0.0358621	0.0465527	0.0403898	0.0370092	0.0281867	0.0215157	0.013825	0.0172108	0.0148256	0.00938523	0.0111187	0.00910453	0.00642869	0.00559738	0.00551048	0.0072866	0.00926191	0.0100502	0.0204139
pas	0.0922491	0.0554347	0.0413184	0.0387089	0.0230172	0.0306981	0.0380586	0.0330259	0.0197689	0.036351	0.0331133	0.0675574	0.0398805	0.0508743	0.0341193	0.0169973	0.0232988	0.0243691	0.0150623	0.0185728	0.0256012	0.0170664	0.0179243	0.0233062	0.0203993	0.0203186	0.0173271	0.0168307	0.0213066	0.0111996	0.0133439	0.00975097	0.00763051	0.00395723	0.0062555	0.00558307	0.00754626	0.00845647	0.0137202
encore	0.0288425	0.00672511	0.00762555	0.0185879	0.0190257	0.0146901	0.0190568	0.029219	0.0144307	0.012924	0.00859852	0.0142593	0.0123907	0.0224385	0.0177473	0.0114376	0.0229724	0.0536217	0.0646478	0.0429199	0.0751667	0.0661155	0.0568817	0.0380347	0.0345693	0.0263736	0.0295697	0.0233762	0.0110052	0.0128516	0.0175429	0.016004	0.016271	0.0139911	0.0156214	0.0140711	0.0202659	0.0270802	0.0430472
trouvé	0.00627683	0.0054379	0.00585613	0.00976986	0.0122929	0.0164904	0.0191577	0.0136716	0.00956314	0.0121807	0.00906083	0.0108382	0.017147	0.0190336	0.0200492	0.0186419	0.0279671	0.0351035	0.0331456	0.0288393	0.0392327	0.035506	0.0395441	0.0218627	0.0360563	0.032393	0.03749	0.0257481	0.0164455	0.0261982	0.0213741	0.0450074	0.0393203	0.0381477	0.0330093	0.0305057	0.0444968	0.0466514	0.0604873
de	0.00448272	0.00363678	0.00490705	0.00562968	0.00695834	0.00932478	0.0206855	0.0136972	0.0183164	0.0196008	0.0166448	0.015543	0.0203009	0.0223183	0.0214547	0.0224418	0.0379089	0.0485333	0.0471219	0.0440464	0.0599481	0.0390962	0.0422805	0.0329891	0.0357143	0.0287429	0.0312485	0.0228018	0.0143278	0.0181874	0.0142283	0.0229525	0.0261176	0.0216351	0.0198296	0.0249909	0.0378871	0.0356096	0.0678597
piliers	0.0101187	0.0074507	0.00792593	0.00826764	0.00898378	0.00831667	0.0115351	0.0062417	0.0114969	0.00733277	0.0107672	0.0117531	0.0140064	0.017992	0.0155209	0.0158553	0.0317652	0.0266175	0.0301218	0.0309806	0.0406959	0.0350222	0.0438782	0.0310436	0.0519116	0.0471	0.0643857	0.0481395	0.0305015	0.0327722	0.0291513	0.0294189	0.0285003	0.027055	0.0274183	0.0279462	0.034499	0.0333929	0.0441175
pour	0.0115881	0.0114923	0.0146146	0.0126278	0.0127327	0.0151825	0.0140279	0.013006	0.00621518	0.00985038	0.00571992	0.00632323	0.0140332	0.0160678	0.0166195	0.0162495	0.0177355	0.0277457	0.0251491	0.0283258	0.0391585	0.0322149	0.0434791	0.022116	0.0417644	0.0273752	0.0415082	0.029035	0.0119018	0.0242176	0.0226158	0.0398728	0.0417161	0.0222909	0.0216515	0.0288526	0.044131	0.051937	0.118855
cette	0.0145562	0.0111666	0.0127424	0.0132497	0.0121808	0.0103593	0.00705212	0.00672966	0.00463276	0.00505997	0.00374146	0.00452366	0.00575684	0.00702022	0.00710762	0.00698787	0.0125645	0.0118498	0.0232634	0.018531	0.0294205	0.0415805	0.040204	0.0321503	0.0550154	0.0459123	0.0631941	0.0471326	0.0248227	0.0370801	0.0405255	0.0402436	0.0427793	0.0392294	0.0423128	0.041952	0.0450802	0.0442057	0.0480831
