 	m	w	á	s	í	y	a	n	g	á	o	m	b	ó	n	g	o	ó	m	i	p	f	w	o	o	b	h	á	n	d	é	n	g	é	é	t	s	ω	</S>
l'	0.00449611	0.0100783	0.0059098	0.00314338	0.00348459	0.00413393	0.00944759	0.0253775	0.0337228	0.044965	0.0508222	0.0822233	0.0662787	0.0542669	0.048965	0.0451627	0.0371288	0.0364728	0.0280341	0.0322399	0.0220242	0.0267344	0.018232	0.0264502	0.0171285	0.0157159	0.0123842	0.011623	0.0191583	0.0222169	0.0164663	0.017173	0.0221223	0.0277371	0.0205718	0.0201435	0.00931505	0.0209009	0.0275489
activité	0.0531777	0.128303	0.0691509	0.164823	0.0388396	0.0723252	0.164733	0.0391917	0.0350604	0.0260874	0.0146942	0.00830349	0.00679197	0.0072867	0.00664215	0.00167718	0.00834415	0.0102697	0.0115643	0.00804199	0.0201968	0.00863926	0.00656868	0.00637569	0.0050544	0.0151023	0.00670779	0.00449157	0.00767096	0.00360553	0.00437529	0.00363294	0.00313606	0.00429462	0.0105947	0.00687885	0.00409912	0.0016996	0.00156781
commerciale	0.0134419	0.027953	0.0145105	0.0267879	0.0218217	0.0132138	0.0388298	0.0251233	0.0137398	0.0186798	0.0256937	0.032578	0.0390522	0.0360628	0.0304767	0.0422638	0.0521985	0.0573058	0.0392237	0.0560183	0.0297881	0.0326208	0.0319919	0.0206732	0.025052	0.0131657	0.0110809	0.0168002	0.0289234	0.0196121	0.0257031	0.0217653	0.0330401	0.0179791	0.0187153	0.00734889	0.00583918	0.00895615	0.00596948
de	0.0257927	0.00872113	0.0100057	0.011859	0.0113438	0.0156411	0.016331	0.0151152	0.0199918	0.0143615	0.0132443	0.0314564	0.0275328	0.0282899	0.0477437	0.0368118	0.0620931	0.0522301	0.0250914	0.0478188	0.0258585	0.0330723	0.0280681	0.0192049	0.0186153	0.016478	0.0210324	0.0165045	0.0163351	0.0130051	0.0148565	0.0185128	0.0173534	0.0206618	0.016496	0.0253473	0.0268036	0.0655352	0.0647838
ma	0.097702	0.0678611	0.0521063	0.0465568	0.0553661	0.0462602	0.0340508	0.0154305	0.0147719	0.0191827	0.00995801	0.0209475	0.0190015	0.0181904	0.0203386	0.0163677	0.0184177	0.0175899	0.0115444	0.0195037	0.0132867	0.0213325	0.0208785	0.0163254	0.0146969	0.0117012	0.0165537	0.0148668	0.00958173	0.00878772	0.0102613	0.011061	0.0104856	0.0130746	0.0124948	0.019398	0.0264392	0.0355333	0.0920934
femme	0.0282826	0.0363405	0.0141309	0.0210506	0.0131088	0.0274869	0.03129	0.0121357	0.0117023	0.0280233	0.0194471	0.0408565	0.0565707	0.042563	0.0397776	0.00935614	0.0209182	0.0189983	0.016793	0.0221419	0.0248982	0.0367458	0.0413634	0.0324049	0.0173425	0.0286108	0.0226186	0.0133375	0.0173445	0.011185	0.0107836	0.0135956	0.0154262	0.0174068	0.0380009	0.0429798	0.0393753	0.0140702	0.051536
s'	0.057418	0.0357636	0.0340092	0.0265853	0.0238721	0.0254873	0.020967	0.034055	0.00869298	0.0146148	0.0191757	0.013601	0.0144353	0.0108194	0.00684906	0.0033827	0.00410306	0.00608464	0.00443836	0.0124471	0.00961918	0.0142203	0.0205923	0.0122472	0.0178006	0.021713	0.0369647	0.0397726	0.0416819	0.0224078	0.0325271	0.0544597	0.0736086	0.0244932	0.0499225	0.0324093	0.0359537	0.0361576	0.0466473
est	0.119534	0.0599328	0.0539559	0.0352363	0.0348999	0.0286241	0.0205544	0.0208629	0.0140374	0.0171042	0.0211986	0.018989	0.027726	0.0153077	0.0169823	0.00717513	0.00975034	0.0113019	0.00755587	0.0135909	0.0138296	0.0184402	0.0292462	0.0143854	0.0160477	0.0225047	0.0238566	0.0287375	0.00993341	0.00945401	0.00664805	0.0165457	0.020379	0.0170993	0.0357022	0.0328372	0.0347791	0.0257021	0.0695523
extrêmement	0.0340145	0.022824	0.0199163	0.0169237	0.0130256	0.0103932	0.0119332	0.0171508	0.00775063	0.0110957	0.0194743	0.0161416	0.0191188	0.015031	0.0107013	0.0050118	0.00623024	0.00819783	0.00809004	0.0124884	0.014607	0.018782	0.0193437	0.0255309	0.0280351	0.0355809	0.0460669	0.0418031	0.0302169	0.0291041	0.0232651	0.0267701	0.0411317	0.0420397	0.0540236	0.0568467	0.0619139	0.0518514	0.0675745
épanouie	0.0266226	0.0194911	0.0137848	0.0142578	0.0101659	0.00953705	0.0101666	0.0129636	0.00750425	0.0105816	0.0159373	0.0157892	0.019861	0.0166009	0.0114055	0.00465906	0.00592227	0.00784083	0.00757669	0.0120749	0.0167884	0.0276269	0.0324638	0.0358176	0.0363164	0.0416259	0.0498469	0.0403609	0.0284432	0.0249654	0.0234024	0.0238473	0.0342778	0.0350503	0.0524233	0.0565862	0.0674433	0.0545395	0.065431
</S>	0.0392592	0.0384118	0.0292042	0.0347888	0.0280808	0.0268898	0.0198277	0.0121288	0.0102834	0.0100826	0.0101978	0.00986219	0.0121389	0.0113633	0.0133095	0.0176704	0.0203391	0.0300756	0.0171134	0.0248814	0.0145218	0.020178	0.0228442	0.0198935	0.0290008	0.024682	0.0502273	0.0467601	0.0244698	0.0192846	0.0180733	0.0277282	0.0280645	0.0171097	0.0244095	0.0333122	0.0357152	0.0478181	0.0799986
