 	e	m	a	b	h	í	r	í	r	í	y	á	m	w	á	n	a	y	é	y	é	e	y	έ	s	έ	o	d	i	n	g	i	</S>
la	0.0101426	0.0102589	0.0135665	0.0128661	0.0207914	0.00746193	0.0203865	0.0123037	0.0320071	0.0508047	0.0766549	0.0676308	0.061457	0.0148136	0.0151414	0.0166143	0.0172155	0.0142137	0.0171839	0.0212065	0.0216235	0.0322462	0.0363111	0.0252886	0.0332848	0.0428663	0.0346531	0.0461038	0.0422113	0.0390294	0.0490265	0.0428645	0.0417701
manière	0.00930187	0.00615325	0.0114669	0.0250835	0.0293256	0.0392938	0.0310911	0.0275078	0.0935078	0.127279	0.0844437	0.0600966	0.0391814	0.0321223	0.0959105	0.0513752	0.0401495	0.0205001	0.0333465	0.025375	0.0191181	0.0179961	0.0137547	0.0160231	0.0133389	0.00818581	0.00854849	0.00778357	0.0079347	0.00219303	0.00100648	0.000831528	0.000774319
dont	0.157806	0.0569424	0.0283161	0.0472573	0.0500612	0.0863292	0.0461628	0.0178645	0.0135966	0.0185511	0.0187342	0.0213295	0.0454472	0.0337278	0.0503744	0.0328569	0.0347047	0.0185707	0.0318836	0.0258728	0.0165526	0.0109012	0.0206719	0.020864	0.00979312	0.0106154	0.00665074	0.0058246	0.00624266	0.00789839	0.00911802	0.0139236	0.0245543
il	0.0345768	0.0663678	0.0465271	0.0333017	0.0376684	0.0285855	0.0266046	0.0188331	0.0132419	0.0205842	0.0166659	0.0133761	0.0158895	0.0222979	0.0200223	0.0371184	0.0313352	0.02411	0.0364094	0.0217793	0.0277913	0.0254115	0.0289034	0.0156708	0.0201521	0.019861	0.0188085	0.0226377	0.0232667	0.040637	0.0235548	0.0517911	0.116219
caresse	0.0255982	0.0277096	0.0472453	0.0570481	0.0807308	0.0728246	0.071251	0.040268	0.0330623	0.0214766	0.0164588	0.0109139	0.0236907	0.0158587	0.0320118	0.0461469	0.0473284	0.0296098	0.0433766	0.0209966	0.0188366	0.0168634	0.0244823	0.0269546	0.0179918	0.0103357	0.0110719	0.00939856	0.0113426	0.0158981	0.0125999	0.0230358	0.0375823
t'	0.0216949	0.0319741	0.0475383	0.0731426	0.0773977	0.0716324	0.0858095	0.058727	0.0719885	0.0527395	0.0438303	0.0272113	0.02586	0.0072579	0.0117506	0.0117111	0.0151824	0.0117754	0.0135831	0.00995209	0.00985417	0.0094672	0.0124233	0.0159026	0.012758	0.0107002	0.0111744	0.0122227	0.0138362	0.0154878	0.0173829	0.0222903	0.0657418
enfant	0.0452371	0.0444607	0.0366487	0.0325956	0.0421725	0.0589394	0.0745353	0.0379534	0.0268917	0.0286799	0.0161811	0.0124043	0.0150359	0.0161391	0.0172655	0.019035	0.0193281	0.02194	0.0184802	0.0232047	0.0209681	0.0204858	0.0250641	0.0256081	0.0192296	0.0194795	0.0172018	0.020668	0.0213777	0.026054	0.0372649	0.0424007	0.0970695
montre	0.118502	0.0710266	0.0611121	0.0396801	0.0571667	0.0347508	0.0506065	0.0242533	0.0175442	0.020808	0.0100235	0.00721544	0.00962856	0.00971572	0.00964906	0.010615	0.0113148	0.0131509	0.0100349	0.0136608	0.0132822	0.0136403	0.0149147	0.0141647	0.0180238	0.0199256	0.0216003	0.0227553	0.0252769	0.0298065	0.0473934	0.0568705	0.101886
son	0.066193	0.0865348	0.0448258	0.0381446	0.0651766	0.0994237	0.126879	0.119768	0.0523904	0.0438494	0.0159283	0.00810041	0.00458801	0.00553594	0.00379699	0.00409038	0.0042594	0.00548347	0.00396074	0.00348047	0.00340022	0.00325962	0.00426693	0.00482763	0.00501164	0.0049066	0.00570291	0.00541966	0.00672562	0.0110891	0.0136474	0.020834	0.108499
amour	0.0966794	0.134018	0.0661115	0.0480568	0.031585	0.012112	0.0214743	0.0114167	0.00806236	0.0110485	0.00607836	0.0077436	0.00683792	0.00553702	0.00652957	0.00863626	0.00988974	0.0139587	0.0115997	0.0112657	0.0129621	0.0101164	0.00769062	0.00745198	0.00891469	0.00942158	0.0139996	0.0117295	0.017001	0.0328509	0.0429575	0.0856874	0.210575
</S>	0.0670216	0.0686732	0.0516451	0.0429174	0.0346884	0.0254536	0.026361	0.0196911	0.0138264	0.00941614	0.00804663	0.00735839	0.00757219	0.00535089	0.00684984	0.0100107	0.0124109	0.0157814	0.0137638	0.0145875	0.015801	0.0144372	0.0149631	0.0152212	0.0207534	0.01802	0.0290323	0.0240723	0.0327834	0.0648558	0.0521317	0.0949259	0.141576
