 	b	a	r	e	á	t	έ	n	i	i	e	b	é	e	y	á	a	t	á	n	g	a	</S>
les	0.157118	0.0628045	0.02724	0.0217801	0.0238588	0.0186594	0.0200253	0.0187611	0.0272653	0.0269678	0.0277791	0.0410642	0.0310336	0.0224071	0.0301668	0.0373887	0.0661962	0.0657343	0.0635917	0.0654128	0.0637515	0.0477743	0.0332194
gens	0.0648309	0.0987991	0.167862	0.168976	0.190469	0.11796	0.0318814	0.031487	0.025091	0.0212467	0.018651	0.00579261	0.00320324	0.00279239	0.00321157	0.00206628	0.00569608	0.00597651	0.005263	0.00910449	0.00893889	0.0076721	0.00302812
se	0.0374882	0.0430059	0.0334976	0.043132	0.0453847	0.0345466	0.0305628	0.032353	0.0159362	0.0158308	0.0356039	0.0654002	0.083883	0.105616	0.102672	0.0635776	0.0492575	0.0471448	0.0394954	0.0333188	0.0183867	0.0128203	0.0110863
sont	0.0174178	0.0253567	0.0290141	0.0275891	0.0236626	0.0365478	0.0376485	0.0363867	0.0314081	0.0265649	0.0324643	0.0237392	0.0534598	0.113705	0.0927256	0.113723	0.09986	0.0503808	0.039504	0.0164437	0.0197217	0.0230693	0.0296069
assemblé	0.0430835	0.0604272	0.0704644	0.0523885	0.0541259	0.0563397	0.0527068	0.0508776	0.0402549	0.0396869	0.0498453	0.0767387	0.0836444	0.0711882	0.0505252	0.0203124	0.0255836	0.0113038	0.00820706	0.00638918	0.0108643	0.0172429	0.0477997
à	0.0201054	0.0211447	0.0213063	0.0240852	0.0339994	0.0516892	0.0577452	0.058561	0.0334767	0.0445331	0.0528047	0.0486915	0.0360016	0.0366566	0.0327495	0.035556	0.0425405	0.0409076	0.0488461	0.0400243	0.0565163	0.0670665	0.0949924
la	0.022515	0.0180016	0.0233454	0.0237622	0.0289861	0.0271034	0.0285589	0.0254923	0.0150069	0.0145597	0.0167732	0.0281902	0.0474211	0.056095	0.0728568	0.0757663	0.0971772	0.0876667	0.08017	0.0611106	0.0499879	0.0496007	0.0498525
place	0.0501097	0.0471147	0.0401537	0.0309707	0.0258398	0.0254491	0.00981414	0.0131876	0.0113029	0.0124131	0.0243784	0.0294717	0.035588	0.0362401	0.0284949	0.011889	0.0475565	0.0499106	0.0405723	0.0284877	0.0583731	0.0881667	0.254515
mortuaire	0.0378121	0.0417254	0.0381715	0.0369492	0.0372472	0.0489482	0.0291737	0.0189409	0.0276776	0.0139556	0.0382962	0.0277242	0.0151937	0.0196257	0.0166331	0.0102205	0.0260083	0.0271364	0.0341531	0.0285273	0.0534638	0.0639832	0.308433
</S>	0.0774958	0.0577317	0.0540126	0.0597365	0.0554175	0.0395388	0.0336434	0.040081	0.0179114	0.0141137	0.015255	0.0111698	0.0067096	0.00904839	0.00539623	0.00221699	0.0189224	0.0145854	0.0189944	0.0160379	0.0506833	0.102233	0.279065
